DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
04-01-2006,270.0,309.4,270.0,294.95,292.25,309.4,270.0,13493309,4026455137.85,,298.4,EQ
05-01-2006,297.0,299.5,280.25,282.6,281.95,309.4,270.0,2561756,743269049.75,,290.14,EQ
06-01-2006,282.9,283.85,271.05,275.45,273.0,309.4,270.0,1458627,403917796.2,,276.92,EQ
09-01-2006,275.2,282.4,272.55,280.0,280.35,309.4,270.0,768134,213574858.7,,278.04,EQ
10-01-2006,281.1,290.0,278.25,280.1,280.0,309.4,270.0,703707,199582593.35,,283.62,EQ
12-01-2006,274.0,285.5,274.0,279.0,277.4,309.4,270.0,314842,88431351.1,,280.88,EQ
13-01-2006,280.0,285.1,272.0,274.3,272.55,309.4,270.0,243554,68233956.05,,280.16,EQ
16-01-2006,273.6,280.8,271.05,273.35,271.45,309.4,270.0,215211,59564166.25,,276.77,EQ
17-01-2006,274.9,276.9,264.15,265.3,266.0,309.4,264.15,145047,39307265.8,,271.0,EQ
18-01-2006,262.0,270.0,256.0,264.65,267.0,309.4,256.0,124609,32749866.7,,262.82,EQ
19-01-2006,269.8,272.8,265.15,271.2,270.0,309.4,256.0,107393,28913083.1,,269.23,EQ
20-01-2006,274.9,283.9,270.0,272.55,270.1,309.4,256.0,289170,80167269.35,,277.23,EQ
23-01-2006,272.0,288.95,270.15,284.45,279.0,309.4,256.0,398111,112198336.4,,281.83,EQ
24-01-2006,283.8,303.0,282.25,291.35,292.1,309.4,256.0,916628,270490247.2,,295.09,EQ
25-01-2006,294.8,299.9,289.0,297.25,299.0,309.4,256.0,355035,104995794.0,,295.73,EQ
27-01-2006,301.0,307.9,289.0,291.95,292.0,309.4,256.0,617562,186025009.4,,301.22,EQ
30-01-2006,295.0,296.0,282.0,287.25,289.0,309.4,256.0,108904,31418338.7,,288.5,EQ
31-01-2006,289.4,293.95,275.45,280.75,281.0,309.4,256.0,330461,93796117.3,,283.83,EQ
01-02-2006,282.0,284.0,265.0,266.9,265.75,309.4,256.0,117315,32153582.35,,274.08,EQ
02-02-2006,269.8,273.3,251.25,255.95,259.0,309.4,251.25,216043,55864993.8,,258.58,EQ
03-02-2006,260.9,260.9,252.5,255.2,254.5,309.4,251.25,79298,20313085.65,,256.16,EQ
06-02-2006,252.1,265.0,252.1,258.65,260.0,309.4,251.25,84284,21971023.75,,260.68,EQ
07-02-2006,259.25,263.1,257.0,261.2,263.0,309.4,251.25,48348,12558279.9,,259.75,EQ
08-02-2006,260.1,267.9,255.5,266.0,266.4,309.4,251.25,146156,38216350.85,,261.48,EQ
10-02-2006,270.0,278.0,266.5,270.05,269.5,309.4,251.25,84881,23027864.25,,271.3,EQ
13-02-2006,275.5,294.4,267.5,288.45,293.0,309.4,251.25,340673,96008005.45,,281.82,EQ
14-02-2006,293.0,299.9,266.8,292.15,291.5,309.4,251.25,306916,89794388.45,,292.57,EQ
15-02-2006,295.0,295.0,282.1,289.3,288.95,309.4,251.25,88156,25439815.85,,288.58,EQ
16-02-2006,273.1,291.5,273.1,286.45,286.0,309.4,251.25,59220,16921027.6,,285.73,EQ
17-02-2006,289.0,306.25,280.1,300.0,302.0,309.4,251.25,743599,221827476.35,,298.32,EQ
20-02-2006,303.0,303.8,284.05,292.6,292.0,309.4,251.25,297556,86814869.6,,291.76,EQ
21-02-2006,293.0,296.0,288.0,292.3,293.0,309.4,251.25,112083,32691081.55,,291.67,EQ
22-02-2006,294.8,299.85,280.45,284.7,282.45,309.4,251.25,217230,63640546.8,,292.96,EQ
23-02-2006,287.45,288.0,275.15,281.05,282.0,309.4,251.25,104359,29475174.7,,282.44,EQ
24-02-2006,283.75,289.0,280.0,285.25,283.0,309.4,251.25,80911,23097243.45,,285.46,EQ
27-02-2006,280.1,291.0,280.1,288.95,291.0,309.4,251.25,35942,10321098.5,,287.16,EQ
28-02-2006,289.9,289.9,278.0,279.45,280.0,309.4,251.25,71307,20189231.75,,283.13,EQ
