DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-08-2023,187.0,188.0,177.65,177.65,177.65,188.0,177.65,1905748,350933652.3,15307,184.14,BE
30-08-2023,168.8,168.8,168.8,168.8,168.8,188.0,168.8,345450,58311960.0,2013,168.8,BE
31-08-2023,164.1,176.8,164.1,166.85,167.0,188.0,164.1,1291997,215950566.6,17327,167.14,BE
01-09-2023,162.55,164.95,160.2,161.1,161.5,188.0,160.2,382825,62009853.25,6137,161.98,BE
04-09-2023,162.65,162.9,157.0,158.0,158.0,188.0,157.0,252434,39925849.45,4550,158.16,BE
05-09-2023,158.0,165.9,155.0,165.9,165.9,188.0,155.0,465461,75537588.75,4710,162.29,BE
06-09-2023,169.25,172.8,166.25,171.0,170.3,188.0,155.0,431036,73210488.8,5041,169.85,BE
07-09-2023,171.7,172.0,165.0,169.2,171.0,188.0,155.0,211994,35658234.1,2883,168.2,BE
08-09-2023,169.95,172.1,168.05,171.3,170.25,188.0,155.0,257871,44042049.3,3473,170.79,BE
11-09-2023,172.25,179.85,172.0,179.85,179.85,188.0,155.0,626700,111891432.4,5329,178.54,BE
12-09-2023,182.8,188.25,166.0,169.6,168.95,188.25,166.0,755485,131594691.7,6495,174.19,EQ
13-09-2023,169.95,177.95,165.5,176.2,175.5,188.25,165.5,296944,51202381.3,3200,172.43,EQ
14-09-2023,177.0,178.4,164.85,167.9,170.0,188.25,164.85,416683,71700287.35,5113,172.07,EQ
15-09-2023,170.0,176.0,166.95,168.4,168.55,188.25,164.85,367073,62690071.15,6985,170.78,EQ
18-09-2023,171.85,171.85,167.05,167.75,167.55,188.25,164.85,309635,52507574.9,6217,169.58,EQ
20-09-2023,167.05,169.2,164.0,164.75,165.25,188.25,164.0,170966,28353380.35,4474,165.84,EQ
21-09-2023,165.2,171.95,164.5,167.95,167.6,188.25,164.0,301211,50722984.05,7678,168.4,EQ
22-09-2023,167.65,168.65,163.0,164.6,165.0,188.25,163.0,220935,36514571.15,12683,165.27,EQ
25-09-2023,166.0,168.85,163.8,164.7,163.8,188.25,163.0,127714,21185867.8,4466,165.89,EQ
26-09-2023,165.95,167.5,163.9,164.45,165.7,188.25,163.0,78857,13003297.8,3315,164.9,EQ
27-09-2023,164.45,165.0,162.5,163.35,165.0,188.25,162.5,110823,18103861.3,3002,163.36,EQ
28-09-2023,163.2,175.9,163.2,171.05,171.65,188.25,162.5,744669,127945613.75,15827,171.82,EQ
29-09-2023,174.65,180.6,172.85,175.0,174.5,188.25,162.5,725895,128815212.5,17009,177.46,EQ
03-10-2023,175.0,179.75,171.65,172.5,172.6,188.25,162.5,327401,57395252.05,7601,175.31,EQ
04-10-2023,170.9,172.15,167.25,170.3,170.1,188.25,162.5,489704,82884084.1,8594,169.25,EQ
