DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-02-2021,109.0,127.85,101.0,121.35,120.5,127.85,101.0,128128642,15052241317.2,846064,117.48,EQ
01-03-2021,128.85,145.6,127.4,145.6,145.6,145.6,101.0,44411780,6255827707.7,286541,140.86,EQ
02-03-2021,159.0,174.7,155.9,174.7,174.7,174.7,101.0,47816924,8073128756.25,375897,168.83,EQ
03-03-2021,182.9,189.7,160.3,165.55,164.6,189.7,101.0,44140719,7625805619.25,406504,172.76,EQ
04-03-2021,159.0,169.55,155.0,162.45,162.5,189.7,101.0,16531447,2706185793.2,147664,163.7,EQ
05-03-2021,165.6,170.0,156.35,159.0,160.5,189.7,101.0,7533649,1231609910.95,92939,163.48,EQ
08-03-2021,163.0,165.25,153.0,153.95,153.7,189.7,101.0,6631888,1038895036.55,68728,156.65,EQ
09-03-2021,154.0,156.0,143.25,144.2,143.9,189.7,101.0,6952197,1024221793.25,84744,147.32,EQ
10-03-2021,145.5,153.8,141.2,148.4,149.1,189.7,101.0,11249859,1674403892.9,99787,148.84,EQ
12-03-2021,150.7,151.4,143.25,145.05,145.0,189.7,101.0,3649504,534426828.9,44080,146.44,EQ
15-03-2021,145.7,145.75,140.7,141.6,141.5,189.7,101.0,2728607,388057109.45,36559,142.22,EQ
16-03-2021,142.75,145.35,140.4,141.25,141.2,189.7,101.0,2484229,354435579.6,35310,142.67,EQ
17-03-2021,141.5,144.7,133.0,134.5,133.8,189.7,101.0,4156022,579271709.25,55367,139.38,EQ
18-03-2021,137.9,138.0,129.0,130.9,131.2,189.7,101.0,3090902,409386159.6,46825,132.45,EQ
19-03-2021,128.95,131.5,125.05,130.6,130.9,189.7,101.0,5032566,645224143.6,87332,128.21,EQ
22-03-2021,131.75,142.5,130.6,139.7,140.0,189.7,101.0,7632251,1057731091.05,69053,138.59,EQ
23-03-2021,142.5,143.8,136.55,138.2,138.05,189.7,101.0,5064535,707537446.05,71944,139.7,EQ
24-03-2021,136.9,137.7,133.65,134.1,134.2,189.7,101.0,1828025,248044800.85,22438,135.69,EQ
25-03-2021,134.3,136.2,128.6,130.55,130.95,189.7,101.0,2400349,315627606.2,32221,131.49,EQ
26-03-2021,134.2,134.4,124.6,127.5,127.4,189.7,101.0,4569177,583434513.2,64757,127.69,EQ
30-03-2021,128.35,129.9,125.7,127.65,127.65,189.7,101.0,1645993,210090178.35,25411,127.64,EQ
31-03-2021,127.65,130.7,126.0,126.8,126.7,189.7,101.0,1951435,250025951.1,36397,128.12,EQ
01-04-2021,128.1,130.5,126.8,128.8,128.6,189.7,101.0,2709913,347110457.75,30127,128.09,EQ
05-04-2021,128.95,129.0,124.0,124.45,124.4,189.7,101.0,2098870,262743276.6,39200,125.18,EQ
06-04-2021,124.75,125.0,122.25,122.55,122.5,189.7,101.0,1664214,205167701.15,31566,123.28,EQ
07-04-2021,123.0,126.4,122.05,123.5,123.45,189.7,101.0,2300941,285469633.8,29008,124.07,EQ
08-04-2021,125.0,125.75,123.0,123.9,124.0,189.7,101.0,2187813,271729248.75,38766,124.2,EQ
09-04-2021,123.1,124.75,122.05,122.2,122.1,189.7,101.0,1992752,245075927.05,32753,122.98,EQ
12-04-2021,120.0,120.0,111.0,114.2,114.7,189.7,101.0,3095710,356041452.5,50184,115.01,EQ
13-04-2021,115.15,117.5,114.1,116.8,117.0,189.7,101.0,949551,110310505.1,11841,116.17,EQ
15-04-2021,117.0,117.0,113.85,115.05,115.2,189.7,101.0,797101,91769625.15,12789,115.13,EQ
16-04-2021,115.65,116.5,114.2,114.9,114.9,189.7,101.0,1081879,124472861.2,16181,115.05,EQ
19-04-2021,111.65,111.95,109.1,111.45,111.85,189.7,101.0,1154644,127956835.15,18687,110.82,EQ
20-04-2021,112.0,113.35,109.9,110.25,109.95,189.7,101.0,1810889,201534762.35,28397,111.29,EQ
22-04-2021,109.7,110.65,108.45,109.7,109.5,189.7,101.0,1115771,122455591.7,15504,109.75,EQ
23-04-2021,109.35,127.3,109.05,123.2,123.35,189.7,101.0,13116395,1601517669.35,106704,122.1,EQ
26-04-2021,125.0,125.0,120.0,120.45,120.05,189.7,101.0,2715920,331717691.65,27636,122.14,EQ
27-04-2021,120.45,127.3,120.05,123.95,123.8,189.7,101.0,3336800,415606772.2,28933,124.55,EQ
28-04-2021,124.05,126.75,123.15,123.4,123.3,189.7,101.0,1657700,206267478.3,14808,124.43,EQ
29-04-2021,124.55,124.6,121.15,122.0,122.15,189.7,101.0,1160875,142205006.5,10777,122.5,EQ
