DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-02-2021,37.25,37.25,37.25,37.25,37.25,37.25,37.25,115,4283.75,3,37.25,EQ
17-02-2021,44.7,44.7,44.7,44.7,44.7,44.7,37.25,1800,80460.0,12,44.7,EQ
18-02-2021,53.6,53.6,53.6,53.6,53.6,53.6,37.25,35,1876.0,2,53.6,EQ
19-02-2021,58.95,58.95,58.95,58.95,58.95,58.95,37.25,25,1473.75,1,58.95,EQ
22-02-2021,64.8,64.8,64.8,64.8,64.8,64.8,37.25,105,6804.0,2,64.8,EQ
23-02-2021,71.25,71.25,71.25,71.25,71.25,71.25,37.25,365,26006.25,10,71.25,EQ
24-02-2021,74.8,74.8,74.8,74.8,74.8,74.8,37.25,1,74.8,1,74.8,EQ
25-02-2021,78.5,78.5,78.5,78.5,78.5,78.5,37.25,200,15700.0,1,78.5,EQ
26-02-2021,82.4,82.4,82.4,82.4,82.4,82.4,37.25,200,16480.0,5,82.4,EQ
02-03-2021,86.5,86.5,86.5,86.5,86.5,86.5,37.25,500,43250.0,5,86.5,EQ
03-03-2021,90.8,90.8,90.8,90.8,90.8,90.8,37.25,604,54843.2,14,90.8,EQ
04-03-2021,95.3,95.3,90.5,95.25,95.3,95.3,37.25,21694,2058686.6,312,94.9,EQ
05-03-2021,99.7,100.0,92.1,96.8,97.95,100.0,37.25,22356,2202483.85,371,98.52,EQ
08-03-2021,101.5,101.5,93.0,95.85,96.95,101.5,37.25,6011,588050.5,192,97.83,EQ
09-03-2021,91.1,96.9,91.1,91.1,91.1,101.5,37.25,4172,381472.75,80,91.44,EQ
10-03-2021,86.55,94.0,86.55,89.65,89.55,101.5,37.25,13944,1228019.3,231,88.07,EQ
12-03-2021,94.1,94.1,85.2,87.95,93.8,94.1,85.2,2291,200494.1,48,87.51,BE
15-03-2021,85.1,91.75,85.1,90.95,90.95,94.1,85.1,1839,160949.45,18,87.52,BE
16-03-2021,93.55,93.8,90.95,90.95,90.95,94.1,85.1,1656,153573.2,33,92.74,BE
17-03-2021,90.95,90.95,88.5,89.1,89.1,94.1,85.1,405,35911.1,12,88.67,BE
18-03-2021,88.0,92.6,86.7,90.1,90.1,94.1,85.1,2000,181356.05,21,90.68,BE
19-03-2021,88.15,92.8,88.15,89.5,89.5,94.1,85.1,2490,225531.4,15,90.57,BE
22-03-2021,89.5,89.5,88.15,89.2,89.5,94.1,85.1,916,81162.7,16,88.61,BE
23-03-2021,88.2,88.2,87.1,87.3,87.2,94.1,85.1,1762,154434.8,13,87.65,BE
24-03-2021,88.0,88.0,86.9,86.9,86.9,94.1,85.1,930,81326.0,11,87.45,BE
25-03-2021,86.05,86.9,86.05,86.05,86.1,94.1,85.1,633,54494.85,11,86.09,BE
26-03-2021,86.0,86.0,85.9,86.0,86.0,94.1,85.1,243,20897.5,9,86.0,BE
30-03-2021,86.1,88.9,86.1,88.0,88.0,94.1,85.1,615,53612.5,20,87.17,BE
31-03-2021,88.0,88.5,87.9,88.5,88.5,94.1,85.1,603,53140.7,12,88.13,BE
01-04-2021,86.8,87.15,86.8,87.0,87.0,94.1,85.1,1591,138586.1,19,87.11,BE
05-04-2021,87.0,89.8,87.0,89.7,89.7,94.1,85.1,231,20430.9,8,88.45,BE
06-04-2021,89.0,90.7,89.0,89.15,89.15,94.1,85.1,849,75917.4,13,89.42,BE
07-04-2021,90.95,90.95,89.1,89.1,89.1,94.1,85.1,155,13856.75,2,89.4,BE
08-04-2021,89.0,89.0,87.0,88.95,88.95,94.1,85.1,750,66514.5,8,88.69,BE
09-04-2021,92.5,92.5,87.9,88.0,88.0,94.1,85.1,513,45256.0,11,88.22,BE
12-04-2021,86.0,86.0,86.0,86.0,86.0,94.1,85.1,44,3784.0,3,86.0,BE
13-04-2021,86.0,86.0,85.0,85.0,85.0,94.1,85.0,170,14525.0,4,85.44,BE
15-04-2021,85.5,88.5,85.0,85.7,88.5,94.1,85.0,252,21633.5,7,85.85,BE
16-04-2021,85.6,85.65,82.0,82.0,82.0,94.1,82.0,650,55035.0,8,84.67,BE
19-04-2021,83.0,85.9,83.0,85.75,85.6,94.1,82.0,503,43002.8,13,85.49,BE
20-04-2021,88.8,88.8,85.5,85.5,85.5,94.1,82.0,76,6589.3,6,86.7,BE
22-04-2021,86.0,87.0,86.0,87.0,87.0,94.1,82.0,55,4780.0,2,86.91,BE
23-04-2021,87.0,88.0,86.5,88.0,88.0,94.1,82.0,375,32623.0,6,86.99,BE
26-04-2021,88.0,88.9,87.5,88.8,88.9,94.1,82.0,3115,275440.4,23,88.42,BE
27-04-2021,89.0,90.0,88.5,89.25,89.0,101.5,37.25,3599,321686.25,35,89.38,EQ
28-04-2021,89.0,91.0,89.0,90.2,89.0,101.5,37.25,4101,369627.85,43,90.13,EQ
29-04-2021,89.0,91.9,89.0,90.8,90.5,101.5,37.25,3744,340765.25,50,91.02,EQ
30-04-2021,92.3,92.45,90.25,90.5,90.5,101.5,37.25,7291,665193.35,84,91.23,EQ
03-05-2021,92.0,92.0,90.7,91.35,91.65,101.5,37.25,4042,368321.95,41,91.12,EQ
04-05-2021,92.0,92.8,91.1,92.35,92.8,101.5,37.25,4540,416928.7,55,91.83,EQ
05-05-2021,92.8,92.8,92.0,92.25,92.8,101.5,37.25,2782,256868.0,41,92.33,EQ
06-05-2021,93.0,93.0,91.95,92.7,93.0,101.5,37.25,7293,673986.9,73,92.42,EQ
07-05-2021,93.0,93.0,91.0,92.75,93.0,101.5,37.25,2545,234867.5,44,92.29,EQ
10-05-2021,93.0,95.0,93.0,94.95,95.0,101.5,37.25,5106,480677.5,69,94.14,EQ
11-05-2021,93.1,96.7,93.1,94.65,94.5,101.5,37.25,2948,281711.55,56,95.56,EQ
12-05-2021,95.45,95.9,94.65,95.9,95.9,101.5,37.25,5560,530424.0,59,95.4,EQ
14-05-2021,97.2,97.75,96.15,96.45,96.4,101.5,37.25,7974,772945.2,89,96.93,EQ
