DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
17-12-2021,360.0,383.0,333.85,340.05,337.55,383.0,333.85,18246530,6593115835.75,343859,361.34,EQ
20-12-2021,320.0,359.8,313.15,335.15,331.4,383.0,313.15,5054723,1678411173.65,114077,332.05,EQ
21-12-2021,338.35,374.85,338.35,364.4,366.1,383.0,313.15,3952930,1424897928.6,89293,360.47,EQ
22-12-2021,361.85,401.85,361.45,396.95,398.4,401.85,313.15,4429807,1728142035.35,90071,390.12,EQ
23-12-2021,403.0,411.0,376.1,382.7,376.5,411.0,313.15,2220750,873103919.15,48639,393.16,EQ
24-12-2021,380.25,381.85,361.3,371.7,370.7,411.0,313.15,1230112,454775664.1,29965,369.7,EQ
27-12-2021,365.0,385.0,297.4,375.45,378.6,411.0,297.4,868755,319859955.65,21624,368.18,EQ
28-12-2021,377.0,387.55,375.5,378.65,378.5,411.0,297.4,617253,235553416.3,14717,381.62,EQ
29-12-2021,375.0,401.0,371.05,383.5,381.95,411.0,297.4,995673,386571745.0,23982,388.25,EQ
30-12-2021,380.2,399.75,368.1,372.85,371.85,411.0,297.4,1135196,439840597.45,26767,387.46,EQ
31-12-2021,375.0,383.75,370.75,372.35,372.65,411.0,297.4,374458,141037862.5,8674,376.65,EQ
03-01-2022,372.65,381.45,372.3,374.4,372.95,411.0,297.4,303511,114199320.35,7373,376.26,EQ
04-01-2022,374.9,396.0,372.0,389.05,382.85,411.0,297.4,930829,358642933.0,24580,385.29,EQ
05-01-2022,385.9,388.9,376.45,384.6,385.0,411.0,297.4,608533,233035846.25,17164,382.95,EQ
06-01-2022,378.0,388.0,375.4,379.8,378.1,411.0,297.4,300557,115021661.3,6887,382.7,EQ
07-01-2022,383.4,385.65,376.35,381.4,380.0,411.0,297.4,244856,93316511.8,5187,381.11,EQ
10-01-2022,383.0,429.0,381.0,423.5,428.1,429.0,297.4,2874946,1190836365.65,69593,414.21,EQ
11-01-2022,430.0,434.5,416.4,428.0,426.9,434.5,297.4,1389428,592838977.35,38574,426.68,EQ
12-01-2022,431.6,436.0,411.15,414.05,415.6,436.0,297.4,707263,300003252.75,17789,424.17,EQ
13-01-2022,416.9,447.0,412.0,443.3,443.0,447.0,297.4,1883531,816274110.8,58250,433.37,EQ
14-01-2022,438.3,503.3,431.1,475.95,474.9,503.3,297.4,5375191,2533279251.2,122967,471.29,EQ
17-01-2022,472.0,503.0,472.0,493.9,494.5,503.3,297.4,1806638,885871526.7,44978,490.34,EQ
18-01-2022,496.0,525.0,485.2,515.2,509.2,525.0,297.4,2604393,1320787099.8,64243,507.14,EQ
19-01-2022,508.0,511.6,482.7,488.1,487.0,525.0,297.4,1169946,581352548.85,34588,496.91,EQ
20-01-2022,486.95,489.6,462.0,465.9,469.9,525.0,297.4,837657,395935863.3,21354,472.67,EQ
21-01-2022,466.1,475.0,418.5,431.75,431.0,525.0,297.4,1296735,583895256.7,32140,450.28,EQ
24-01-2022,430.0,434.25,385.75,401.2,400.0,525.0,297.4,2391835,959421004.4,44172,401.12,EQ
25-01-2022,397.95,397.95,367.55,374.9,369.0,525.0,297.4,1441451,550774653.05,31166,382.1,EQ
27-01-2022,366.0,377.9,355.5,365.45,365.0,525.0,297.4,1365450,497125284.0,27511,364.07,EQ
28-01-2022,368.35,385.0,360.0,372.7,369.0,525.0,297.4,726090,273227799.05,18689,376.3,EQ
31-01-2022,375.1,389.1,368.0,371.9,371.5,525.0,297.4,382230,144361986.1,9265,377.68,EQ
01-02-2022,374.9,392.0,374.9,389.7,389.5,525.0,297.4,517981,199215991.95,10568,384.6,EQ
02-02-2022,393.0,404.8,390.5,395.95,394.0,525.0,297.4,371936,147900638.3,9107,397.65,EQ
03-02-2022,392.0,395.0,382.25,391.25,391.0,525.0,297.4,287056,111635254.4,7622,388.9,EQ
04-02-2022,385.0,389.75,380.1,382.2,382.35,525.0,297.4,149555,57480916.5,3968,384.35,EQ
07-02-2022,382.35,388.35,369.0,379.55,379.0,525.0,297.4,202011,76227158.85,5728,377.34,EQ
08-02-2022,384.8,385.55,363.15,365.85,365.0,525.0,297.4,312364,115003020.0,8542,368.17,EQ
09-02-2022,369.0,390.0,364.75,383.65,384.4,525.0,297.4,843603,320328484.2,25923,379.71,EQ
10-02-2022,383.65,386.7,375.55,379.95,379.75,525.0,297.4,208920,79465517.9,6777,380.36,EQ
11-02-2022,376.2,381.0,370.0,373.75,371.0,525.0,297.4,192076,72014410.2,7792,374.93,EQ
14-02-2022,363.4,369.55,339.0,341.75,342.0,525.0,297.4,460834,162742058.0,15232,353.15,EQ
15-02-2022,345.0,353.8,326.95,349.7,351.0,525.0,297.4,523133,178013058.8,16424,340.28,EQ
16-02-2022,353.7,356.4,338.0,341.0,338.6,525.0,297.4,322958,112410169.05,9937,348.06,EQ
17-02-2022,342.0,370.2,338.15,361.75,360.15,525.0,297.4,653830,234353409.65,17504,358.43,EQ
18-02-2022,359.0,371.65,353.0,355.5,354.0,525.0,297.4,288788,105004281.45,9653,363.6,EQ
21-02-2022,354.0,354.6,330.35,335.9,333.0,525.0,297.4,598694,202742381.25,11926,338.64,EQ
22-02-2022,325.0,329.9,306.35,311.75,309.05,525.0,297.4,1033098,325136810.0,30088,314.72,EQ
23-02-2022,319.0,325.45,316.2,319.8,318.8,525.0,297.4,369787,118803598.05,10405,321.28,EQ
24-02-2022,299.8,315.45,280.0,292.25,293.9,525.0,280.0,1016237,303541018.85,30917,298.69,EQ
25-02-2022,310.0,315.0,298.05,299.7,300.0,525.0,280.0,419728,127371678.9,13361,303.46,EQ
28-02-2022,294.0,304.2,290.85,299.55,300.0,525.0,280.0,388322,115920726.6,12304,298.52,EQ
02-03-2022,299.0,305.0,286.45,288.65,287.95,525.0,280.0,370713,109377865.3,12168,295.05,EQ
03-03-2022,292.95,297.6,286.45,294.05,294.0,525.0,280.0,537436,157060561.95,10509,292.24,EQ
04-03-2022,293.2,295.15,284.4,287.0,287.2,525.0,280.0,277584,80048057.65,9781,288.37,EQ
07-03-2022,281.95,284.0,275.2,280.65,280.0,525.0,275.2,216008,60396301.35,7366,279.6,EQ
08-03-2022,284.0,291.75,282.05,284.65,285.0,525.0,275.2,259379,74195007.0,6260,286.05,EQ
09-03-2022,289.75,316.0,287.0,303.5,303.0,525.0,275.2,890302,269762477.75,17446,303.0,EQ
10-03-2022,313.05,314.9,305.65,308.15,308.0,525.0,275.2,351811,109298302.55,7270,310.67,EQ
11-03-2022,308.0,312.95,303.05,305.35,304.6,525.0,275.2,227271,69820614.85,5064,307.21,EQ
14-03-2022,308.0,309.35,290.0,292.25,291.25,525.0,275.2,407867,120871308.85,7485,296.35,EQ
15-03-2022,295.9,297.7,282.05,288.05,286.7,525.0,275.2,1722455,493010638.55,19193,286.23,EQ
16-03-2022,293.0,297.9,282.85,292.9,289.0,525.0,275.2,1478122,425595261.05,13725,287.93,EQ
17-03-2022,297.0,351.45,294.95,334.15,330.95,525.0,275.2,5084576,1700938357.95,76734,334.53,EQ
21-03-2022,335.0,354.8,322.4,347.1,346.95,525.0,275.2,3178061,1097022633.2,58890,345.19,EQ
22-03-2022,346.75,358.4,342.1,349.45,350.0,525.0,275.2,1103745,386474799.2,22082,350.15,EQ
23-03-2022,352.25,355.3,345.05,349.95,353.0,525.0,275.2,735260,257181140.55,12066,349.78,EQ
