DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-08-2023,480.0,504.0,456.0,493.85,504.0,504.0,456.0,3005946,1421820549.95,27385,473.0,BE
14-08-2023,509.0,509.0,469.15,487.65,490.0,509.0,456.0,1076086,523008480.65,8171,486.03,BE
16-08-2023,463.3,478.0,463.3,463.7,464.0,509.0,456.0,498410,231893585.75,5260,465.27,BE
17-08-2023,455.05,464.0,440.55,452.05,460.0,509.0,440.55,590648,262017463.8,6049,443.61,BE
18-08-2023,445.5,469.0,436.25,465.8,466.0,509.0,436.25,343750,156724043.2,4260,455.92,BE
21-08-2023,465.0,478.05,460.0,476.6,472.0,509.0,436.25,343062,161327347.9,2817,470.26,BE
22-08-2023,476.6,489.0,459.5,466.1,467.0,509.0,436.25,106811,49921860.65,1998,467.39,BE
23-08-2023,469.95,474.8,451.05,457.2,461.0,509.0,436.25,77752,35754257.2,1489,459.85,BE
24-08-2023,463.0,465.0,445.0,455.75,457.9,509.0,436.25,210726,95484392.5,2104,453.12,BE
25-08-2023,456.95,470.0,450.15,464.1,465.15,509.0,436.25,171912,79044769.05,1931,459.8,BE
28-08-2023,470.9,482.5,455.0,467.55,465.0,482.5,455.0,199851,93411853.65,3116,467.41,EQ
29-08-2023,467.0,470.0,452.0,463.85,461.8,482.5,452.0,136262,62906150.75,3499,461.66,EQ
30-08-2023,458.0,472.0,457.8,470.1,467.5,482.5,452.0,209614,97675091.4,4680,465.98,EQ
31-08-2023,470.1,473.45,458.5,468.15,470.0,482.5,452.0,245719,114946450.05,10775,467.8,EQ
01-09-2023,469.95,471.0,458.0,460.9,458.3,482.5,452.0,132520,61433209.35,6867,463.58,EQ
04-09-2023,462.0,462.0,444.55,450.35,450.15,482.5,444.55,259354,116813551.4,18785,450.4,EQ
05-09-2023,445.75,454.1,438.85,448.85,442.95,482.5,438.85,209275,93374874.95,18797,446.18,EQ
06-09-2023,456.75,456.75,426.55,434.95,432.5,482.5,426.55,366770,160719014.65,25022,438.2,EQ
07-09-2023,430.95,436.1,411.05,420.1,419.95,482.5,411.05,476260,200199759.6,20146,420.36,EQ
08-09-2023,425.0,461.9,416.8,447.0,446.6,482.5,411.05,496323,221524672.1,28120,446.33,EQ
11-09-2023,450.0,454.9,426.9,432.75,436.9,482.5,411.05,219927,96287468.2,12955,437.82,EQ
12-09-2023,432.55,439.75,420.25,427.4,429.8,482.5,411.05,288904,123293476.75,16286,426.76,EQ
13-09-2023,425.0,433.45,415.25,421.75,422.0,482.5,411.05,137182,58096408.7,10979,423.5,EQ
14-09-2023,433.0,442.25,426.8,429.2,428.1,482.5,411.05,137555,59335388.2,10985,431.36,EQ
15-09-2023,435.0,450.0,426.75,446.85,448.0,482.5,411.05,293892,130506463.2,12308,444.06,EQ
18-09-2023,450.0,462.85,446.75,455.3,453.0,482.5,411.05,197170,89514399.1,12817,454.0,EQ
20-09-2023,455.3,455.3,445.0,449.25,449.35,482.5,411.05,179071,80503554.9,13161,449.56,EQ
21-09-2023,452.0,457.25,435.0,453.3,452.65,482.5,411.05,152999,69194420.0,9592,452.25,EQ
22-09-2023,456.75,461.9,435.7,446.8,445.0,482.5,411.05,180352,80570439.5,14442,446.74,EQ
25-09-2023,447.0,453.95,429.0,433.15,433.85,482.5,411.05,128903,56295245.05,11735,436.73,EQ
26-09-2023,435.0,441.75,431.25,434.9,438.0,482.5,411.05,59246,25906698.1,7506,437.27,EQ
27-09-2023,434.9,439.35,431.05,435.3,437.45,482.5,411.05,55357,24114664.15,5721,435.62,EQ
28-09-2023,435.3,449.0,435.3,439.7,440.6,482.5,411.05,69985,30993223.75,7211,442.86,EQ
29-09-2023,439.7,453.0,435.05,450.5,451.95,482.5,411.05,147525,66002067.95,11111,447.4,EQ
03-10-2023,450.0,486.1,446.1,471.7,472.0,486.1,411.05,278490,130878744.95,18867,469.96,EQ
04-10-2023,474.9,475.8,447.5,452.55,449.15,486.1,411.05,127978,58449511.2,11458,456.72,EQ
05-10-2023,459.35,459.35,448.5,450.65,455.0,486.1,411.05,91348,41417750.45,7279,453.41,EQ
06-10-2023,459.0,498.2,452.0,486.8,485.1,498.2,411.05,617568,299184021.65,35260,484.46,EQ
09-10-2023,479.9,484.65,464.25,469.35,470.0,498.2,411.05,142848,68155109.25,9042,477.12,EQ
10-10-2023,479.0,499.0,471.3,496.85,497.9,499.0,411.05,494278,243598059.7,23207,492.84,EQ
11-10-2023,501.05,534.0,501.05,529.3,529.0,534.0,411.05,739939,388020605.4,32033,524.4,EQ
12-10-2023,535.0,540.9,515.65,518.8,517.45,540.9,411.05,330201,174863222.8,17667,529.57,EQ
13-10-2023,514.8,525.75,510.0,512.95,513.0,540.9,411.05,165270,85504970.3,9304,517.37,EQ
16-10-2023,513.0,534.6,509.75,524.75,525.0,540.9,411.05,214428,112645981.05,13014,525.33,EQ
17-10-2023,529.45,575.0,529.4,548.05,551.9,575.0,411.05,642682,356559807.3,28269,554.8,EQ
18-10-2023,555.7,567.85,520.3,525.8,530.0,575.0,411.05,339069,182193791.7,22482,537.34,EQ
19-10-2023,526.0,543.95,513.2,537.2,541.0,575.0,411.05,280435,148663573.05,21424,530.12,EQ
