DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
17-06-2011,299.9,299.9,263.0,283.55,280.1,299.9,263.0,15852,4479391.35,745,282.58,EQ
20-06-2011,272.0,272.0,262.05,262.3,262.05,299.9,262.05,504,136525.25,17,270.88,EQ
21-06-2011,258.0,264.7,250.1,257.5,259.0,299.9,250.1,399,102977.5,26,258.09,EQ
22-06-2011,232.0,267.95,232.0,245.05,245.05,299.9,232.0,9,2276.05,7,252.89,EQ
23-06-2011,240.05,259.0,240.05,250.0,250.0,299.9,232.0,95,23377.6,6,246.08,EQ
24-06-2011,240.0,258.8,240.0,257.75,257.75,299.9,232.0,59,14701.5,5,249.18,EQ
27-06-2011,258.0,281.35,249.0,271.2,270.0,299.9,232.0,956,250768.05,52,262.31,EQ
28-06-2011,260.05,277.0,256.0,274.95,274.95,299.9,232.0,223,59795.15,11,268.14,EQ
29-06-2011,278.55,278.9,271.0,277.45,272.0,299.9,232.0,78,21641.55,6,277.46,EQ
30-06-2011,288.8,302.0,257.0,299.75,300.0,302.0,232.0,111829,32021010.1,97,286.34,EQ
01-07-2011,299.75,299.95,282.75,290.85,290.0,302.0,232.0,220,64221.75,40,291.92,EQ
04-07-2011,291.0,294.95,291.0,292.5,294.95,302.0,232.0,260,75761.2,15,291.39,EQ
05-07-2011,288.0,292.0,275.75,277.2,275.75,302.0,232.0,22,6215.1,6,282.5,EQ
06-07-2011,299.95,299.95,280.95,283.0,283.0,302.0,232.0,73,21349.95,16,292.47,EQ
07-07-2011,298.0,300.0,275.0,297.05,300.0,302.0,232.0,602,175850.95,33,292.11,EQ
08-07-2011,281.0,299.95,281.0,287.75,287.0,302.0,232.0,25313,7515574.25,16,296.91,EQ
11-07-2011,281.1,284.95,274.4,276.0,275.0,302.0,232.0,211,58866.2,35,278.99,EQ
12-07-2011,266.0,279.0,266.0,275.0,275.0,302.0,232.0,281,77210.6,12,274.77,EQ
13-07-2011,275.0,300.0,275.0,295.85,295.5,302.0,232.0,29806,8431410.5,95,282.88,EQ
14-07-2011,296.0,300.0,295.5,300.0,300.0,302.0,232.0,1004,301061.8,27,299.86,EQ
15-07-2011,290.05,300.0,290.05,299.95,300.0,302.0,232.0,31740,9317888.2,55,293.57,EQ
18-07-2011,310.0,315.0,304.0,313.7,309.0,315.0,232.0,3915,1215900.35,137,310.57,EQ
19-07-2011,324.0,329.85,315.0,326.0,329.85,329.85,232.0,2948,952841.1,85,323.22,EQ
20-07-2011,330.4,330.4,317.5,321.0,321.0,330.4,232.0,1777,576110.45,59,324.2,EQ
21-07-2011,316.05,317.45,302.2,306.65,303.0,330.4,232.0,25807,7999004.4,45,309.95,EQ
22-07-2011,300.9,308.9,297.0,300.25,300.0,330.4,232.0,705,211460.25,25,299.94,EQ
25-07-2011,301.0,301.0,297.0,300.0,300.0,330.4,232.0,576,172765.0,15,299.94,EQ
26-07-2011,301.1,301.1,285.0,289.9,292.0,330.4,232.0,28537,8332594.2,32,291.99,EQ
27-07-2011,299.5,300.8,292.0,300.0,300.0,330.4,232.0,22870,6750636.0,29,295.17,EQ
28-07-2011,300.5,300.5,295.0,300.0,300.0,330.4,232.0,1484,444825.2,20,299.75,EQ
29-07-2011,300.0,300.0,300.0,300.0,300.0,330.4,232.0,1496,448800.0,2,300.0,EQ
01-08-2011,301.0,308.0,296.0,297.0,297.0,330.4,232.0,1192,356725.25,30,299.27,EQ
02-08-2011,296.0,304.0,296.0,298.25,304.0,330.4,232.0,755,224856.2,16,297.82,EQ
03-08-2011,310.0,310.0,295.5,300.05,302.0,330.4,232.0,3740,1121998.7,35,300.0,EQ
04-08-2011,290.0,320.0,287.0,316.8,320.0,330.4,232.0,1021,315922.05,45,309.42,EQ
05-08-2011,310.0,310.0,295.0,304.95,310.0,330.4,232.0,3590,1067839.4,40,297.45,EQ
