DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-07-2024,91.49,91.49,85.16,86.39,85.5,91.49,85.16,73628,6403748.44,1281,86.97,EQ
31-07-2024,88.65,88.65,82.5,83.06,83.5,91.49,82.5,59827,5019807.2,1438,83.91,EQ
01-08-2024,84.72,87.19,80.53,81.63,81.06,91.49,80.53,70854,5903920.95,1429,83.33,EQ
02-08-2024,78.3,83.73,77.99,79.35,79.99,91.49,77.99,61977,4925955.9,1343,79.48,EQ
05-08-2024,75.38,82.8,75.38,76.39,76.1,91.49,75.38,85603,6659745.07,1746,77.8,EQ
06-08-2024,79.49,79.49,73.1,74.22,73.1,91.49,73.1,43054,3300154.41,1232,76.65,EQ
07-08-2024,75.56,77.93,75.12,77.93,77.93,91.49,73.1,25700,1968687.62,592,76.6,EQ
08-08-2024,81.81,81.81,74.5,74.89,74.96,91.49,73.1,113198,8676246.01,2109,76.65,EQ
09-08-2024,74.65,76.0,71.14,71.84,72.0,91.49,71.14,101915,7440207.68,2222,73.0,EQ
12-08-2024,75.0,75.43,69.0,72.96,72.4,91.49,69.0,172547,12516150.59,2595,72.54,EQ
13-08-2024,73.89,73.89,70.03,71.05,71.84,91.49,69.0,61646,4401559.13,2238,71.4,EQ
14-08-2024,72.45,72.45,69.0,69.24,69.0,91.49,69.0,26485,1845361.86,986,69.68,EQ
16-08-2024,69.3,70.86,66.01,69.16,69.4,91.49,66.01,55269,3760739.17,2108,68.04,EQ
19-08-2024,71.99,72.61,66.99,72.61,72.61,91.49,66.01,75703,5440588.06,1756,71.87,EQ
20-08-2024,76.22,76.24,69.99,75.11,76.24,91.49,66.01,211886,15632706.67,2610,73.78,EQ
21-08-2024,77.2,78.86,75.12,78.86,78.86,91.49,66.01,125457,9782915.89,1726,77.98,EQ
22-08-2024,81.5,82.8,76.01,78.32,79.8,91.49,66.01,119971,9669830.11,1622,80.6,EQ
23-08-2024,80.0,80.77,75.16,75.58,75.73,91.49,66.01,93257,7200086.76,2336,77.21,EQ
26-08-2024,77.95,78.0,71.91,72.18,71.92,91.49,66.01,149333,10976803.46,2374,73.51,EQ
27-08-2024,73.3,73.74,71.1,71.68,71.9,91.49,66.01,91668,6642854.56,1623,72.47,EQ
28-08-2024,71.71,72.9,70.9,70.99,71.0,91.49,66.01,55241,3980820.42,1662,72.06,EQ
29-08-2024,71.0,72.94,69.51,69.95,69.79,91.49,66.01,62052,4394331.34,1397,70.82,EQ
30-08-2024,72.34,72.34,67.31,69.61,70.0,91.49,66.01,96073,6669699.48,2602,69.42,EQ
02-09-2024,71.0,73.09,70.13,73.09,73.09,91.49,66.01,75987,5535897.41,600,72.85,EQ
03-09-2024,76.74,76.74,76.74,76.74,76.74,91.49,66.01,81846,6280862.04,192,76.74,EQ
04-09-2024,76.71,78.68,73.1,77.62,77.94,91.49,66.01,133598,10178473.66,3217,76.19,EQ
05-09-2024,78.9,81.5,74.51,81.5,81.5,91.49,66.01,619495,47806712.29,2028,77.17,EQ
06-09-2024,85.57,85.57,85.57,85.57,85.57,91.49,66.01,75759,6482697.63,181,85.57,EQ
09-09-2024,89.84,89.84,89.84,89.84,89.84,91.49,66.01,39082,3511126.88,157,89.84,EQ
10-09-2024,94.33,94.33,94.33,94.33,94.33,94.33,66.01,89496,8442157.68,168,94.33,EQ
11-09-2024,99.04,99.04,99.04,99.04,99.04,99.04,66.01,78251,7749979.04,146,99.04,EQ
12-09-2024,103.99,103.99,103.99,103.99,103.99,103.99,66.01,23064,2398425.36,128,103.99,EQ
13-09-2024,109.18,109.18,109.18,109.18,109.18,109.18,66.01,28292,3088920.56,168,109.18,EQ
16-09-2024,114.63,114.63,114.63,114.63,114.63,114.63,66.01,44606,5113185.78,140,114.63,EQ
17-09-2024,120.36,120.36,120.36,120.36,120.36,120.36,66.01,43816,5273693.76,158,120.36,EQ
18-09-2024,126.37,126.37,126.37,126.37,126.37,126.37,66.01,80066,10117940.42,169,126.37,EQ
19-09-2024,132.68,132.68,126.06,132.68,132.68,132.68,66.01,1739273,229971815.5,5482,132.22,EQ
20-09-2024,139.31,139.31,139.31,139.31,139.31,139.31,66.01,52675,7338154.25,181,139.31,EQ
23-09-2024,146.27,146.27,146.27,146.27,146.27,146.27,66.01,117502,17187017.54,122,146.27,EQ
24-09-2024,153.58,153.58,149.22,153.58,153.58,153.58,66.01,580192,88863148.57,1052,153.16,EQ
25-09-2024,161.25,161.25,147.15,161.25,161.25,161.25,66.01,2778375,441473152.95,16297,158.9,EQ
26-09-2024,166.0,166.39,153.18,153.18,153.18,166.39,66.01,1237583,194276179.6,9592,156.98,EQ
27-09-2024,145.52,145.52,145.52,145.52,145.52,166.39,66.01,57264,8333057.28,616,145.52,EQ
30-09-2024,139.35,141.27,138.24,138.24,138.24,166.39,66.01,106463,14801814.22,739,139.03,EQ
01-10-2024,131.32,131.32,131.32,131.32,131.32,166.39,66.01,31225,4100467.0,470,131.32,EQ
