DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
31-10-2005,315.0,315.0,257.0,260.3,260.65,315.0,257.0,4981651,1360001619.45,,273.0,EQ
01-11-2005,267.0,275.0,256.1,269.95,268.0,315.0,256.1,805619,215405315.95,,267.38,EQ
02-11-2005,265.0,273.0,260.1,264.0,266.3,315.0,256.1,1097073,291770767.2,,265.95,EQ
07-11-2005,266.0,269.8,261.25,263.1,261.25,315.0,256.1,177665,47074600.45,,264.96,EQ
08-11-2005,264.7,269.0,261.5,267.0,266.5,315.0,256.1,192727,51177903.65,,265.55,EQ
09-11-2005,267.0,272.0,263.5,266.4,265.1,315.0,256.1,122504,32729133.5,,267.17,EQ
10-11-2005,268.5,315.5,265.15,302.05,305.0,315.5,256.1,2645918,791923984.5,,299.3,EQ
11-11-2005,304.9,319.0,290.65,296.5,296.1,319.0,256.1,1749323,531013820.1,,303.55,EQ
14-11-2005,295.0,298.8,271.0,281.4,278.5,319.0,256.1,237003,67532264.3,,284.94,EQ
16-11-2005,281.4,296.7,277.65,288.0,289.0,319.0,256.1,340422,98509283.9,,289.37,EQ
17-11-2005,290.0,303.5,287.0,294.3,295.0,319.0,256.1,540264,160453830.4,,296.99,EQ
18-11-2005,297.0,300.0,290.1,292.15,292.0,319.0,256.1,162423,48038125.6,,295.76,EQ
21-11-2005,293.5,295.85,282.2,285.6,282.2,319.0,256.1,71143,20680011.85,,290.68,EQ
22-11-2005,288.6,312.5,286.25,308.2,303.8,319.0,256.1,673294,204247831.5,,303.36,EQ
23-11-2005,305.0,325.0,305.0,321.0,325.0,325.0,256.1,1355906,428305203.9,,315.88,EQ
24-11-2005,323.0,324.0,302.1,304.85,302.5,325.0,256.1,486728,153165934.4,,314.68,EQ
25-11-2005,305.0,330.0,303.85,325.2,327.25,330.0,256.1,506914,161247055.4,,318.1,EQ
26-11-2005,325.0,332.0,316.65,328.6,325.5,332.0,256.1,227207,73806990.25,,324.84,EQ
28-11-2005,329.9,329.9,312.5,316.15,315.7,332.0,256.1,208338,67144242.55,,322.29,EQ
29-11-2005,317.8,346.4,311.0,340.65,339.45,346.4,256.1,1139493,384792066.95,,337.69,EQ
30-11-2005,339.6,378.85,339.6,373.0,367.5,378.85,256.1,1516313,554347721.05,,365.59,EQ
01-12-2005,371.9,395.0,370.05,391.0,394.1,395.0,256.1,1951178,754220194.4,,386.55,EQ
02-12-2005,396.0,401.9,370.25,372.6,371.0,401.9,256.1,677306,261072254.35,,385.46,EQ
05-12-2005,373.35,375.9,358.6,366.75,365.0,401.9,256.1,426277,156505238.35,,367.14,EQ
06-12-2005,367.0,377.8,362.0,367.95,367.5,401.9,256.1,346283,128828127.65,,372.03,EQ
07-12-2005,369.0,376.0,366.15,370.8,370.05,401.9,256.1,130280,48475844.15,,372.09,EQ
08-12-2005,373.0,379.4,372.55,374.05,375.0,401.9,256.1,175893,66072689.7,,375.64,EQ
09-12-2005,376.0,404.2,375.0,388.25,388.5,404.2,256.1,404315,158056688.8,,390.92,EQ
12-12-2005,389.0,394.6,380.2,385.8,386.0,404.2,256.1,198244,76764960.65,,387.22,EQ
13-12-2005,388.65,434.9,386.05,430.3,433.0,434.9,256.1,928386,389000589.85,,419.01,EQ
14-12-2005,430.05,435.0,412.0,413.9,412.8,435.0,256.1,334866,140264902.5,,418.87,EQ
15-12-2005,416.0,467.7,415.0,454.35,448.3,467.7,256.1,1253396,559544580.0,,446.42,EQ
16-12-2005,460.0,480.0,450.05,476.1,474.0,480.0,256.1,1196025,560798206.15,,468.89,EQ
19-12-2005,480.0,567.7,475.0,545.0,541.5,567.7,256.1,2951498,1577834766.55,,534.59,EQ
20-12-2005,544.0,570.0,528.1,534.7,534.0,570.0,256.1,1563765,855095389.05,,546.82,EQ
21-12-2005,537.8,540.5,512.0,519.3,519.65,570.0,256.1,652493,342472007.05,,524.87,EQ
22-12-2005,518.0,526.0,495.0,505.45,511.0,570.0,256.1,681187,345925373.2,,507.83,EQ
23-12-2005,512.0,522.0,490.1,496.45,492.4,570.0,256.1,871061,445246324.8,,511.15,EQ
26-12-2005,496.0,496.45,460.0,469.4,474.0,570.0,256.1,446485,210695353.35,,471.9,EQ
27-12-2005,471.0,516.35,454.0,514.45,516.35,570.0,256.1,930949,465603756.45,,500.14,EQ
28-12-2005,525.15,550.0,525.15,533.05,532.65,570.0,256.1,1066164,575493364.55,,539.78,EQ
29-12-2005,533.0,539.75,521.2,522.75,521.65,570.0,256.1,356525,188522443.4,,528.78,EQ
30-12-2005,524.7,550.0,515.1,533.85,536.0,570.0,256.1,635721,342907011.95,,539.4,EQ
02-01-2006,537.3,547.7,528.0,534.65,532.75,570.0,256.1,291821,157265700.8,,538.91,EQ
03-01-2006,538.6,556.0,528.0,532.3,531.0,570.0,256.1,698814,378659666.4,,541.86,EQ
04-01-2006,537.95,541.7,524.3,528.0,526.0,570.0,256.1,167774,89515860.6,,533.55,EQ
