DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-10-2010,94.0,94.3,90.75,92.35,93.5,94.3,90.75,169890,15722487.15,,92.55,EQ
01-11-2010,93.8,93.8,90.6,92.0,92.85,94.3,90.6,177859,16411657.95,,92.27,EQ
02-11-2010,92.1,93.85,91.0,93.4,93.85,94.3,90.6,198039,18263280.6,,92.22,EQ
03-11-2010,95.0,95.1,94.0,95.05,95.1,95.1,90.6,33386,3167685.9,,94.88,EQ
04-11-2010,96.3,96.65,95.4,96.4,95.4,96.65,90.6,41125,3965509.2,,96.43,EQ
05-11-2010,98.1,98.2,98.0,98.2,98.2,98.2,90.6,23570,2312534.9,,98.11,EQ
08-11-2010,98.5,100.0,96.6,96.65,96.6,100.0,90.6,47689,4697983.2,,98.51,EQ
09-11-2010,95.8,97.0,95.3,95.3,95.3,100.0,90.6,40877,3907245.85,,95.59,EQ
10-11-2010,95.3,95.3,93.6,93.9,93.65,100.0,90.6,44757,4219111.3,,94.27,EQ
11-11-2010,94.2,94.9,92.15,92.25,94.9,100.0,90.6,44169,4102495.2,,92.88,EQ
12-11-2010,90.75,93.5,90.45,92.0,91.0,100.0,90.45,40962,3758413.8,,91.75,EQ
15-11-2010,91.0,92.95,90.2,90.55,90.8,100.0,90.2,45011,4107201.2,,91.25,EQ
16-11-2010,90.5,92.3,90.5,92.0,92.0,100.0,90.2,49070,4490309.35,,91.51,EQ
18-11-2010,92.1,92.85,90.25,90.3,90.3,100.0,90.2,18496,1687511.3,,91.24,EQ
19-11-2010,89.6,91.75,88.55,90.4,89.0,100.0,88.55,17533,1578660.0,,90.04,EQ
22-11-2010,89.5,91.3,89.05,91.15,91.0,100.0,88.55,11175,1006672.4,,90.08,EQ
23-11-2010,90.8,92.3,90.0,91.4,91.4,100.0,88.55,17510,1589473.8,,90.78,EQ
24-11-2010,90.3,93.0,90.3,91.55,91.55,100.0,88.55,17232,1585205.75,,91.99,EQ
25-11-2010,92.3,93.1,90.55,92.8,92.5,100.0,88.55,11110,1025054.0,,92.26,EQ
26-11-2010,93.1,93.5,91.25,91.25,91.25,100.0,88.55,11850,1092804.5,,92.22,EQ
29-11-2010,92.0,92.6,90.0,91.95,91.9,100.0,88.55,11825,1086217.5,,91.86,EQ
30-11-2010,91.5,93.5,90.35,92.05,92.5,100.0,88.55,47074,4311361.1,,91.59,EQ
01-12-2010,93.45,93.45,90.5,92.4,92.4,100.0,88.55,61726,5703005.8,,92.39,EQ
02-12-2010,92.5,92.9,91.9,92.5,92.6,100.0,88.55,67400,6227070.0,,92.39,EQ
03-12-2010,93.0,93.2,91.1,92.9,92.85,100.0,88.55,62276,5776721.65,,92.76,EQ
06-12-2010,93.0,94.3,92.0,93.2,93.1,100.0,88.55,51078,4766624.8,,93.32,EQ
07-12-2010,92.55,94.3,91.45,92.8,92.8,100.0,88.55,61200,5698047.65,,93.11,EQ
08-12-2010,93.7,93.8,92.25,93.0,93.0,100.0,88.55,60330,5614748.45,,93.07,EQ
09-12-2010,92.9,92.9,92.5,92.6,92.6,100.0,88.55,59975,5557603.75,,92.67,EQ
10-12-2010,93.5,94.0,91.3,92.7,92.75,100.0,88.55,68750,6349949.95,,92.36,EQ
13-12-2010,93.8,94.25,92.7,92.95,93.0,100.0,88.55,66215,6170880.0,,93.19,EQ
14-12-2010,93.0,93.8,92.0,92.2,92.0,100.0,88.55,56231,5240981.45,,93.2,EQ
