DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-08-2005,92.55,197.7,92.55,106.3,105.0,197.7,92.55,2306040,273950961.05,,118.8,EQ
31-08-2005,106.8,109.9,101.65,102.9,101.65,197.7,92.55,340172,35918758.9,,105.59,EQ
01-09-2005,110.0,110.0,93.5,95.9,93.5,197.7,92.55,139293,13884720.9,,99.68,EQ
02-09-2005,100.0,100.0,93.3,94.25,94.0,197.7,92.55,195764,18706212.45,,95.55,EQ
05-09-2005,97.8,97.8,94.5,95.0,95.05,197.7,92.55,68457,6542459.4,,95.57,EQ
06-09-2005,98.85,98.85,95.0,95.85,96.25,197.7,92.55,38143,3653808.6,,95.79,EQ
08-09-2005,95.7,97.5,95.0,95.25,95.0,197.7,92.55,41710,3994231.95,,95.76,EQ
09-09-2005,95.3,95.95,93.8,94.05,94.1,197.7,92.55,19704,1860421.9,,94.42,EQ
12-09-2005,94.5,98.5,94.1,97.75,98.3,197.7,92.55,49629,4822824.95,,97.18,EQ
13-09-2005,97.5,107.4,97.5,103.8,103.5,197.7,92.55,138153,14237698.6,,103.06,EQ
14-09-2005,104.5,106.0,98.1,100.35,100.0,197.7,92.55,78815,8045407.9,,102.08,EQ
15-09-2005,102.0,102.8,100.0,102.15,102.1,197.7,92.55,46767,4764254.2,,101.87,EQ
16-09-2005,103.3,103.7,101.8,102.2,102.95,197.7,92.55,19388,1987441.75,,102.51,EQ
19-09-2005,102.3,103.4,99.5,100.65,99.5,197.7,92.55,16704,1688797.85,,101.1,EQ
20-09-2005,100.1,100.45,96.55,97.0,96.9,197.7,92.55,22233,2180364.65,,98.07,EQ
21-09-2005,97.9,97.9,88.2,92.75,92.5,197.7,88.2,38654,3564897.75,,92.23,EQ
22-09-2005,93.25,95.7,88.6,90.15,90.5,197.7,88.2,54109,5005744.65,,92.51,EQ
