DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-07-2020,669.25,803.1,664.0,741.65,752.0,803.1,664.0,35781623,25863451611.0,998295,722.81,EQ
24-07-2020,754.0,793.9,723.35,731.2,734.5,803.1,664.0,7743490,5858160293.85,311421,756.53,EQ
27-07-2020,737.25,748.8,681.2,727.3,723.0,803.1,664.0,4512553,3246683490.25,156953,719.48,EQ
28-07-2020,715.0,738.0,711.1,716.5,714.0,803.1,664.0,1427725,1036652596.85,55435,726.09,EQ
29-07-2020,714.05,722.2,700.0,702.85,702.0,803.1,664.0,879722,624914944.2,33599,710.36,EQ
30-07-2020,705.0,713.0,675.0,683.8,679.2,803.1,664.0,1091599,754590207.25,49949,691.27,EQ
31-07-2020,686.0,730.0,666.0,715.05,718.0,803.1,664.0,2528271,1800016098.05,68574,711.96,EQ
03-08-2020,714.8,717.9,697.0,711.9,713.1,803.1,664.0,712557,504968983.35,19297,708.67,EQ
04-08-2020,717.1,748.5,707.75,742.5,741.3,803.1,664.0,1416595,1035703216.6,39018,731.12,EQ
05-08-2020,744.0,772.75,742.1,748.95,746.0,803.1,664.0,2143492,1628102175.8,57402,759.56,EQ
06-08-2020,751.6,767.85,750.1,754.75,753.1,803.1,664.0,842088,638826830.4,21038,758.62,EQ
07-08-2020,756.9,769.5,742.3,753.65,754.0,803.1,664.0,744142,562853664.4,17888,756.38,EQ
10-08-2020,757.9,768.0,743.7,751.15,752.0,803.1,664.0,529715,401366500.95,13567,757.7,EQ
11-08-2020,754.95,818.8,751.05,766.85,763.0,818.8,664.0,6008822,4763106890.45,123865,792.69,EQ
12-08-2020,755.4,778.9,751.0,758.0,757.0,818.8,664.0,922208,706721966.85,26043,766.34,EQ
13-08-2020,765.8,784.95,757.5,773.3,772.2,818.8,664.0,1039156,804683131.55,29859,774.36,EQ
14-08-2020,774.0,781.9,675.15,740.65,743.0,818.8,664.0,997328,747447169.0,30423,749.45,EQ
17-08-2020,750.75,755.95,734.1,738.5,737.5,818.8,664.0,549428,408855554.9,17288,744.15,EQ
18-08-2020,743.65,793.85,739.25,783.75,784.2,818.8,664.0,1630817,1258840524.6,54388,771.91,EQ
