DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-12-2024,559.7,579.0,531.75,531.75,531.75,579,531.75,177963,96852724.35,985,544.23,BE
10-12-2024,505.2,505.2,505.2,505.2,505.2,579,505.2,2795,1412034.0,99,505.2,BE
11-12-2024,483.35,530.45,483.35,530.45,530.45,579,483.35,172751,89318851.15,1021,517.04,BE
12-12-2024,556.0,556.0,522.75,543.6,549.95,579,483.35,135618,73559982.6,1270,542.41,BE
13-12-2024,549.7,549.7,516.45,538.0,536.05,579,483.35,63915,33641682.55,790,526.35,BE
16-12-2024,535.0,535.0,511.1,511.1,511.1,579,483.35,39453,20349269.1,624,515.79,BE
17-12-2024,500.0,523.35,485.55,515.25,512.0,579,483.35,55777,27592090.65,743,494.69,BE
18-12-2024,514.75,514.75,492.0,493.55,497.0,579,483.35,30189,15115118.8,354,500.68,BE
19-12-2024,493.55,509.4,475.0,498.05,501.0,579,475.0,31543,15463331.6,343,490.23,BE
20-12-2024,490.0,500.0,485.15,493.0,489.0,579,475.0,27742,13631351.65,433,491.36,BE
23-12-2024,500.0,514.0,454.55,469.1,461.35,579,454.55,30583,14866814.4,586,486.11,EQ
24-12-2024,488.0,488.0,465.4,472.05,471.0,579,454.55,7162,3373981.05,406,471.09,EQ
26-12-2024,471.0,477.4,444.05,464.05,463.0,579,444.05,34635,15834279.9,1154,457.18,EQ
27-12-2024,460.0,477.0,454.0,459.95,462.8,579,444.05,20731,9620855.85,1824,464.08,EQ
