DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
06-12-2010,75.0,80.5,67.2,68.9,67.9,80.5,67.2,29407319,2162329411.65,,73.53,EQ
07-12-2010,69.0,69.45,63.6,65.9,66.0,80.5,63.6,3925519,257175529.0,,65.51,EQ
08-12-2010,64.9,66.0,62.45,63.15,63.05,80.5,62.45,796185,51096766.25,,64.18,EQ
09-12-2010,62.1,64.0,55.2,58.35,59.1,80.5,55.2,969103,57195843.65,,59.02,EQ
10-12-2010,57.5,58.95,56.5,57.45,58.2,80.5,55.2,381362,21811033.5,,57.19,EQ
13-12-2010,57.5,58.4,51.0,57.1,56.7,80.5,51.0,271608,15373786.05,,56.6,EQ
14-12-2010,55.1,57.4,55.1,55.85,55.3,80.5,51.0,167891,9387467.7,,55.91,EQ
15-12-2010,56.0,57.0,54.25,54.85,54.95,80.5,51.0,175872,9784583.45,,55.63,EQ
16-12-2010,56.5,63.5,53.1,59.95,59.8,80.5,51.0,1375260,83100660.85,,60.43,EQ
20-12-2010,57.85,62.8,56.0,58.95,58.2,80.5,51.0,382846,22948337.6,,59.94,EQ
21-12-2010,59.0,61.0,58.5,59.4,58.8,80.5,51.0,209989,12529187.7,,59.67,EQ
22-12-2010,59.4,61.85,59.0,59.4,59.55,80.5,51.0,193255,11688347.4,,60.48,EQ
23-12-2010,60.4,60.5,57.55,58.05,57.6,80.5,51.0,68174,4014572.1,,58.89,EQ
24-12-2010,58.6,60.0,57.7,58.7,58.5,80.5,51.0,124876,7318753.75,,58.61,EQ
27-12-2010,58.25,59.8,58.05,58.45,58.75,80.5,51.0,57219,3366042.55,,58.83,EQ
28-12-2010,58.0,59.4,57.75,57.9,57.8,80.5,51.0,42672,2484698.75,,58.23,EQ
29-12-2010,58.4,58.85,57.5,57.95,57.75,80.5,51.0,43081,2501260.9,,58.06,EQ
30-12-2010,56.2,58.5,56.2,57.3,57.0,80.5,51.0,47110,2716782.0,,57.67,EQ
31-12-2010,58.0,60.75,58.0,58.45,58.25,80.5,51.0,197270,11701897.25,,59.32,EQ
03-01-2011,59.0,59.7,58.6,58.85,58.65,80.5,51.0,39486,2334560.7,,59.12,EQ
04-01-2011,58.3,59.4,58.0,58.55,58.35,80.5,51.0,41033,2408961.4,,58.71,EQ
