DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-11-2021,233.15,241.95,206.0,220.85,221.9,241.95,206.0,148431,32548667.75,5621,219.28,EQ
29-11-2021,215.15,216.4,186.0,198.85,199.55,241.95,186.0,46352,9480318.5,1011,204.53,EQ
30-11-2021,214.0,214.0,187.0,194.9,192.55,241.95,186.0,35071,6982598.15,1416,199.1,EQ
01-12-2021,210.0,221.9,195.0,214.45,220.0,241.95,186.0,33678,7016103.5,645,208.33,EQ
02-12-2021,217.95,249.95,216.5,235.65,236.1,249.95,186.0,212085,50071709.95,3621,236.09,EQ
03-12-2021,244.95,247.0,230.25,241.15,240.5,249.95,186.0,89689,21491497.45,3961,239.62,EQ
06-12-2021,244.9,244.9,225.0,225.95,225.0,249.95,186.0,30757,7153944.25,1332,232.6,EQ
07-12-2021,237.0,237.0,220.9,227.35,231.0,249.95,186.0,37435,8564383.7,2351,228.78,EQ
08-12-2021,231.0,235.0,223.35,228.35,228.5,249.95,186.0,25831,5910753.7,1678,228.82,EQ
09-12-2021,230.05,232.05,216.7,224.6,225.0,249.95,186.0,5333,1207426.3,411,226.41,EQ
10-12-2021,224.0,227.0,182.65,213.5,214.0,249.95,182.65,56299,11904805.4,2705,211.46,EQ
13-12-2021,214.0,230.0,214.0,218.25,217.05,249.95,182.65,24648,5438029.65,1108,220.63,EQ
14-12-2021,216.0,232.0,216.0,229.7,232.0,249.95,182.65,22411,5081770.4,664,226.75,EQ
15-12-2021,230.0,275.6,229.2,270.5,272.0,275.6,182.65,165898,43602502.95,4768,262.83,EQ
16-12-2021,274.0,281.0,254.6,257.85,255.5,281.0,182.65,99964,26810728.35,6061,268.2,EQ
17-12-2021,262.8,268.65,250.05,262.45,263.0,281.0,182.65,43310,11137385.95,2155,257.16,EQ
20-12-2021,262.3,262.3,228.65,249.2,252.0,281.0,182.65,47181,11550197.4,2977,244.81,EQ
21-12-2021,259.0,259.0,231.0,233.05,234.75,281.0,182.65,27194,6661671.25,1036,244.97,EQ
22-12-2021,235.0,250.95,235.0,249.05,250.0,281.0,182.65,20526,5046474.95,604,245.86,EQ
23-12-2021,265.0,274.0,246.15,265.9,263.75,281.0,182.65,58156,15380520.35,2518,264.47,EQ
24-12-2021,272.8,276.55,256.85,271.6,273.0,281.0,182.65,26218,7076055.55,1103,269.89,EQ
27-12-2021,270.25,284.0,268.0,277.25,275.5,284.0,182.65,22684,6274017.05,1099,276.58,EQ
28-12-2021,283.4,283.4,271.2,275.4,275.85,284.0,182.65,18823,5203242.65,650,276.43,EQ
29-12-2021,275.0,279.0,270.05,273.95,271.0,284.0,182.65,13256,3633596.35,404,274.11,EQ
30-12-2021,270.1,280.0,265.2,270.05,265.3,284.0,182.65,15908,4370557.4,669,274.74,EQ
31-12-2021,272.15,279.0,260.05,263.4,260.1,284.0,182.65,13825,3713072.55,605,268.58,EQ
03-01-2022,265.75,273.75,240.75,253.8,253.0,284.0,182.65,25922,6725671.0,790,259.46,EQ
04-01-2022,257.05,263.85,250.75,253.75,252.25,284.0,182.65,18483,4769154.05,836,258.03,EQ
05-01-2022,251.1,256.45,234.1,238.2,240.8,284.0,182.65,37123,9044074.55,2138,243.62,EQ
06-01-2022,237.9,254.0,236.5,247.5,247.0,284.0,182.65,20513,5028424.3,620,245.13,EQ
07-01-2022,236.65,247.0,236.65,238.25,240.0,284.0,182.65,15313,3694513.3,595,241.27,EQ
10-01-2022,253.75,253.75,232.35,235.7,236.0,284.0,182.65,15799,3744252.1,700,236.99,EQ
11-01-2022,244.0,244.0,228.05,229.15,230.0,284.0,182.65,18937,4390200.55,721,231.83,EQ
12-01-2022,235.95,235.95,220.05,223.6,224.75,284.0,182.65,36924,8321039.25,723,225.36,EQ
13-01-2022,224.75,237.85,220.0,234.15,235.5,284.0,182.65,44845,10239441.55,1310,228.33,EQ
14-01-2022,233.4,245.0,228.65,240.85,236.2,284.0,182.65,18041,4317035.9,604,239.29,EQ
17-01-2022,245.0,251.0,240.2,246.05,248.0,284.0,182.65,23940,5902982.9,766,246.57,EQ
18-01-2022,252.0,252.0,233.05,237.5,237.0,284.0,182.65,10772,2595636.0,370,240.96,EQ
19-01-2022,233.45,237.4,224.3,235.5,237.0,284.0,182.65,10353,2414465.9,558,233.21,EQ
20-01-2022,237.1,239.7,225.1,233.25,233.35,284.0,182.65,16081,3706656.15,626,230.5,EQ
21-01-2022,226.0,236.0,226.0,229.55,230.95,284.0,182.65,9146,2108047.75,371,230.49,EQ
24-01-2022,220.55,236.0,215.45,223.25,221.5,284.0,182.65,15943,3567753.1,763,223.78,EQ
25-01-2022,223.0,230.0,202.55,226.25,226.25,284.0,182.65,8972,1984540.2,322,221.19,EQ
27-01-2022,215.05,225.5,211.95,213.8,213.95,284.0,182.65,12963,2827177.5,316,218.1,EQ
28-01-2022,212.0,230.05,205.15,220.4,218.0,284.0,182.65,9901,2204353.7,274,222.64,EQ
31-01-2022,213.0,229.95,213.0,220.5,220.1,284.0,182.65,7097,1584062.6,194,223.2,EQ
01-02-2022,222.65,226.0,211.9,215.25,218.0,284.0,182.65,6579,1433724.25,230,217.92,EQ
02-02-2022,217.85,225.0,215.05,223.3,225.0,284.0,182.65,7230,1604463.35,244,221.92,EQ
03-02-2022,222.95,229.0,217.15,224.35,225.9,284.0,182.65,4078,912140.55,144,223.67,EQ
04-02-2022,224.35,227.3,218.0,221.05,218.25,284.0,182.65,5227,1168567.9,163,223.56,EQ
07-02-2022,221.0,222.15,210.5,216.15,215.2,284.0,182.65,4786,1029045.4,193,215.01,EQ
08-02-2022,218.05,218.05,207.05,212.2,209.6,284.0,182.65,5605,1189913.1,186,212.29,EQ
09-02-2022,214.3,217.15,209.5,210.15,210.0,284.0,182.65,5414,1147642.85,157,211.98,EQ
10-02-2022,206.5,214.7,206.5,211.3,211.0,284.0,182.65,3628,770475.35,91,212.37,EQ
11-02-2022,210.55,214.85,208.0,211.0,210.15,284.0,182.65,7550,1593001.9,211,210.99,EQ
14-02-2022,205.0,207.85,192.1,197.6,196.2,284.0,182.65,17002,3392687.85,522,199.55,EQ
15-02-2022,202.95,210.0,193.0,203.65,210.0,284.0,182.65,12516,2500149.15,339,199.76,EQ
16-02-2022,203.65,205.35,198.0,200.95,200.0,284.0,182.65,5007,1006292.85,162,200.98,EQ
17-02-2022,215.45,215.45,198.2,201.6,200.0,284.0,182.65,5599,1139932.75,174,203.6,EQ
18-02-2022,201.2,201.2,186.35,189.6,189.05,284.0,182.65,13673,2640006.1,374,193.08,EQ
21-02-2022,189.4,190.35,181.55,183.0,183.0,284.0,181.55,33170,6106775.85,427,184.11,EQ
22-02-2022,180.0,188.1,162.95,182.15,180.0,284.0,162.95,45333,8057829.8,894,177.75,EQ
23-02-2022,175.45,182.1,172.1,173.1,173.0,284.0,162.95,27111,4751424.65,553,175.26,EQ
24-02-2022,160.5,166.65,152.05,156.3,155.25,284.0,152.05,47212,7533960.1,1244,159.58,EQ
25-02-2022,159.0,173.95,159.0,164.65,166.0,284.0,152.05,14959,2482958.75,711,165.98,EQ
28-02-2022,163.65,167.45,157.2,166.6,167.1,284.0,152.05,16238,2655323.15,574,163.53,EQ
02-03-2022,166.0,169.5,162.4,165.8,165.0,284.0,152.05,53388,8910408.7,853,166.9,EQ
03-03-2022,168.75,168.75,161.0,161.8,161.0,284.0,152.05,16110,2633378.15,770,163.46,EQ
04-03-2022,161.15,164.0,155.0,156.7,155.05,284.0,152.05,23222,3696473.65,702,159.18,EQ
07-03-2022,155.0,158.0,147.15,155.9,158.0,284.0,147.15,22321,3435014.7,203,153.89,EQ
08-03-2022,156.55,163.9,156.55,159.95,161.35,284.0,147.15,7824,1252375.15,181,160.07,EQ
09-03-2022,163.15,168.0,157.85,164.7,165.0,284.0,147.15,15647,2555098.35,378,163.3,EQ
10-03-2022,168.1,186.0,161.85,176.2,176.4,284.0,147.15,23756,4141452.35,571,174.33,EQ
11-03-2022,176.2,180.0,171.25,177.8,178.9,284.0,147.15,4970,880765.8,265,177.22,EQ
14-03-2022,179.4,187.9,168.05,172.6,173.95,284.0,147.15,22638,3969186.35,357,175.33,EQ
15-03-2022,172.5,176.0,164.4,168.1,167.55,284.0,147.15,12298,2095763.75,495,170.42,EQ
16-03-2022,172.5,173.5,163.3,168.1,167.0,284.0,147.15,15636,2629937.9,527,168.2,EQ
17-03-2022,171.9,172.9,160.1,163.15,162.2,284.0,147.15,30185,4992098.35,457,165.38,EQ
21-03-2022,168.0,169.5,158.9,163.1,163.5,284.0,147.15,16088,2636861.45,455,163.9,EQ
22-03-2022,163.05,170.5,158.9,169.35,169.1,284.0,147.15,10328,1713080.85,306,165.87,EQ
23-03-2022,184.0,203.2,175.8,191.45,192.5,284.0,147.15,328330,64128381.75,7574,195.32,EQ
24-03-2022,191.45,192.45,184.05,186.65,186.05,284.0,147.15,44008,8249015.25,1331,187.44,EQ
25-03-2022,186.65,191.7,174.3,177.55,178.0,284.0,147.15,22140,4040346.1,891,182.49,EQ
28-03-2022,174.6,177.95,168.85,171.35,169.75,284.0,147.15,32924,5632957.75,1012,171.09,EQ
29-03-2022,169.75,176.7,169.75,170.75,171.0,284.0,147.15,23124,4007649.5,1160,173.31,EQ
30-03-2022,173.55,182.8,170.9,175.65,175.1,284.0,147.15,15382,2735092.55,743,177.81,EQ
31-03-2022,179.7,190.0,176.55,186.9,189.0,284.0,147.15,24373,4505823.0,1005,184.87,EQ
01-04-2022,189.9,196.0,178.25,180.9,181.7,284.0,147.15,30751,5806513.95,1198,188.82,EQ
04-04-2022,182.9,189.0,180.0,186.8,183.25,284.0,147.15,28505,5247599.65,651,184.09,EQ
05-04-2022,186.85,188.75,171.0,174.65,175.0,284.0,147.15,87159,15310118.0,1987,175.66,EQ
06-04-2022,177.5,181.9,174.05,178.85,179.1,284.0,147.15,22536,3998884.0,429,177.44,EQ
07-04-2022,180.1,181.95,175.0,179.55,180.1,284.0,147.15,19593,3489466.35,316,178.1,EQ
08-04-2022,179.5,182.0,171.95,175.55,175.05,284.0,147.15,13758,2425822.6,351,176.32,EQ
11-04-2022,181.0,183.65,175.1,176.5,175.9,284.0,147.15,17887,3224836.15,423,180.29,EQ
12-04-2022,170.05,180.0,170.05,176.8,176.8,284.0,147.15,12117,2147667.4,296,177.24,EQ
13-04-2022,178.0,189.9,176.95,186.05,186.0,284.0,147.15,16916,3087037.25,388,182.49,EQ
18-04-2022,184.0,195.0,181.55,193.95,194.95,284.0,147.15,28017,5311705.45,740,189.59,EQ
19-04-2022,203.4,203.4,196.4,201.8,202.0,284.0,147.15,81105,16350647.0,853,201.6,EQ
20-04-2022,204.0,229.0,200.3,221.15,222.9,284.0,147.15,117273,25692218.8,3116,219.08,EQ
21-04-2022,218.0,221.0,212.0,212.9,214.0,284.0,147.15,19551,4245227.15,552,217.14,EQ
22-04-2022,220.0,220.0,210.0,214.7,218.8,284.0,147.15,11081,2385270.75,376,215.26,EQ
25-04-2022,218.0,218.0,187.0,200.4,197.15,284.0,147.15,27350,5527653.65,819,202.11,EQ
26-04-2022,196.0,206.05,196.0,202.35,202.1,284.0,147.15,12514,2544373.3,263,203.32,EQ
27-04-2022,205.8,205.8,200.0,204.1,200.0,284.0,147.15,5340,1087557.1,130,203.66,EQ
28-04-2022,201.6,210.0,196.75,203.4,210.0,284.0,147.15,6603,1326465.75,254,200.89,EQ
29-04-2022,204.35,212.95,204.3,211.05,211.0,284.0,147.15,11061,2328824.6,209,210.54,EQ
02-05-2022,217.0,217.0,197.45,204.45,201.35,284.0,147.15,21983,4529315.95,658,206.04,EQ
04-05-2022,206.05,212.05,191.0,191.25,191.05,284.0,147.15,18143,3592520.7,583,198.01,EQ
05-05-2022,207.0,207.0,196.05,199.15,200.0,284.0,147.15,11676,2352166.7,670,201.45,EQ
06-05-2022,204.9,204.9,191.95,194.5,193.5,284.0,147.15,8655,1708566.8,481,197.41,EQ
09-05-2022,195.0,195.0,182.6,187.7,188.9,284.0,147.15,20704,3856561.2,972,186.27,EQ
10-05-2022,182.15,191.0,180.1,181.6,185.0,284.0,147.15,17128,3176797.2,1158,185.47,EQ
11-05-2022,182.65,189.0,173.75,181.7,182.5,284.0,147.15,33813,6079398.8,2488,179.79,EQ
12-05-2022,177.15,184.55,173.7,176.2,175.0,284.0,147.15,19860,3536084.85,1613,178.05,EQ
13-05-2022,177.3,207.7,175.65,186.35,207.65,284.0,147.15,15194,2777926.4,844,182.83,EQ
16-05-2022,191.95,200.0,177.45,178.45,178.0,284.0,147.15,17115,3148620.45,536,183.97,EQ
17-05-2022,183.85,186.5,176.0,182.0,181.0,284.0,147.15,12823,2308353.85,373,180.02,EQ
18-05-2022,184.95,190.0,181.95,182.6,182.0,284.0,147.15,5377,997383.1,171,185.49,EQ
19-05-2022,184.15,185.0,173.0,179.95,182.0,284.0,147.15,5533,992061.8,298,179.3,EQ
20-05-2022,184.35,187.8,180.35,183.55,184.0,284.0,147.15,2483,456544.85,121,183.87,EQ
23-05-2022,183.9,183.9,172.0,178.45,177.0,284.0,147.15,11145,1986109.9,221,178.21,EQ
24-05-2022,174.9,180.2,171.4,173.05,172.25,284.0,147.15,5796,1014175.65,212,174.98,EQ
25-05-2022,172.7,177.9,159.9,161.7,163.55,284.0,147.15,8762,1470621.25,536,167.84,EQ
26-05-2022,162.35,171.9,161.2,170.5,171.9,284.0,147.15,10087,1695130.0,250,168.05,EQ
27-05-2022,166.55,174.5,166.55,172.95,174.5,284.0,147.15,2098,359406.75,73,171.31,EQ
30-05-2022,161.85,183.55,161.85,178.45,180.0,284.0,147.15,6647,1181406.0,296,177.74,EQ
31-05-2022,178.45,178.45,150.0,165.65,165.95,284.0,147.15,26312,4365987.5,506,165.93,EQ
01-06-2022,164.0,169.95,161.0,164.4,161.1,284.0,147.15,5450,901328.75,233,165.38,EQ
02-06-2022,169.0,169.0,160.05,165.1,169.0,284.0,147.15,7380,1207981.0,153,163.68,EQ
03-06-2022,165.95,172.5,162.35,163.2,163.1,284.0,147.15,8780,1460823.1,232,166.38,EQ
06-06-2022,160.35,166.3,157.0,165.95,163.05,284.0,147.15,11790,1922319.1,259,163.05,EQ
07-06-2022,172.0,172.0,162.05,165.15,162.1,284.0,147.15,3304,546785.25,128,165.49,EQ
08-06-2022,167.0,167.7,159.85,163.05,164.05,284.0,147.15,7304,1187689.4,256,162.61,EQ
09-06-2022,163.3,167.05,159.0,164.7,164.0,284.0,147.15,7843,1276558.8,575,162.76,EQ
10-06-2022,161.35,173.85,160.55,165.7,166.9,284.0,147.15,9373,1559903.85,262,166.43,EQ
13-06-2022,156.15,164.0,155.55,158.3,159.0,284.0,147.15,16513,2617001.65,318,158.48,EQ
14-06-2022,158.75,165.0,158.0,160.2,164.0,284.0,147.15,6337,1017422.8,209,160.55,EQ
15-06-2022,165.75,165.75,155.3,157.9,157.05,284.0,147.15,5960,945796.65,141,158.69,EQ
16-06-2022,161.85,162.55,155.7,157.85,159.8,284.0,147.15,5741,906178.65,183,157.84,EQ
17-06-2022,162.85,162.85,150.0,150.65,154.75,284.0,147.15,8196,1261277.05,265,153.89,EQ
20-06-2022,148.55,153.4,140.0,141.6,141.0,284.0,140.0,9232,1335443.1,245,144.65,EQ
21-06-2022,139.5,152.15,139.5,145.25,145.05,284.0,139.5,5109,743572.05,187,145.54,EQ
22-06-2022,152.0,152.0,137.55,142.0,149.0,284.0,137.55,6869,983158.05,592,143.13,EQ
23-06-2022,150.0,150.0,137.55,144.4,137.55,284.0,137.55,3721,542293.35,179,145.74,EQ
24-06-2022,148.0,148.85,142.05,147.15,146.45,284.0,137.55,2956,432175.35,130,146.2,EQ
27-06-2022,150.05,163.0,150.05,160.2,159.0,284.0,137.55,6466,1023481.15,274,158.29,EQ
28-06-2022,160.85,163.0,155.65,156.65,156.6,284.0,137.55,1843,294192.0,100,159.63,EQ
29-06-2022,156.45,162.3,152.35,155.4,155.25,284.0,137.55,3407,536461.05,218,157.46,EQ
30-06-2022,158.45,185.0,154.55,181.1,176.0,284.0,137.55,42739,7494259.75,2160,175.35,EQ
01-07-2022,198.0,217.0,186.0,208.0,210.9,284.0,137.55,190022,38433978.65,2869,202.26,EQ
04-07-2022,197.55,207.45,187.65,190.0,190.0,284.0,137.55,52897,10280416.6,1428,194.35,EQ
05-07-2022,194.9,199.0,186.75,189.3,188.0,284.0,137.55,11688,2267092.0,506,193.97,EQ
06-07-2022,190.0,195.45,182.95,185.1,185.0,284.0,137.55,8840,1658030.2,356,187.56,EQ
07-07-2022,190.0,190.0,180.5,181.25,180.6,284.0,137.55,7036,1290540.85,281,183.42,EQ
08-07-2022,184.9,186.2,180.1,183.4,181.7,284.0,137.55,2774,510385.2,122,183.99,EQ
11-07-2022,189.0,189.0,174.35,179.55,179.5,284.0,137.55,6903,1238892.15,270,179.47,EQ
12-07-2022,182.0,186.7,180.65,183.9,183.0,284.0,137.55,5184,950153.95,120,183.29,EQ
13-07-2022,190.0,190.0,181.75,182.25,181.75,284.0,137.55,4261,785510.05,130,184.35,EQ
14-07-2022,182.6,184.9,177.75,179.6,178.0,284.0,137.55,4195,759565.9,147,181.06,EQ
15-07-2022,178.8,183.7,177.0,177.55,177.1,284.0,137.55,2637,473353.3,123,179.5,EQ
18-07-2022,181.15,181.2,174.15,178.05,178.95,284.0,137.55,2842,504992.0,143,177.69,EQ
19-07-2022,181.85,191.7,177.6,188.25,187.4,284.0,137.55,6491,1214879.05,283,187.16,EQ
20-07-2022,193.9,194.0,187.75,190.8,190.65,284.0,137.55,8950,1718552.25,183,192.02,EQ
21-07-2022,191.0,192.75,183.0,184.9,185.4,284.0,137.55,6867,1279610.15,234,186.34,EQ
22-07-2022,187.7,195.0,184.75,186.85,187.0,284.0,137.55,8229,1561839.75,261,189.8,EQ
25-07-2022,182.0,189.55,182.0,183.1,183.0,284.0,137.55,3375,622338.6,169,184.4,EQ
26-07-2022,184.95,186.8,170.0,173.7,177.9,284.0,137.55,7167,1272723.2,330,177.58,EQ
27-07-2022,175.0,183.2,173.8,176.7,176.15,284.0,137.55,2774,493798.4,175,178.01,EQ
28-07-2022,180.0,184.4,173.65,180.35,183.0,284.0,137.55,4608,826581.85,221,179.38,EQ
29-07-2022,180.2,183.1,176.2,179.9,180.0,284.0,137.55,5654,1013290.3,182,179.22,EQ
01-08-2022,179.95,181.85,178.0,179.7,179.6,284.0,137.55,4610,828923.75,144,179.81,EQ
02-08-2022,180.0,188.0,176.85,185.15,187.9,284.0,137.55,7662,1388658.0,187,181.24,EQ
03-08-2022,190.0,190.0,180.2,181.0,180.6,284.0,137.55,7497,1370778.15,357,182.84,EQ
04-08-2022,183.6,187.8,181.7,185.65,186.8,284.0,137.55,6403,1182749.85,167,184.72,EQ
05-08-2022,189.9,189.9,181.1,185.7,185.0,284.0,137.55,4790,886720.9,133,185.12,EQ
08-08-2022,189.85,189.85,184.0,184.5,186.0,284.0,137.55,8173,1521577.55,266,186.17,EQ
10-08-2022,189.8,189.8,182.5,186.4,186.4,284.0,137.55,9971,1838857.5,194,184.42,EQ
11-08-2022,189.0,189.0,179.1,179.9,180.7,284.0,137.55,9791,1783032.95,237,182.11,EQ
12-08-2022,182.95,185.0,178.0,180.9,178.0,284.0,137.55,11103,2016565.65,326,181.62,EQ
16-08-2022,190.0,217.0,189.0,213.4,215.0,284.0,137.55,203228,42496687.9,3953,209.11,EQ
17-08-2022,224.0,224.0,203.0,207.7,204.0,284.0,137.55,71561,15349592.15,1957,214.5,EQ
18-08-2022,205.0,213.8,205.0,209.35,209.0,284.0,137.55,34112,7145373.05,906,209.47,EQ
19-08-2022,213.95,228.55,203.0,209.65,206.9,284.0,137.55,117383,25567007.25,3083,217.81,EQ
22-08-2022,208.45,244.0,206.1,241.25,243.95,284.0,137.55,174340,41020380.2,5050,235.29,EQ
23-08-2022,246.8,253.0,221.35,235.85,237.0,284.0,137.55,125241,30382116.1,4603,242.59,EQ
24-08-2022,231.15,268.0,230.05,254.75,255.0,284.0,137.55,120406,30791949.65,2960,255.73,EQ
25-08-2022,258.0,259.95,241.35,248.95,251.0,284.0,137.55,59546,14968856.7,1547,251.38,EQ
26-08-2022,256.95,259.8,237.55,244.9,243.75,284.0,137.55,39580,9806755.65,1063,247.77,EQ
29-08-2022,237.35,238.8,223.35,226.45,227.0,284.0,137.55,63858,14696332.05,1392,230.14,EQ
30-08-2022,232.0,237.25,213.0,220.15,221.0,284.0,137.55,87413,19403368.6,1847,221.97,EQ
01-09-2022,230.0,230.0,211.25,213.65,214.5,284.0,137.55,93160,20170412.55,1719,216.51,EQ
02-09-2022,219.8,221.8,208.0,209.45,208.15,284.0,137.55,85700,18158082.4,2218,211.88,EQ
05-09-2022,215.55,215.55,203.95,205.2,204.2,284.0,137.55,65759,13541959.65,1766,205.93,EQ
06-09-2022,208.95,208.95,197.6,201.75,202.7,284.0,137.55,66418,13496866.0,1777,203.21,EQ
07-09-2022,205.9,217.15,200.05,203.25,203.75,284.0,137.55,71477,14855701.4,2728,207.84,EQ
08-09-2022,206.0,218.8,205.8,215.05,216.15,284.0,137.55,61943,13223905.7,2671,213.49,EQ
09-09-2022,223.0,226.65,210.0,213.5,214.9,284.0,137.55,98301,21353011.95,3958,217.22,EQ
12-09-2022,216.75,218.05,206.8,208.55,208.5,284.0,137.55,55944,11792991.75,1558,210.8,EQ
