DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-04-2006,285.0,350.0,232.25,249.65,250.15,350.0,232.25,8210059,2139760689.5,,260.63,EQ
27-04-2006,253.25,264.0,240.15,244.55,242.1,350.0,232.25,1349897,343886539.7,,254.75,EQ
28-04-2006,230.0,240.0,197.05,220.25,219.0,350.0,197.05,540026,121304313.4,,224.63,EQ
29-04-2006,223.7,236.7,221.0,228.35,228.7,350.0,197.05,423112,97353418.15,,230.09,EQ
02-05-2006,229.95,238.6,229.95,232.9,231.75,350.0,197.05,321838,75234670.2,,233.77,EQ
03-05-2006,234.0,237.45,220.15,223.2,221.85,350.0,197.05,260620,60017136.8,,230.29,EQ
04-05-2006,225.75,226.0,214.0,215.2,215.85,350.0,197.05,204430,44859701.15,,219.44,EQ
05-05-2006,220.0,221.95,210.25,213.25,210.3,350.0,197.05,108912,23576589.65,,216.47,EQ
08-05-2006,213.0,220.0,211.0,212.9,214.0,350.0,197.05,96000,20645885.25,,215.06,EQ
09-05-2006,215.15,219.4,208.45,213.65,214.5,350.0,197.05,135576,29020589.5,,214.05,EQ
10-05-2006,214.0,217.0,212.0,213.4,215.0,350.0,197.05,67626,14505700.7,,214.5,EQ
11-05-2006,213.0,214.9,210.1,210.8,210.1,350.0,197.05,52784,11203696.85,,212.26,EQ
12-05-2006,209.9,209.9,202.0,204.2,203.5,350.0,197.05,71427,14718777.15,,206.07,EQ
15-05-2006,205.05,214.0,195.0,198.1,195.0,350.0,195.0,114525,23553719.6,,205.66,EQ
16-05-2006,200.0,203.4,187.25,189.35,188.1,350.0,187.25,67734,13077385.45,,193.07,EQ
17-05-2006,194.0,197.9,192.0,192.85,192.25,350.0,187.25,48298,9367468.85,,193.95,EQ
18-05-2006,192.0,192.0,165.0,170.05,165.0,350.0,165.0,55936,10146051.4,,181.39,EQ
19-05-2006,180.0,180.0,158.0,161.55,158.0,350.0,158.0,80213,13598732.7,,169.53,EQ
22-05-2006,164.9,178.0,135.0,142.9,143.0,350.0,135.0,70952,10698118.4,,150.78,EQ
23-05-2006,142.0,171.5,114.35,169.4,171.0,350.0,114.35,126812,19622103.95,,154.73,EQ
24-05-2006,175.0,184.5,165.0,171.8,171.25,350.0,114.35,96508,16988041.7,,176.03,EQ
25-05-2006,171.5,171.5,140.1,164.1,163.35,350.0,114.35,34024,5586485.2,,164.19,EQ
26-05-2006,168.0,174.0,167.05,169.7,170.85,350.0,114.35,42448,7235456.95,,170.45,EQ
29-05-2006,169.9,177.85,169.9,172.2,172.0,350.0,114.35,41901,7260966.85,,173.29,EQ
30-05-2006,172.3,172.3,170.0,170.5,170.0,350.0,114.35,20971,3585066.0,,170.95,EQ
31-05-2006,161.0,167.0,158.05,163.9,164.0,350.0,114.35,33239,5392824.2,,162.24,EQ
