DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-08-2024,96.0,99.9,91.56,95.75,95.5,99.9,91.56,305591,29854797.83,5309,97.7,EQ
09-08-2024,99.99,100.0,92.34,96.26,97.8,100.0,91.56,180216,17268132.73,8087,95.82,EQ
12-08-2024,96.0,96.5,92.48,95.0,93.77,100.0,91.56,175979,16593281.35,4959,94.29,EQ
13-08-2024,95.09,98.45,87.8,92.61,91.98,100.0,87.8,173626,16481061.48,7521,94.92,EQ
14-08-2024,92.81,99.01,89.31,92.61,93.2,100.0,87.8,871533,82505822.38,13013,94.67,EQ
16-08-2024,94.93,94.93,91.5,92.57,92.59,100.0,87.8,114745,10646183.93,5287,92.78,EQ
19-08-2024,92.01,94.25,91.5,92.75,92.5,100.0,87.8,109420,10142530.85,4066,92.69,EQ
20-08-2024,93.0,94.26,90.0,90.46,90.01,100.0,87.8,100472,9210932.88,4194,91.68,EQ
21-08-2024,91.8,93.19,90.1,91.54,91.55,100.0,87.8,246896,22626347.89,6909,91.64,EQ
22-08-2024,91.54,92.97,91.1,92.5,92.36,100.0,87.8,161181,14872882.54,4037,92.27,EQ
23-08-2024,93.4,93.4,91.27,91.77,91.62,100.0,87.8,62853,5784376.46,2992,92.03,EQ
26-08-2024,91.77,93.49,87.44,88.31,88.15,100.0,87.44,264919,23556096.97,7591,88.92,EQ
27-08-2024,89.0,90.58,87.25,87.73,88.0,100.0,87.25,110061,9753321.32,3866,88.62,EQ
28-08-2024,87.26,89.4,86.8,87.11,87.0,100.0,86.8,87387,7685634.29,2676,87.95,EQ
29-08-2024,87.86,90.04,84.79,85.92,85.42,100.0,84.79,304143,26589262.54,5762,87.42,EQ
30-08-2024,87.2,88.18,85.41,86.38,86.29,100.0,84.79,142098,12303478.88,4007,86.58,EQ
02-09-2024,87.7,87.89,83.75,84.09,84.14,100.0,83.75,158862,13480933.92,4867,84.86,EQ
03-09-2024,85.35,86.32,84.15,85.07,85.32,100.0,83.75,106052,9041105.9,3377,85.25,EQ
04-09-2024,85.07,85.67,84.05,84.82,84.62,100.0,83.75,56986,4837021.33,2653,84.88,EQ
05-09-2024,85.65,87.49,83.6,84.23,84.4,100.0,83.6,207163,17676549.49,5594,85.33,EQ
06-09-2024,85.41,85.6,84.0,84.85,84.94,100.0,83.6,103853,8808692.85,3333,84.82,EQ
09-09-2024,85.7,86.13,82.91,83.99,84.4,100.0,82.91,121465,10248191.67,3288,84.37,EQ
10-09-2024,83.7,85.6,83.7,85.29,84.7,100.0,82.91,182834,15463844.76,4719,84.58,EQ
11-09-2024,84.7,86.41,84.0,85.02,85.54,100.0,82.91,81297,6906272.3,2764,84.95,EQ
