DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,153.0,154.0,153.0,154.0,,,,150,23050.0,,153.67,EQ
02-01-1996,154.0,156.0,152.0,154.1,,,,850,130790.0,,153.87,EQ
03-01-1996,162.0,162.0,152.0,152.0,,,,650,103805.0,,159.7,EQ
04-01-1996,152.0,156.95,150.0,156.95,,,,350,53522.5,,152.92,EQ
05-01-1996,152.5,152.5,152.5,152.5,,,,50,7625.0,,152.5,EQ
08-01-1996,163.0,163.0,150.0,150.0,,,,850,134300.0,,158.0,EQ
09-01-1996,163.0,163.0,149.5,149.5,,,,1300,201475.0,,154.98,EQ
10-01-1996,148.0,148.0,148.0,148.0,,,,100,14800.0,,148.0,EQ
12-01-1996,148.0,150.0,150.0,150.0,,,,150,22500.0,,150.0,EQ
15-01-1996,150.0,150.0,150.0,150.0,,,,100,15000.0,,150.0,EQ
17-01-1996,150.0,146.0,140.05,146.0,,,,250,36107.5,,144.43,EQ
18-01-1996,146.0,145.0,145.0,145.0,,,,50,7250.0,,145.0,EQ
19-01-1996,148.0,148.0,143.0,143.0,,,,150,21700.0,,144.67,EQ
22-01-1996,142.25,145.0,142.25,145.0,,,,500,71747.5,,143.5,EQ
23-01-1996,145.0,150.5,145.0,149.35,,,,1850,274350.0,,148.3,EQ
24-01-1996,149.35,149.5,148.5,149.0,,,,600,89425.0,,149.04,EQ
25-01-1996,149.0,149.25,143.15,143.15,,,,3300,480480.0,,145.6,EQ
29-01-1996,143.15,147.55,146.5,147.55,,,,500,73517.5,,147.04,EQ
30-01-1996,147.55,149.95,147.5,149.95,,,,2950,440477.5,,149.31,EQ
31-01-1996,149.95,152.0,149.05,152.0,,,,850,128252.5,,150.89,EQ
01-02-1996,152.0,155.0,151.0,155.0,,,,300,45850.0,,152.83,EQ
02-02-1996,155.0,155.0,154.5,154.5,,,,300,46375.0,,154.58,EQ
05-02-1996,154.5,160.0,153.0,153.0,,,,700,108700.0,,155.29,EQ
06-02-1996,155.0,155.0,150.0,150.0,,,,500,76375.0,,152.75,EQ
07-02-1996,150.0,150.0,150.0,150.0,,,,100,15000.0,,150.0,EQ
08-02-1996,147.5,148.0,145.15,147.0,,,,500,73582.5,,147.17,EQ
09-02-1996,155.0,158.0,155.0,158.0,,,,550,85850.0,,156.09,EQ
12-02-1996,158.0,165.0,155.0,164.0,,,,900,144862.5,,160.96,EQ
13-02-1996,164.0,166.0,162.0,163.0,,,,1000,163252.5,,163.25,EQ
14-02-1996,165.0,179.0,165.0,179.0,,,,1050,186297.5,,177.43,EQ
15-02-1996,179.0,188.95,173.0,184.2,,,,2000,362045.0,,181.02,EQ
16-02-1996,182.5,185.0,175.0,179.0,,,,1250,225650.0,,180.52,EQ
19-02-1996,179.0,183.9,175.05,178.75,,,,2500,452312.5,,180.93,EQ
20-02-1996,178.75,180.9,175.0,176.0,,,,1750,312980.0,,178.85,EQ
22-02-1996,176.0,180.75,171.5,180.0,,,,1100,193725.0,,176.11,EQ
23-02-1996,180.0,179.0,175.0,179.0,,,,250,44300.0,,177.2,EQ
26-02-1996,179.0,178.0,175.0,175.0,,,,400,70577.5,,176.44,EQ
27-02-1996,175.0,175.0,170.0,171.0,,,,850,146570.0,,172.44,EQ
28-02-1996,172.0,172.0,167.5,168.9,,,,1600,272650.0,,170.41,EQ
29-02-1996,168.9,166.0,162.5,162.5,,,,1000,164015.0,,164.02,EQ
01-03-1996,158.0,160.0,158.0,159.6,,,,250,39780.0,,159.12,EQ
04-03-1996,159.6,160.0,154.0,157.6,,,,1250,197440.0,,157.95,EQ
07-03-1996,157.6,158.0,155.0,158.0,,,,550,85630.0,,155.69,EQ
08-03-1996,156.5,156.5,156.0,156.0,,,,150,23450.0,,156.33,EQ
11-03-1996,156.0,155.0,150.25,151.0,,,,300,45627.5,,152.09,EQ
12-03-1996,151.0,150.0,147.0,147.5,,,,400,59105.0,,147.76,EQ
13-03-1996,147.5,150.0,146.5,150.0,,,,300,44690.0,,148.97,EQ
14-03-1996,150.0,153.0,152.25,152.25,,,,100,15262.5,,152.63,EQ
15-03-1996,154.1,156.0,154.0,155.95,,,,400,62007.5,,155.02,EQ
18-03-1996,155.95,150.0,147.5,148.0,,,,200,29775.0,,148.88,EQ
19-03-1996,148.0,151.0,148.0,149.55,,,,2700,403560.0,,149.47,EQ
21-03-1996,150.1,151.0,150.1,151.0,,,,200,30110.0,,150.55,EQ
22-03-1996,154.8,159.0,154.8,158.35,,,,500,78460.0,,156.92,EQ
25-03-1996,155.0,155.0,150.0,153.0,,,,200,30550.0,,152.75,EQ
26-03-1996,151.0,152.0,150.0,152.0,,,,400,60505.0,,151.26,EQ
27-03-1996,154.0,155.0,154.0,154.1,,,,800,123850.0,,154.81,EQ
28-03-1996,154.1,164.0,160.0,160.8,,,,1550,250617.5,,161.69,EQ
29-03-1996,160.8,167.0,162.0,167.0,,,,1700,279075.0,,164.16,EQ
01-04-1996,167.0,179.5,170.25,170.35,,,,1150,199030.0,,173.07,EQ
02-04-1996,170.35,168.95,163.1,164.2,,,,1000,165380.0,,165.38,EQ
03-04-1996,167.0,167.5,165.0,167.0,,,,250,41675.0,,166.7,EQ
04-04-1996,166.0,166.0,156.0,158.05,,,,1200,191095.0,,159.25,EQ
08-04-1996,158.05,158.05,156.0,156.25,,,,800,125280.0,,156.6,EQ
09-04-1996,155.0,159.95,155.0,158.9,,,,2250,352747.5,,156.78,EQ
10-04-1996,159.95,159.95,157.5,158.0,,,,1150,181710.0,,158.01,EQ
