DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-04-2024,41.25,43.3,41.25,43.3,43.3,43.3,41.25,395,17062.5,19,43.2,BE
03-04-2024,45.45,45.45,45.45,45.45,45.45,45.45,41.25,176,7999.2,16,45.45,BE
04-04-2024,47.7,47.7,47.7,47.7,47.7,47.7,41.25,104,4960.8,12,47.7,BE
05-04-2024,50.05,50.05,50.05,50.05,50.05,50.05,41.25,20,1001.0,5,50.05,BE
08-04-2024,52.55,52.55,52.55,52.55,52.55,52.55,41.25,118,6200.9,4,52.55,BE
09-04-2024,55.15,55.15,55.15,55.15,55.15,55.15,41.25,108,5956.2,5,55.15,BE
10-04-2024,57.9,57.9,57.9,57.9,57.9,57.9,41.25,336,19454.4,7,57.9,BE
12-04-2024,60.75,60.75,60.75,60.75,60.75,60.75,41.25,232,14094.0,15,60.75,BE
15-04-2024,63.75,63.75,63.75,63.75,63.75,63.75,41.25,7,446.25,2,63.75,BE
16-04-2024,66.9,66.9,66.9,66.9,66.9,66.9,41.25,10,669.0,1,66.9,BE
18-04-2024,73.55,73.55,73.55,73.55,73.55,73.55,41.25,62,4560.1,6,73.55,EQ
19-04-2024,80.9,80.9,80.9,80.9,80.9,80.9,41.25,121,9788.9,4,80.9,EQ
22-04-2024,84.9,84.9,84.9,84.9,84.9,84.9,41.25,53,4499.7,6,84.9,BE
23-04-2024,89.1,89.1,89.1,89.1,89.1,89.1,41.25,124,11048.4,10,89.1,BE
24-04-2024,93.55,93.55,93.55,93.55,93.55,93.55,41.25,18,1683.9,3,93.55,BE
25-04-2024,98.2,98.2,98.2,98.2,98.2,98.2,41.25,57,5597.4,5,98.2,BE
26-04-2024,103.1,103.1,103.1,103.1,103.1,103.1,41.25,15,1546.5,5,103.1,BE
29-04-2024,108.25,108.25,108.25,108.25,108.25,108.25,41.25,47,5087.75,5,108.25,BE
30-04-2024,110.4,110.4,110.4,110.4,110.4,110.4,41.25,8,883.2,2,110.4,BE
02-05-2024,112.6,112.6,112.6,112.6,112.6,112.6,41.25,48,5404.8,7,112.6,BE
06-05-2024,114.85,114.85,114.85,114.85,114.85,114.85,41.25,142,16308.7,5,114.85,BE
07-05-2024,117.1,117.1,117.1,117.1,117.1,117.1,41.25,1,117.1,1,117.1,BE
08-05-2024,119.4,119.4,119.4,119.4,119.4,119.4,41.25,17,2029.8,4,119.4,BE
09-05-2024,121.75,121.75,121.75,121.75,121.75,121.75,41.25,72,8766.0,3,121.75,BE
10-05-2024,124.15,124.15,124.15,124.15,124.15,124.15,41.25,22,2731.3,3,124.15,BE
13-05-2024,126.6,126.6,126.6,126.6,126.6,126.6,41.25,3,379.8,2,126.6,BE
14-05-2024,129.1,129.1,129.1,129.1,129.1,129.1,41.25,6,774.6,3,129.1,BE
15-05-2024,131.65,131.65,131.65,131.65,131.65,131.65,41.25,92,12111.8,4,131.65,BE
16-05-2024,134.25,134.25,134.25,134.25,134.25,134.25,41.25,12,1611.0,3,134.25,BE
17-05-2024,136.9,136.9,136.9,136.9,136.9,136.9,41.25,13,1779.7,1,136.9,BE
18-05-2024,139.6,139.6,139.6,139.6,139.6,139.6,41.25,1,139.6,1,139.6,BE
21-05-2024,142.35,142.35,142.35,142.35,142.35,142.35,41.25,60,8541.0,2,142.35,BE
22-05-2024,145.15,145.15,145.15,145.15,145.15,145.15,41.25,13,1886.95,3,145.15,BE
23-05-2024,148.05,148.05,148.05,148.05,148.05,148.05,41.25,120,17766.0,2,148.05,BE
24-05-2024,151.0,151.0,151.0,151.0,151.0,151.0,41.25,21,3171.0,2,151.0,BE
27-05-2024,154.0,154.0,154.0,154.0,154.0,154.0,41.25,8,1232.0,5,154.0,BE
28-05-2024,157.05,157.05,157.05,157.05,157.05,157.05,41.25,40,6282.0,5,157.05,BE
29-05-2024,160.15,160.15,160.15,160.15,160.15,160.15,41.25,6,960.9,2,160.15,BE
30-05-2024,163.35,163.35,163.35,163.35,163.35,163.35,41.25,2,326.7,1,163.35,BE
31-05-2024,166.6,166.6,166.6,166.6,166.6,166.6,41.25,3,499.8,2,166.6,BE
03-06-2024,169.9,169.9,169.9,169.9,169.9,169.9,41.25,16,2718.4,4,169.9,BE
04-06-2024,173.25,173.25,173.25,173.25,173.25,173.25,41.25,86,14899.5,6,173.25,BE
05-06-2024,176.7,176.7,176.7,176.7,176.7,176.7,41.25,21,3710.7,5,176.7,BE
06-06-2024,180.2,180.2,180.2,180.2,180.2,180.2,41.25,21,3784.2,5,180.2,BE
07-06-2024,183.8,183.8,183.8,183.8,183.8,183.8,41.25,26,4778.8,4,183.8,BE
10-06-2024,187.47,187.47,187.47,187.47,187.47,187.47,41.25,78,14622.66,3,187.47,BE
11-06-2024,191.21,191.21,191.21,191.21,191.21,191.21,41.25,6,1147.26,2,191.21,BE
