DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
12-01-2023,85.0,89.25,85.0,89.25,89.25,89.25,85.0,4182739,364507426.55,10080,87.15,BE
13-01-2023,86.0,86.5,84.8,84.8,84.8,89.25,84.8,445813,37987175.05,1977,85.21,BE
16-01-2023,80.6,89.0,80.6,86.9,86.0,89.25,80.6,1498719,124261548.1,4955,82.91,BE
17-01-2023,85.0,86.65,83.0,84.75,85.75,89.25,80.6,640005,54168444.65,2275,84.64,BE
18-01-2023,84.75,86.0,81.15,84.8,85.45,89.25,80.6,380240,32121949.9,1895,84.48,BE
19-01-2023,84.1,84.8,81.15,81.8,82.5,89.25,80.6,118656,9795526.65,1355,82.55,BE
20-01-2023,82.85,83.1,80.1,81.25,81.65,89.25,80.1,94953,7752539.85,1058,81.65,BE
23-01-2023,81.95,84.4,81.0,83.4,83.7,89.25,80.1,279672,23224852.3,1207,83.04,BE
24-01-2023,83.4,86.5,83.0,84.9,85.0,89.25,80.1,391017,33116936.35,1351,84.69,BE
25-01-2023,85.95,87.5,83.0,83.65,84.0,89.25,80.1,313025,26532748.2,1176,84.76,BE
27-01-2023,86.6,92.8,83.0,83.8,84.0,92.8,83.0,1658348,144679049.65,5533,87.24,EQ
30-01-2023,84.25,87.45,82.35,83.0,82.9,92.8,82.35,180248,15183984.3,2827,84.24,EQ
31-01-2023,84.7,88.0,83.05,83.85,84.5,92.8,82.35,490832,41958866.35,4434,85.49,EQ
01-02-2023,84.75,87.4,83.0,84.85,85.4,92.8,82.35,334016,28647653.6,3853,85.77,EQ
02-02-2023,84.55,88.5,83.6,84.2,84.85,92.8,82.35,550303,47684472.45,5053,86.65,EQ
03-02-2023,84.95,86.5,82.45,84.8,84.0,92.8,82.35,149955,12743127.95,2027,84.98,EQ
06-02-2023,84.65,85.5,83.5,84.1,83.5,92.8,82.35,179284,15117956.1,1709,84.32,EQ
07-02-2023,85.7,85.7,82.0,82.45,83.0,92.8,82.0,100511,8384831.15,2096,83.42,EQ
08-02-2023,83.45,83.45,79.55,81.0,81.5,92.8,79.55,119369,9750645.05,2555,81.68,EQ
09-02-2023,80.25,82.8,80.25,82.0,81.45,92.8,79.55,54630,4448852.85,1351,81.44,EQ
10-02-2023,81.95,83.5,81.0,81.4,82.9,92.8,79.55,107371,8845914.6,1852,82.39,EQ
13-02-2023,80.1,83.05,78.0,80.1,80.95,92.8,78.0,87139,7072491.3,2071,81.16,EQ
14-02-2023,81.95,81.95,75.7,76.35,75.95,92.8,75.7,121854,9481246.4,3594,77.81,EQ
15-02-2023,77.4,79.55,75.8,78.5,78.2,92.8,75.7,91418,7147704.65,2298,78.19,EQ
16-02-2023,79.3,82.7,78.5,80.85,81.7,92.8,75.7,483951,39383608.1,5878,81.38,EQ
17-02-2023,81.65,85.8,80.75,82.2,82.75,92.8,75.7,1313813,109577349.35,8642,83.4,EQ
20-02-2023,80.55,84.9,80.55,81.15,81.1,92.8,75.7,447791,36660051.05,4396,81.87,EQ
21-02-2023,82.25,83.0,79.85,80.6,80.9,92.8,75.7,459516,37428990.45,3905,81.45,EQ
22-02-2023,81.45,81.45,77.75,78.35,78.5,92.8,75.7,239561,19128959.25,2471,79.85,EQ
23-02-2023,77.95,79.4,77.05,77.9,78.8,92.8,75.7,210496,16409305.35,2663,77.96,EQ
24-02-2023,79.4,79.4,76.05,77.45,76.5,92.8,75.7,344265,26795332.8,1967,77.83,EQ
27-02-2023,77.9,77.9,70.9,72.05,71.8,92.8,70.9,410289,30081287.85,3394,73.32,EQ
28-02-2023,71.0,76.7,70.55,75.45,75.0,92.8,70.55,404607,29734353.15,3106,73.49,EQ
01-03-2023,77.0,78.0,75.05,75.25,75.2,92.8,70.55,337297,25700626.35,3577,76.2,EQ
02-03-2023,75.25,78.8,74.9,78.35,78.2,92.8,70.55,295580,22821199.4,2591,77.21,EQ
03-03-2023,79.7,79.7,75.4,77.0,76.9,92.8,70.55,441805,34215334.65,2725,77.44,EQ
06-03-2023,78.9,80.45,78.4,80.2,80.45,92.8,70.55,354303,28014911.6,2387,79.07,EQ
08-03-2023,81.75,81.85,78.9,79.2,80.0,92.8,70.55,181180,14516914.0,1818,80.12,EQ
09-03-2023,78.55,80.3,77.05,78.4,78.5,92.8,70.55,124738,9871189.35,1991,79.14,EQ
10-03-2023,79.65,80.75,78.05,78.9,78.75,92.8,70.55,176299,13995205.55,2325,79.38,EQ
13-03-2023,80.4,80.4,76.15,76.8,77.0,92.8,70.55,100894,7807116.05,1659,77.38,EQ
14-03-2023,78.85,78.85,74.25,74.7,75.3,92.8,70.55,126353,9493314.8,1577,75.13,EQ
15-03-2023,76.7,76.7,74.9,75.3,75.7,92.8,70.55,82547,6258488.05,1087,75.82,EQ
16-03-2023,75.75,77.1,73.75,74.65,74.2,92.8,70.55,94146,7007742.45,1477,74.43,EQ
17-03-2023,75.05,76.45,72.7,73.15,73.3,92.8,70.55,102913,7594581.95,1423,73.8,EQ
20-03-2023,73.15,75.45,70.8,74.45,75.0,92.8,70.55,216040,15696758.6,2503,72.66,EQ
21-03-2023,76.0,76.0,71.8,72.15,72.3,92.8,70.55,104071,7601596.2,1865,73.04,EQ
22-03-2023,73.9,74.4,72.25,74.0,73.7,92.8,70.55,109600,8012702.8,1574,73.11,EQ
23-03-2023,73.9,74.9,72.0,73.7,74.05,92.8,70.55,155572,11500614.8,2251,73.92,EQ
24-03-2023,74.65,74.65,71.05,72.0,72.5,92.8,70.55,113156,8202699.8,1270,72.49,EQ
27-03-2023,73.45,73.45,68.65,69.35,69.5,92.8,68.65,88388,6221881.8,1056,70.39,EQ
28-03-2023,69.95,70.65,69.05,69.45,69.05,92.8,68.65,58057,4055567.5,1205,69.85,EQ
29-03-2023,67.55,71.7,67.25,69.9,67.25,92.8,67.25,150491,10574792.55,2212,70.27,EQ
31-03-2023,70.9,71.15,69.3,69.85,69.55,92.8,67.25,74181,5195815.25,1114,70.04,EQ
03-04-2023,71.0,74.85,70.05,73.2,74.05,92.8,67.25,51495,3688100.65,815,71.62,EQ
05-04-2023,74.45,78.25,73.55,76.7,76.6,92.8,67.25,92674,7074438.6,1372,76.34,EQ
06-04-2023,77.85,77.85,75.5,77.1,77.0,92.8,67.25,59939,4590162.15,903,76.58,EQ
10-04-2023,78.25,78.65,74.3,74.7,75.0,92.8,67.25,64987,4934988.2,974,75.94,EQ
11-04-2023,76.5,76.5,74.35,75.0,74.65,92.8,67.25,368065,27599301.55,1012,74.98,EQ
