DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-03-2006,60.0,60.0,42.1,47.1,46.85,60.0,42.1,5354514,268470922.9,,50.14,EQ
09-03-2006,47.5,49.25,46.25,46.75,46.7,60.0,42.1,613073,29218918.0,,47.66,EQ
10-03-2006,47.6,47.95,43.05,43.6,43.5,60.0,42.1,367558,16884304.9,,45.94,EQ
13-03-2006,44.8,44.85,40.3,40.6,40.35,60.0,40.3,233385,9744235.65,,41.75,EQ
14-03-2006,40.4,48.75,39.0,46.3,45.9,60.0,39.0,2303389,105774455.85,,45.92,EQ
16-03-2006,46.7,46.7,42.45,42.8,43.0,60.0,39.0,444303,19783796.15,,44.53,EQ
17-03-2006,42.6,42.8,41.0,41.15,41.0,60.0,39.0,192945,8065926.35,,41.8,EQ
20-03-2006,41.5,43.7,40.4,41.5,41.9,60.0,39.0,273899,11506646.55,,42.01,EQ
21-03-2006,42.45,42.75,40.05,40.6,40.7,60.0,39.0,114501,4762011.25,,41.59,EQ
22-03-2006,40.7,40.9,39.0,39.25,39.2,60.0,39.0,69890,2785926.2,,39.86,EQ
23-03-2006,39.25,40.25,38.1,38.45,38.15,60.0,38.1,124094,4862719.25,,39.19,EQ
24-03-2006,38.95,39.3,36.55,36.95,36.75,60.0,36.55,108725,4126447.05,,37.95,EQ
27-03-2006,38.05,38.5,35.8,36.15,36.0,60.0,35.8,89870,3294134.15,,36.65,EQ
28-03-2006,36.1,36.7,32.85,33.35,33.2,60.0,32.85,98597,3426550.3,,34.75,EQ
29-03-2006,34.45,35.45,33.5,33.8,33.6,60.0,32.85,81794,2779411.65,,33.98,EQ
30-03-2006,34.0,35.4,34.0,34.3,34.15,60.0,32.85,48415,1676257.45,,34.62,EQ
31-03-2006,34.0,37.3,33.2,36.1,36.2,60.0,32.85,135585,4802907.25,,35.42,EQ
03-04-2006,36.1,36.7,36.0,36.2,36.3,60.0,32.85,35693,1293742.2,,36.25,EQ
04-04-2006,36.5,37.25,36.25,36.5,36.65,60.0,32.85,41468,1518499.35,,36.62,EQ
05-04-2006,35.15,37.5,35.15,36.55,36.45,60.0,32.85,25172,926264.8,,36.8,EQ
07-04-2006,34.1,39.0,34.1,36.3,36.15,60.0,32.85,36375,1322188.05,,36.35,EQ
10-04-2006,35.0,36.8,34.8,35.45,34.8,60.0,32.85,15295,547392.35,,35.79,EQ
12-04-2006,33.1,39.1,33.1,35.65,35.5,60.0,32.85,148837,5557233.6,,37.34,EQ
13-04-2006,36.4,36.45,34.5,35.0,34.9,60.0,32.85,28508,1005912.75,,35.29,EQ
17-04-2006,37.6,37.65,34.5,34.75,34.8,60.0,32.85,21948,770228.7,,35.09,EQ
18-04-2006,34.1,36.75,34.1,35.4,35.9,60.0,32.85,68901,2462216.05,,35.74,EQ
19-04-2006,37.0,37.0,32.55,32.95,32.75,60.0,32.55,41493,1414182.85,,34.08,EQ
