DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
24-11-2004,20.0,21.9,19.1,19.55,19.65,0.0,0.0,12659684,254828886.05,,20.13,EQ
25-11-2004,19.9,20.45,19.05,19.35,19.45,21.9,19.1,4519825,89443511.1,,19.79,EQ
29-11-2004,19.3,19.8,18.55,18.75,18.75,21.9,19.05,3334956,63075224.65,,18.91,EQ
30-11-2004,18.95,19.1,17.8,17.9,17.95,21.9,18.55,2175878,39680114.8,,18.24,EQ
01-12-2004,17.9,18.2,17.15,17.95,18.0,21.9,17.8,1745370,30951228.0,,17.73,EQ
02-12-2004,18.25,18.9,18.0,18.05,18.0,21.9,17.15,1487497,27088093.25,,18.21,EQ
03-12-2004,18.5,18.5,17.45,17.85,17.9,21.9,17.15,1127507,20132668.8,,17.86,EQ
06-12-2004,18.1,18.1,17.75,17.85,17.8,21.9,17.15,630145,11273380.8,,17.89,EQ
07-12-2004,18.0,18.0,17.4,17.55,17.6,21.9,17.15,904456,16025420.95,,17.72,EQ
08-12-2004,17.65,17.7,16.9,17.1,17.15,21.9,17.15,961598,16618675.1,,17.28,EQ
09-12-2004,17.15,17.5,17.0,17.35,17.35,21.9,16.9,878673,15199524.9,,17.3,EQ
10-12-2004,17.5,17.5,16.8,16.9,16.9,21.9,16.9,1191604,20357255.3,,17.08,EQ
13-12-2004,17.0,19.65,17.0,19.25,19.5,21.9,16.8,5041896,94201053.2,,18.68,EQ
14-12-2004,19.8,20.15,18.85,19.0,19.0,21.9,16.8,4164655,81199778.35,,19.5,EQ
15-12-2004,19.3,19.3,18.7,18.8,18.9,21.9,16.8,1293492,24451019.85,,18.9,EQ
16-12-2004,19.1,19.1,18.35,18.5,18.5,21.9,16.8,906732,16845357.0,,18.58,EQ
17-12-2004,18.7,19.45,18.5,18.8,18.8,21.9,16.8,1353597,25609986.6,,18.92,EQ
20-12-2004,19.0,19.0,18.7,18.85,18.85,21.9,16.8,887008,16748306.2,,18.88,EQ
21-12-2004,19.0,19.55,18.8,18.95,19.0,21.9,16.8,1016068,19322129.45,,19.02,EQ
22-12-2004,19.1,19.2,18.2,18.4,18.35,21.9,16.8,899053,16783007.85,,18.67,EQ
23-12-2004,18.55,18.9,18.3,18.75,18.9,21.9,16.8,668396,12492026.3,,18.69,EQ
24-12-2004,19.0,19.9,18.65,19.35,19.45,21.9,16.8,3141049,60924346.5,,19.4,EQ
27-12-2004,19.35,20.25,19.0,20.05,20.1,21.9,16.8,3659474,72545027.7,,19.82,EQ
28-12-2004,20.5,22.15,20.3,22.0,21.95,21.9,16.8,9919588,212910949.0,,21.46,EQ
