DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-04-2018,346.1,351.75,318.25,322.15,321.0,351.75,318.25,9834709,3333744266.65,146817,338.98,EQ
03-04-2018,318.7,334.15,305.6,332.05,332.55,351.75,305.6,1826452,587994073.25,29104,321.93,EQ
04-04-2018,332.55,347.8,332.55,343.5,343.0,351.75,305.6,1804221,617686526.85,32266,342.36,EQ
05-04-2018,350.0,351.3,340.55,344.35,344.0,351.75,305.6,588392,203575749.05,7393,345.99,EQ
06-04-2018,342.55,348.0,340.6,342.75,342.0,351.75,305.6,375686,129511170.0,7693,344.73,EQ
09-04-2018,344.0,346.8,337.1,343.85,343.1,351.75,305.6,257535,88354833.45,6189,343.08,EQ
10-04-2018,345.4,366.9,343.25,362.75,365.8,366.9,305.6,1445280,515511570.75,26720,356.69,EQ
11-04-2018,365.0,376.55,357.6,370.1,369.0,376.55,305.6,831538,307635614.8,17338,369.96,EQ
12-04-2018,370.5,377.1,366.0,372.35,371.3,377.1,305.6,413431,153481256.15,7715,371.24,EQ
13-04-2018,371.3,377.45,368.0,373.95,373.0,377.45,305.6,350703,130417085.5,7215,371.87,EQ
16-04-2018,374.4,388.55,371.5,380.05,380.0,388.55,305.6,713712,271939818.2,11714,381.02,EQ
17-04-2018,382.8,385.85,372.0,376.1,375.15,388.55,305.6,242119,92021442.05,4965,380.07,EQ
18-04-2018,376.0,385.85,375.25,381.0,383.0,388.55,305.6,261319,99904899.7,4522,382.31,EQ
19-04-2018,384.0,384.0,372.9,374.45,374.75,388.55,305.6,141066,53217543.6,4141,377.25,EQ
20-04-2018,374.0,378.0,362.6,366.15,367.7,388.55,305.6,131714,48620682.2,2891,369.14,EQ
23-04-2018,367.55,375.0,363.65,368.4,367.8,388.55,305.6,161083,59466017.35,2628,369.16,EQ
24-04-2018,370.5,384.9,365.6,380.8,380.05,388.55,305.6,311829,117605327.2,5717,377.15,EQ
25-04-2018,378.85,386.4,375.0,382.05,382.7,388.55,305.6,209205,79721397.95,3903,381.07,EQ
26-04-2018,379.0,384.65,373.0,379.05,374.0,388.55,305.6,159496,60457118.9,2602,379.05,EQ
27-04-2018,376.1,388.6,376.1,388.15,387.1,388.6,305.6,283065,108997502.05,4049,385.06,EQ
30-04-2018,389.0,399.0,382.0,392.05,390.1,399.0,305.6,309657,121735905.05,10534,393.13,EQ
02-05-2018,391.25,399.0,391.0,397.05,397.45,399.0,305.6,210533,83328159.4,14524,395.8,EQ
03-05-2018,397.0,399.0,380.95,384.9,385.0,399.0,305.6,113398,44130553.85,2360,389.17,EQ
04-05-2018,385.0,393.0,380.35,388.7,389.25,399.0,305.6,82659,32023436.5,2227,387.42,EQ
07-05-2018,388.05,393.7,377.9,380.9,378.5,399.0,305.6,85026,32792878.9,3852,385.68,EQ
08-05-2018,381.8,395.0,381.65,390.2,388.25,399.0,305.6,122876,47805010.05,4222,389.05,EQ
09-05-2018,390.0,408.6,385.65,405.25,405.25,408.6,305.6,307528,123370171.55,7316,401.17,EQ
10-05-2018,408.45,442.05,405.15,420.75,424.0,442.05,305.6,817917,347365904.15,16147,424.7,EQ
11-05-2018,424.7,432.8,412.35,424.95,426.4,442.05,305.6,234942,99690943.1,7047,424.32,EQ
14-05-2018,421.0,438.0,418.05,429.8,430.0,442.05,305.6,152252,65361380.8,5597,429.3,EQ
15-05-2018,431.0,451.3,424.1,434.75,435.0,451.3,305.6,396356,175228303.8,10793,442.1,EQ
16-05-2018,430.0,432.0,416.2,418.55,417.5,451.3,305.6,166665,70721234.75,2589,424.33,EQ
17-05-2018,421.0,423.0,406.4,416.65,416.5,451.3,305.6,139564,58106601.65,2166,416.34,EQ
18-05-2018,418.0,419.0,398.4,404.3,406.0,451.3,305.6,86744,35318496.05,1882,407.16,EQ
21-05-2018,397.0,411.7,385.0,403.75,402.0,451.3,305.6,136061,53792323.0,2624,395.35,EQ
22-05-2018,405.2,411.0,395.5,402.1,405.05,451.3,305.6,53709,21701756.85,1428,404.06,EQ
23-05-2018,402.05,409.95,397.6,402.35,408.0,451.3,305.6,44049,17843202.7,1319,405.08,EQ
24-05-2018,406.0,407.0,398.05,400.35,400.75,451.3,305.6,26537,10678834.95,754,402.41,EQ
25-05-2018,407.3,407.3,399.0,403.5,401.25,451.3,305.6,38327,15422986.45,860,402.41,EQ
28-05-2018,407.5,413.35,391.05,393.0,392.0,451.3,305.6,122137,49194831.3,2342,402.78,EQ
29-05-2018,397.8,398.95,384.05,386.05,384.35,451.3,305.6,48338,18945055.65,1244,391.93,EQ
30-05-2018,384.0,394.0,383.0,388.4,389.9,451.3,305.6,37271,14458129.05,1121,387.92,EQ
31-05-2018,390.05,393.35,380.55,391.5,390.3,451.3,305.6,56264,21876782.6,2502,388.82,EQ
01-06-2018,394.5,395.0,370.0,372.65,371.2,451.3,305.6,61505,23336803.0,1765,379.43,EQ
04-06-2018,376.0,377.9,355.0,356.9,355.0,451.3,305.6,121759,44124234.4,4480,362.39,EQ
