DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
25-07-1996,11.0,11.0,11.0,11.0,,0.0,0.0,400,4400.0,,11.0,EQ
29-07-1996,10.25,10.25,10.25,10.25,,11.0,11.0,200,2050.0,,10.25,EQ
30-07-1996,11.0,11.0,11.0,11.0,,11.0,10.25,200,2200.0,,11.0,EQ
31-07-1996,11.0,11.0,11.0,11.0,,11.0,10.25,100,1100.0,,11.0,EQ
28-08-1996,10.5,10.5,10.5,10.5,,11.0,10.25,200,2100.0,,10.5,EQ
30-08-1996,10.5,10.5,10.5,10.5,,11.0,10.25,100,1050.0,,10.5,EQ
02-09-1996,10.5,10.5,10.5,10.5,,11.0,10.25,100,1050.0,,10.5,EQ
04-09-1996,10.3,10.3,10.3,10.3,,11.0,10.25,100,1030.0,,10.3,EQ
05-09-1996,10.3,10.4,10.3,10.4,,11.0,10.25,600,6190.0,,10.32,EQ
06-09-1996,10.35,10.45,10.25,10.25,,11.0,10.25,800,8250.0,,10.31,EQ
09-09-1996,9.9,9.9,9.9,9.9,,11.0,10.25,100,990.0,,9.9,EQ
10-09-1996,9.8,10.0,9.6,9.6,,11.0,9.9,1300,12675.0,,9.75,EQ
11-09-1996,10.0,10.0,9.6,9.6,,11.0,9.6,1000,9730.0,,9.73,EQ
03-10-1996,9.0,9.0,9.0,9.0,,11.0,9.6,200,1800.0,,9.0,EQ
04-10-1996,8.65,8.65,8.65,8.65,,11.0,9.0,300,2595.0,,8.65,EQ
08-10-1996,8.2,8.2,8.0,8.0,,11.0,8.65,500,4040.0,,8.08,EQ
18-10-1996,8.0,8.0,8.0,8.0,,11.0,8.0,600,4800.0,,8.0,EQ
22-11-1996,7.25,7.25,7.25,7.25,,11.0,8.0,100,725.0,,7.25,EQ
26-11-1996,8.0,8.0,8.0,8.0,,11.0,7.25,100,800.0,,8.0,EQ
26-12-1996,7.7,7.75,7.7,7.75,,11.0,7.25,300,2320.0,,7.73,EQ
01-01-1997,8.55,8.55,8.55,8.55,,11.0,7.25,100,855.0,,8.55,EQ
03-01-1997,9.45,9.45,9.45,9.45,,11.0,7.25,100,945.0,,9.45,EQ
08-01-1997,13.25,14.2,12.05,12.2,,11.0,7.25,2700,34640.0,,12.83,EQ
09-01-1997,12.5,12.5,12.0,12.4,,14.2,7.25,4000,48605.0,,12.15,EQ
10-01-1997,12.25,12.8,11.4,12.8,,14.2,7.25,4400,52780.0,,12.0,EQ
13-01-1997,13.9,14.1,13.75,14.1,,14.2,7.25,2400,33335.0,,13.89,EQ
14-01-1997,15.2,15.2,15.2,15.2,,14.2,7.25,2700,41040.0,,15.2,EQ
20-01-1997,16.75,16.75,15.75,15.75,,15.2,7.25,600,9950.0,,16.58,EQ
21-01-1997,14.5,14.5,14.25,14.25,,16.75,7.25,500,7185.0,,14.37,EQ
22-01-1997,13.0,15.25,12.85,15.15,,16.75,7.25,2700,37755.0,,13.98,EQ
24-01-1997,14.75,14.75,14.3,14.3,,16.75,7.25,200,2905.0,,14.53,EQ
27-01-1997,14.0,14.5,14.0,14.3,,16.75,7.25,500,7080.0,,14.16,EQ
28-01-1997,13.5,13.5,13.0,13.0,,16.75,7.25,1100,14380.0,,13.07,EQ
29-01-1997,13.25,13.4,13.25,13.4,,16.75,7.25,400,5330.0,,13.33,EQ
30-01-1997,13.0,13.4,13.0,13.4,,16.75,7.25,700,9175.0,,13.11,EQ
31-01-1997,12.9,12.9,12.8,12.8,,16.75,7.25,200,2570.0,,12.85,EQ
04-02-1997,12.5,12.75,12.25,12.6,,16.75,7.25,400,5020.0,,12.55,EQ
05-02-1997,12.25,12.25,12.25,12.25,,16.75,7.25,100,1225.0,,12.25,EQ
06-02-1997,12.5,12.5,12.5,12.5,,16.75,7.25,300,3750.0,,12.5,EQ
07-02-1997,12.75,12.75,12.75,12.75,,16.75,7.25,200,2550.0,,12.75,EQ
10-02-1997,12.35,12.55,12.0,12.55,,16.75,7.25,800,9875.0,,12.34,EQ
11-02-1997,12.0,12.25,12.0,12.25,,16.75,7.25,500,6075.0,,12.15,EQ
12-02-1997,12.3,12.3,12.3,12.3,,16.75,7.25,100,1230.0,,12.3,EQ
14-02-1997,12.25,12.25,12.25,12.25,,16.75,7.25,100,1225.0,,12.25,EQ
18-02-1997,12.05,12.05,12.05,12.05,,16.75,7.25,100,1205.0,,12.05,EQ
19-02-1997,12.05,12.05,12.05,12.05,,16.75,7.25,100,1205.0,,12.05,EQ
20-02-1997,12.2,12.2,12.05,12.05,,16.75,7.25,300,3635.0,,12.12,EQ
25-02-1997,12.5,12.75,12.4,12.4,,16.75,7.25,1200,15060.0,,12.55,EQ
26-02-1997,12.5,12.5,12.5,12.5,,16.75,7.25,500,6250.0,,12.5,EQ
27-02-1997,12.8,12.9,12.8,12.9,,16.75,7.25,300,3850.0,,12.83,EQ
01-03-1997,13.0,13.5,12.75,13.3,,16.75,7.25,1700,22575.0,,13.28,EQ
03-03-1997,13.45,13.5,13.3,13.4,,16.75,7.25,2400,32275.0,,13.45,EQ
04-03-1997,13.5,13.55,13.3,13.3,,16.75,7.25,900,12095.0,,13.44,EQ
05-03-1997,13.5,14.0,13.5,13.55,,16.75,7.25,1500,20515.0,,13.68,EQ
12-03-1997,12.5,12.5,12.25,12.25,,16.75,7.25,400,4925.0,,12.31,EQ
13-03-1997,12.0,12.0,11.2,11.35,,16.75,7.25,600,6930.0,,11.55,EQ
14-03-1997,11.2,11.2,11.2,11.2,,16.75,7.25,100,1120.0,,11.2,EQ
17-03-1997,11.0,11.5,11.0,11.3,,16.75,7.25,300,3390.0,,11.3,EQ
18-03-1997,10.5,11.5,10.5,11.5,,16.75,7.25,300,3325.0,,11.08,EQ
19-03-1997,11.5,11.5,11.5,11.5,,16.75,7.25,100,1150.0,,11.5,EQ
20-03-1997,10.75,11.75,10.75,11.75,,16.75,7.25,200,2250.0,,11.25,EQ
21-03-1997,12.0,12.0,12.0,12.0,,16.75,7.25,400,4800.0,,12.0,EQ
26-03-1997,11.15,11.15,10.9,10.9,,16.75,7.25,5700,62210.0,,10.91,EQ
01-04-1997,11.0,11.0,11.0,11.0,,16.75,7.25,500,5500.0,,11.0,EQ
