DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-07-2024,109.0,128.79,107.1,115.07,115.19,128.79,107.1,89682149,10532440453.23,393005,117.44,EQ
29-07-2024,117.35,119.62,113.1,114.18,114.25,128.79,107.1,10092208,1171410154.15,81813,116.07,EQ
30-07-2024,114.7,123.5,114.7,118.21,118.4,128.79,107.1,11446569,1368552918.1,68465,119.56,EQ
31-07-2024,119.34,121.94,117.51,118.41,118.8,128.79,107.1,5437585,651446883.53,44253,119.8,EQ
01-08-2024,119.38,120.69,114.6,115.73,116.51,128.79,107.1,3969465,462851308.74,30701,116.6,EQ
02-08-2024,112.9,121.8,112.42,120.24,119.8,128.79,107.1,7361572,869996842.03,48461,118.18,EQ
05-08-2024,115.75,117.21,112.19,113.4,113.19,128.79,107.1,5071270,580868416.96,35728,114.54,EQ
06-08-2024,115.2,116.5,110.0,111.04,111.0,128.79,107.1,3283815,372283836.67,22381,113.37,EQ
07-08-2024,114.0,116.25,112.09,115.84,115.63,128.79,107.1,2478664,283083745.24,19001,114.21,EQ
08-08-2024,116.0,116.24,113.0,113.39,113.6,128.79,107.1,1633044,186582685.49,14424,114.25,EQ
09-08-2024,114.95,115.34,112.8,113.74,113.8,128.79,107.1,1734009,197442700.8,14753,113.86,EQ
12-08-2024,113.7,119.5,112.2,115.1,115.02,128.79,107.1,5252873,611051479.49,41006,116.33,EQ
13-08-2024,116.1,116.6,112.5,113.13,112.8,128.79,107.1,2102547,240404198.14,20548,114.34,EQ
14-08-2024,113.99,115.9,110.5,113.12,113.0,128.79,107.1,2466669,278223166.55,19559,112.79,EQ
16-08-2024,114.83,115.3,111.5,112.41,112.23,128.79,107.1,1344126,152399783.85,12487,113.38,EQ
19-08-2024,113.11,125.5,113.11,123.98,123.99,128.79,107.1,11017170,1339834841.11,63718,121.61,EQ
20-08-2024,125.2,134.1,124.38,132.76,132.5,134.1,107.1,13812258,1784378370.13,86762,129.19,EQ
21-08-2024,134.4,143.0,133.2,138.87,138.49,143.0,107.1,16490901,2284483094.52,99750,138.53,EQ
22-08-2024,139.25,144.0,135.68,136.8,137.4,144.0,107.1,6283655,873686524.39,50570,139.04,EQ
23-08-2024,137.9,137.9,133.01,133.94,134.06,144.0,107.1,3481082,468592744.76,28550,134.61,EQ
26-08-2024,134.62,139.86,131.5,132.0,132.3,144.0,107.1,4078102,553854965.1,33677,135.81,EQ
27-08-2024,132.45,136.57,130.72,132.05,132.29,144.0,107.1,3259867,435628972.06,33186,133.63,EQ
28-08-2024,132.8,134.68,130.0,131.03,130.79,144.0,107.1,3261089,430723726.22,30663,132.08,EQ
29-08-2024,131.8,133.9,127.11,128.0,128.35,144.0,107.1,2720722,353872864.01,28876,130.07,EQ
30-08-2024,129.0,137.8,127.1,136.28,135.68,144.0,107.1,7049819,948624692.78,60665,134.56,EQ
02-09-2024,136.7,142.8,135.85,137.75,137.5,144.0,107.1,4632156,644645785.01,41020,139.17,EQ
03-09-2024,138.0,138.0,133.8,134.66,135.0,144.0,107.1,2612005,352592296.95,23232,134.99,EQ
04-09-2024,133.3,136.38,131.79,135.59,136.0,144.0,107.1,2702897,361394630.11,28711,133.71,EQ
05-09-2024,136.8,146.3,135.61,139.88,139.89,146.3,107.1,7020886,992679911.27,57289,141.39,EQ
06-09-2024,139.75,142.48,134.48,136.1,136.2,146.3,107.1,3173010,436143637.13,34799,137.45,EQ
09-09-2024,135.09,135.74,129.16,133.69,133.92,146.3,107.1,2195535,291527615.89,21248,132.78,EQ
10-09-2024,135.55,142.85,135.0,137.37,137.9,146.3,107.1,3765929,522145835.1,35590,138.65,EQ
11-09-2024,138.5,154.28,137.6,150.47,150.8,154.28,107.1,15767505,2349641094.37,109196,149.02,EQ
12-09-2024,152.7,158.8,150.48,151.67,151.9,158.8,107.1,10701568,1653493102.9,87051,154.51,EQ
13-09-2024,152.45,153.99,147.7,148.23,148.7,158.8,107.1,3098911,467076352.28,31526,150.72,EQ
16-09-2024,149.0,155.2,146.44,151.87,152.05,158.8,107.1,4373278,661236356.1,45700,151.2,EQ
17-09-2024,151.93,151.93,146.85,147.26,147.37,158.8,107.1,1673213,248496105.52,21729,148.51,EQ
18-09-2024,147.7,149.39,142.1,143.05,143.65,158.8,107.1,2072096,300997714.15,23559,145.26,EQ
19-09-2024,144.45,147.9,138.2,141.29,141.5,158.8,107.1,2675708,381152734.2,33421,142.45,EQ
20-09-2024,142.0,145.98,139.31,140.0,139.95,158.8,107.1,1990114,282741770.25,20829,142.07,EQ
23-09-2024,142.21,142.21,136.12,138.8,138.5,158.8,107.1,2038438,282675361.27,23105,138.67,EQ
24-09-2024,139.4,144.99,137.15,143.47,143.71,158.8,107.1,3406603,480465048.34,29908,141.04,EQ
25-09-2024,143.4,144.68,139.4,143.74,143.89,158.8,107.1,2459442,350023848.21,25141,142.32,EQ
26-09-2024,144.1,146.0,139.46,140.28,140.5,158.8,107.1,2911770,416026723.45,21254,142.88,EQ
27-09-2024,140.7,141.78,136.76,137.63,137.8,158.8,107.1,1397904,194294866.72,16778,138.99,EQ
30-09-2024,136.89,138.16,133.07,135.12,135.5,158.8,107.1,1666499,224220978.24,16679,134.55,EQ
01-10-2024,134.5,137.49,134.01,134.96,134.4,158.8,107.1,821796,111553146.58,13874,135.74,EQ
