DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
27-02-2024,124.5,124.5,116.0,117.15,116.8,124.5,116.0,125971,15036872.55,1831,119.37,EQ
28-02-2024,117.2,119.1,110.0,111.0,111.95,124.5,110.0,131264,14845668.75,1729,113.1,EQ
29-02-2024,111.0,114.55,109.0,110.4,111.5,124.5,109.0,78072,8742045.85,767,111.97,EQ
01-03-2024,113.45,115.8,111.05,113.85,113.9,124.5,109.0,65270,7446155.55,1013,114.08,EQ
02-03-2024,114.05,118.7,112.95,113.85,114.9,124.5,109.0,17331,1978279.45,264,114.15,EQ
04-03-2024,115.0,123.2,112.9,119.3,119.85,124.5,109.0,202734,24248797.95,2396,119.61,EQ
05-03-2024,118.1,121.9,115.45,116.55,117.5,124.5,109.0,61168,7203078.65,1030,117.76,EQ
06-03-2024,118.3,118.3,108.9,111.5,111.7,124.5,108.9,207882,23091388.2,3103,111.08,EQ
07-03-2024,111.75,114.95,111.5,113.75,114.0,124.5,108.9,73681,8362120.95,1027,113.49,EQ
11-03-2024,113.35,115.0,106.5,107.35,107.5,124.5,106.5,105954,11616753.0,2323,109.64,EQ
12-03-2024,105.75,108.05,100.7,107.15,108.0,124.5,100.7,236225,24686579.25,4236,104.5,EQ
13-03-2024,105.7,107.4,97.0,98.15,100.1,124.5,97.0,257736,25923039.9,3595,100.58,EQ
14-03-2024,98.75,105.45,98.75,103.55,104.5,124.5,97.0,136022,13947765.55,2631,102.54,EQ
15-03-2024,105.95,106.7,97.0,100.0,99.95,124.5,97.0,155446,15727905.7,2590,101.18,EQ
18-03-2024,101.45,104.0,99.6,100.65,104.0,124.5,97.0,163337,16612441.8,1739,101.71,EQ
19-03-2024,101.2,101.55,98.2,100.15,100.3,124.5,97.0,70258,7024514.1,1365,99.98,EQ
20-03-2024,100.15,102.5,97.3,98.15,98.1,124.5,97.0,129262,12862549.8,961,99.51,EQ
21-03-2024,102.25,105.55,99.6,104.8,105.5,124.5,97.0,152279,15761125.0,2679,103.5,EQ
22-03-2024,104.95,105.95,102.25,104.15,104.0,124.5,97.0,74387,7743309.35,1737,104.09,EQ
26-03-2024,104.15,106.2,101.0,101.9,101.5,124.5,97.0,107947,11154534.75,1624,103.33,EQ
27-03-2024,102.85,107.85,101.9,103.75,103.4,124.5,97.0,112240,11842772.0,1999,105.51,EQ
28-03-2024,104.25,108.9,103.1,105.8,104.2,124.5,97.0,90203,9562637.55,1919,106.01,EQ
01-04-2024,107.05,108.9,105.1,105.95,105.15,124.5,97.0,104036,11108209.1,1308,106.77,EQ
02-04-2024,106.95,114.5,105.65,110.7,111.0,124.5,97.0,182293,19863076.6,2745,108.96,EQ
03-04-2024,114.95,119.25,113.2,116.35,116.05,124.5,97.0,418665,48925469.25,7525,116.86,EQ
04-04-2024,116.9,118.45,112.2,113.4,113.05,124.5,97.0,133070,15268694.95,3779,114.74,EQ
05-04-2024,112.25,115.0,111.75,113.3,113.1,124.5,97.0,152105,17186933.2,2842,112.99,EQ
08-04-2024,114.95,116.45,111.7,112.65,113.05,124.5,97.0,77167,8789380.05,2107,113.9,EQ
09-04-2024,112.65,114.25,109.55,110.05,110.4,124.5,97.0,72319,8064020.0,1300,111.51,EQ
10-04-2024,110.15,111.55,108.1,108.75,108.7,124.5,97.0,96319,10542804.05,1680,109.46,EQ
12-04-2024,108.0,111.9,105.1,107.0,107.1,124.5,97.0,120960,13165685.15,2955,108.84,EQ
15-04-2024,102.1,118.7,102.1,112.55,112.5,124.5,97.0,736584,83873507.05,10842,113.87,EQ
16-04-2024,110.85,118.0,110.65,116.65,117.0,124.5,97.0,317910,36563307.6,5820,115.01,EQ
18-04-2024,117.55,126.0,117.55,119.2,119.95,126.0,97.0,784400,96588771.15,11209,123.14,EQ
19-04-2024,118.5,125.0,116.35,124.3,124.5,126.0,97.0,472116,57763566.9,8352,122.35,EQ
22-04-2024,129.4,130.6,125.95,128.25,128.25,130.6,97.0,385731,49282551.75,5924,127.76,EQ
23-04-2024,128.25,129.25,126.15,126.75,126.85,130.6,97.0,129715,16495230.7,2752,127.17,EQ
24-04-2024,127.9,129.7,124.15,125.85,126.1,130.6,97.0,183591,23486283.0,3850,127.93,EQ
25-04-2024,125.85,127.7,123.05,123.45,124.4,130.6,97.0,127676,15928020.1,3215,124.75,EQ
26-04-2024,124.9,125.95,118.8,120.8,121.6,130.6,97.0,139831,17117846.9,3450,122.42,EQ
29-04-2024,124.7,124.7,116.25,119.5,120.2,130.6,97.0,216377,25970007.15,5520,120.02,EQ
30-04-2024,120.25,130.0,120.25,122.95,123.1,130.6,97.0,482403,60789820.6,8335,126.01,EQ
02-05-2024,123.1,124.65,121.25,122.25,122.0,130.6,97.0,124585,15302417.85,3191,122.83,EQ
03-05-2024,124.45,124.45,117.0,118.95,118.9,130.6,97.0,200059,23857315.35,3487,119.25,EQ
06-05-2024,119.1,122.8,112.8,114.3,115.0,130.6,97.0,251062,29007069.85,5294,115.54,EQ
07-05-2024,115.95,125.8,111.1,120.9,121.9,130.6,97.0,427208,51211399.45,9452,119.87,EQ
08-05-2024,120.2,125.0,117.45,122.5,121.65,130.6,97.0,314504,38659747.9,6769,122.92,EQ
09-05-2024,124.3,125.95,112.1,113.8,114.0,130.6,97.0,474973,56151165.25,6996,118.22,EQ
10-05-2024,114.25,117.0,113.7,115.25,115.1,130.6,97.0,126729,14589192.3,2386,115.12,EQ
13-05-2024,115.25,116.95,112.5,116.7,115.6,130.6,97.0,144004,16557173.2,2309,114.98,EQ
14-05-2024,116.35,117.3,114.5,115.1,115.7,130.6,97.0,76474,8852851.15,1833,115.76,EQ
15-05-2024,115.35,117.7,114.0,115.35,115.85,130.6,97.0,77073,8894390.1,1289,115.4,EQ
16-05-2024,115.85,117.5,114.65,115.4,115.6,130.6,97.0,78148,9079797.7,1367,116.19,EQ
17-05-2024,115.7,118.85,115.3,116.75,116.5,130.6,97.0,90251,10577241.45,1922,117.2,EQ
18-05-2024,116.05,118.8,116.05,117.5,117.5,130.6,97.0,12560,1476537.7,226,117.56,EQ
21-05-2024,119.0,119.8,115.05,116.8,116.5,130.6,97.0,95425,11145236.2,1175,116.8,EQ
22-05-2024,117.05,118.1,116.15,116.85,117.0,130.6,97.0,62154,7271845.45,996,117.0,EQ
23-05-2024,118.3,123.35,116.1,122.75,122.65,130.6,97.0,304276,36929618.65,3392,121.37,EQ
24-05-2024,122.5,126.5,120.9,124.0,123.45,130.6,97.0,313256,39025963.5,4262,124.58,EQ
27-05-2024,125.45,128.8,117.5,118.3,118.55,130.6,97.0,378028,46172131.5,6485,122.14,EQ
