DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-01-2014,107.0,108.0,97.5,98.35,97.6,108.0,97.5,24034,2416393.4,139,100.54,EQ
30-01-2014,101.25,101.25,96.9,98.2,98.25,108.0,96.9,4599,450375.2,61,97.93,EQ
31-01-2014,97.05,103.0,97.05,101.95,102.0,108.0,96.9,6672,675480.85,46,101.24,EQ
03-02-2014,102.95,114.0,102.95,111.2,110.0,114.0,96.9,48716,5352737.4,360,109.88,EQ
04-02-2014,111.0,119.35,110.0,116.5,116.5,119.35,96.9,106902,12343595.65,1198,115.47,EQ
05-02-2014,118.35,120.5,114.0,116.85,117.0,120.5,96.9,14636,1713831.25,262,117.1,EQ
06-02-2014,117.0,118.35,110.0,111.3,110.25,120.5,96.9,14082,1594571.35,200,113.23,EQ
07-02-2014,117.3,117.3,111.05,112.0,112.0,120.5,96.9,1681,188145.65,37,111.92,EQ
10-02-2014,114.3,118.0,112.8,116.0,116.45,120.5,96.9,11008,1273773.5,160,115.71,EQ
11-02-2014,114.05,115.7,112.4,113.9,115.7,120.5,96.9,1232,140344.25,23,113.92,EQ
12-02-2014,115.0,117.5,115.0,115.05,115.1,120.5,96.9,16790,1948353.45,166,116.04,EQ
13-02-2014,117.0,120.0,115.0,117.25,117.0,120.5,96.9,11270,1317316.95,109,116.89,EQ
14-02-2014,119.9,130.0,96.05,98.4,98.95,130.0,96.05,98264,9752408.3,469,99.25,EQ
17-02-2014,98.5,106.8,98.45,104.8,104.1,130.0,96.05,9529,979446.4,315,102.79,EQ
18-02-2014,105.75,113.95,105.75,110.35,110.0,130.0,96.05,19130,2122182.5,303,110.93,EQ
19-02-2014,113.9,113.9,110.55,112.05,112.85,130.0,96.05,4362,488972.0,114,112.1,EQ
20-02-2014,112.0,118.65,110.3,113.7,113.0,130.0,96.05,67533,7808399.3,647,115.62,EQ
21-02-2014,115.9,116.85,112.05,115.25,116.85,130.0,96.05,4427,507764.95,137,114.7,EQ
24-02-2014,111.55,117.6,111.55,113.15,113.25,130.0,96.05,3168,361979.7,21,114.26,EQ
25-02-2014,114.95,115.0,109.0,112.5,114.35,130.0,96.05,5524,619338.3,93,112.12,EQ
26-02-2014,98.0,116.0,98.0,111.65,111.0,130.0,96.05,32326,3701859.0,82,114.52,EQ
28-02-2014,112.5,114.4,105.0,108.45,108.25,130.0,96.05,10089,1104571.6,144,109.48,EQ
03-03-2014,108.45,116.0,105.5,112.35,112.95,130.0,96.05,47524,5298893.3,327,111.5,EQ
04-03-2014,108.6,115.65,108.6,112.15,112.5,130.0,96.05,26579,3000356.75,185,112.88,EQ
05-03-2014,110.7,124.0,110.7,116.0,115.0,130.0,96.05,23301,2724910.45,601,116.94,EQ
06-03-2014,113.05,118.0,113.05,115.6,116.0,130.0,96.05,4017,468614.05,124,116.66,EQ
07-03-2014,112.0,117.95,107.1,111.2,112.0,130.0,96.05,16741,1869595.6,167,111.68,EQ
10-03-2014,110.0,115.0,110.0,112.05,112.0,130.0,96.05,7036,799692.85,121,113.66,EQ
11-03-2014,111.05,113.85,110.5,111.05,111.0,130.0,96.05,225,24990.0,8,111.07,EQ
12-03-2014,110.2,111.0,108.5,109.85,109.0,130.0,96.05,19111,2100799.1,114,109.93,EQ
13-03-2014,110.0,110.0,106.2,106.6,107.0,130.0,96.05,1451,156033.25,17,107.53,EQ
