DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-06-2005,150.0,168.1,150.0,155.2,153.3,168.1,150.0,123817,20235729.8,,163.43,EQ
17-06-2005,158.0,158.0,151.0,156.1,156.85,168.1,150.0,17019,2635794.75,,154.87,EQ
20-06-2005,159.75,159.75,150.0,150.5,154.0,168.1,150.0,74655,11306044.2,,151.44,EQ
21-06-2005,151.8,155.0,151.0,152.35,155.0,168.1,150.0,11494,1749119.5,,152.18,EQ
22-06-2005,140.0,156.0,140.0,153.15,152.15,168.1,140.0,8053,1226105.8,,152.25,EQ
23-06-2005,153.0,157.9,145.15,156.85,157.2,168.1,140.0,17420,2705787.0,,155.33,EQ
24-06-2005,159.7,165.0,156.05,164.65,165.0,168.1,140.0,10200,1666960.1,,163.43,EQ
27-06-2005,169.0,172.0,155.65,156.8,157.7,172.0,140.0,32139,5250020.6,,163.35,EQ
28-06-2005,158.15,158.15,149.1,150.2,151.9,172.0,140.0,7986,1215843.3,,152.25,EQ
29-06-2005,150.0,157.9,146.25,152.35,151.0,172.0,140.0,8212,1239516.95,,150.94,EQ
30-06-2005,152.35,154.95,151.5,152.45,152.0,172.0,140.0,4663,710921.5,,152.46,EQ
01-07-2005,152.95,162.0,151.0,159.2,159.8,172.0,140.0,11571,1802887.4,,155.81,EQ
04-07-2005,155.25,159.9,155.25,158.95,158.2,172.0,140.0,2961,468738.05,,158.3,EQ
05-07-2005,158.0,161.65,158.0,159.5,160.45,172.0,140.0,6982,1112989.05,,159.41,EQ
06-07-2005,160.0,164.25,158.1,161.35,163.0,172.0,140.0,26217,4267300.8,,162.77,EQ
07-07-2005,163.0,166.0,150.0,163.0,163.9,172.0,140.0,22167,3649493.35,,164.64,EQ
08-07-2005,162.0,164.0,159.0,160.35,160.0,172.0,140.0,6803,1094932.5,,160.95,EQ
11-07-2005,158.0,164.0,158.0,161.75,163.4,172.0,140.0,5011,811041.5,,161.85,EQ
12-07-2005,162.0,165.0,161.0,164.8,163.1,172.0,140.0,7340,1193227.45,,162.57,EQ
13-07-2005,160.75,164.5,160.0,161.05,161.9,172.0,140.0,8215,1326331.4,,161.45,EQ
14-07-2005,159.0,160.65,159.0,159.75,159.0,172.0,140.0,1989,317397.2,,159.58,EQ
15-07-2005,158.4,164.0,158.4,162.9,163.0,172.0,140.0,18197,2951421.55,,162.19,EQ
18-07-2005,165.0,171.0,162.65,166.5,167.0,172.0,140.0,74408,12449284.9,,167.31,EQ
19-07-2005,167.5,168.0,165.0,166.35,167.0,172.0,140.0,60124,9950182.1,,165.49,EQ
20-07-2005,165.35,172.5,163.0,164.75,165.95,172.5,140.0,35768,5990626.85,,167.49,EQ
21-07-2005,169.7,169.7,163.05,164.8,164.85,172.5,140.0,6351,1054432.1,,166.03,EQ
22-07-2005,164.15,164.5,161.3,163.0,161.3,172.5,140.0,2941,481022.8,,163.56,EQ
25-07-2005,161.35,166.9,157.3,160.8,158.05,172.5,140.0,20417,3364675.8,,164.8,EQ
26-07-2005,163.0,163.0,155.3,155.7,155.35,172.5,140.0,5157,817752.05,,158.57,EQ
27-07-2005,160.4,160.4,156.5,157.6,157.8,172.5,140.0,2259,356640.85,,157.88,EQ
29-07-2005,154.7,156.5,154.7,155.35,155.05,172.5,140.0,5493,853310.35,,155.35,EQ
01-08-2005,153.0,154.8,152.8,153.25,153.0,172.5,140.0,773,118670.35,,153.52,EQ
