DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-01-2015,226.05,230.0,225.2,226.95,228.15,279.7,65.8,30158,6871952.5,767,227.86,EQ
30-01-2015,227.4,231.0,221.1,222.0,222.0,279.7,65.8,34340,7770378.95,969,226.28,EQ
02-02-2015,222.0,232.2,219.0,226.8,227.05,279.7,65.8,49431,11274409.1,1611,228.08,EQ
03-02-2015,227.0,230.0,221.0,221.9,221.75,279.7,65.8,34423,7729560.0,856,224.55,EQ
04-02-2015,222.85,226.1,221.0,223.9,222.1,279.7,65.8,26723,5995758.3,676,224.37,EQ
05-02-2015,224.4,233.4,222.25,225.85,225.7,279.7,65.8,54762,12539119.05,1434,228.97,EQ
06-02-2015,227.7,234.7,218.0,219.55,220.0,279.7,65.8,44559,9989017.7,1360,224.18,EQ
09-02-2015,210.05,221.0,210.05,213.0,214.75,279.7,65.8,36666,7903067.95,986,215.54,EQ
10-02-2015,212.9,220.0,209.0,212.4,212.1,279.7,65.8,28932,6224274.75,831,215.13,EQ
11-02-2015,213.1,230.8,213.1,226.05,227.7,279.7,65.8,118652,26798052.55,2730,225.85,EQ
12-02-2015,224.35,227.9,218.0,220.0,219.1,279.7,65.8,36158,8087748.55,1181,223.68,EQ
13-02-2015,221.5,225.25,220.25,221.95,221.05,279.7,65.8,22270,4981391.7,853,223.68,EQ
16-02-2015,222.7,226.0,220.1,221.1,221.45,279.7,65.8,15251,3390456.95,609,222.31,EQ
18-02-2015,216.55,223.95,216.55,221.4,221.9,279.7,65.8,38740,8551717.3,890,220.75,EQ
19-02-2015,222.4,229.6,218.0,219.2,219.0,279.7,65.8,42482,9352613.8,743,220.15,EQ
20-02-2015,217.5,228.0,217.5,219.9,219.9,279.7,65.8,40525,9024969.5,1415,222.7,EQ
23-02-2015,220.1,224.9,219.25,221.3,222.25,279.7,65.8,25065,5560766.65,754,221.85,EQ
24-02-2015,222.25,228.4,221.6,222.8,222.9,279.7,65.8,50384,11337242.5,1224,225.02,EQ
25-02-2015,223.6,225.05,217.0,218.3,218.5,279.7,65.8,38377,8484662.7,1171,221.09,EQ
26-02-2015,219.25,221.0,216.0,216.6,217.0,279.7,65.8,12395,2705989.0,414,218.31,EQ
27-02-2015,216.05,226.95,216.05,225.95,225.0,279.7,65.8,70602,15674816.4,1495,222.02,EQ
28-02-2015,232.0,239.0,227.0,228.45,227.2,279.7,65.8,197933,46133437.85,5112,233.08,EQ
02-03-2015,228.5,229.9,222.3,224.55,224.0,279.7,68.0,36532,8213774.65,1396,224.84,EQ
03-03-2015,220.05,232.05,220.05,226.2,228.1,279.7,68.0,46437,10585760.65,1726,227.96,EQ
04-03-2015,227.45,227.45,221.05,221.45,221.15,279.7,68.0,32001,7180103.2,851,224.37,EQ
05-03-2015,220.85,223.45,212.55,217.6,217.15,279.7,68.0,57801,12586697.35,1643,217.76,EQ
09-03-2015,217.0,226.0,214.0,222.35,223.9,279.7,70.3,32801,7264214.3,1125,221.46,EQ
10-03-2015,221.45,224.55,217.0,218.35,218.0,279.7,70.3,26988,5953174.1,937,220.59,EQ
11-03-2015,219.7,221.45,214.0,216.3,214.5,279.7,70.3,15713,3431205.25,511,218.37,EQ
12-03-2015,214.05,220.0,214.05,216.7,216.0,279.7,70.3,40067,8710473.7,869,217.4,EQ
13-03-2015,217.35,220.1,211.0,214.2,213.0,279.7,70.3,33981,7313317.95,902,215.22,EQ
16-03-2015,215.0,221.95,212.05,213.95,213.25,279.7,72.5,28356,6126907.65,1541,216.07,EQ
17-03-2015,216.25,220.0,209.3,212.4,210.0,279.7,72.5,69312,14957990.15,3165,215.81,EQ
18-03-2015,213.65,217.75,210.2,212.55,213.5,279.7,72.5,69772,14866070.3,2261,213.07,EQ
19-03-2015,214.0,216.55,209.95,210.65,210.0,279.7,72.5,31554,6732526.4,1025,213.37,EQ
20-03-2015,211.3,211.5,200.6,203.4,203.9,279.7,72.5,40218,8321569.55,1035,206.91,EQ
23-03-2015,205.25,205.4,195.75,197.65,197.0,279.7,72.55,37469,7544333.55,1321,201.35,EQ
24-03-2015,197.7,204.0,196.15,198.15,199.4,279.7,72.55,24961,4970243.1,1033,199.12,EQ
25-03-2015,199.0,199.85,187.5,190.2,189.9,279.7,72.55,65521,12710924.3,1769,194.0,EQ
26-03-2015,189.95,194.8,179.05,182.3,181.5,279.7,72.55,56666,10551650.4,1729,186.21,EQ
27-03-2015,183.0,187.8,180.0,184.3,182.05,279.7,72.55,38269,7023334.3,1340,183.53,EQ
30-03-2015,183.0,202.0,182.0,198.55,200.0,279.7,75.65,90346,17594916.15,2192,194.75,EQ
31-03-2015,199.75,208.3,196.15,202.45,202.55,279.7,75.65,93281,19057443.7,1587,204.3,EQ
01-04-2015,202.0,216.4,199.3,213.95,216.4,279.7,75.65,93660,19607563.6,2656,209.35,EQ
06-04-2015,215.0,216.1,211.55,212.25,212.0,279.7,85.15,25248,5385476.1,973,213.3,EQ
07-04-2015,214.0,219.25,214.0,215.7,216.5,279.7,85.15,39126,8463116.75,937,216.3,EQ
08-04-2015,216.7,217.85,212.1,212.75,213.0,279.7,85.15,21683,4669823.5,834,215.37,EQ
09-04-2015,211.55,214.85,210.0,210.55,210.0,279.7,85.15,30720,6508254.95,1248,211.86,EQ
10-04-2015,208.0,213.25,208.0,210.75,210.2,279.7,85.15,23089,4884127.45,594,211.53,EQ
13-04-2015,208.1,212.0,207.55,209.15,209.0,279.7,85.3,47428,9929492.9,833,209.36,EQ
15-04-2015,210.5,230.0,210.5,221.45,221.55,279.7,85.3,198201,44147314.3,4706,222.74,EQ
16-04-2015,223.0,224.6,215.0,217.9,217.0,279.7,85.3,33262,7306118.15,1559,219.65,EQ
17-04-2015,218.0,224.2,215.05,217.4,218.0,279.7,85.3,56181,12362668.15,2312,220.05,EQ
20-04-2015,216.0,220.5,208.1,214.65,217.0,279.7,85.3,44885,9731216.45,2311,216.8,EQ
21-04-2015,211.0,221.05,210.05,217.3,217.3,279.7,85.3,49599,10823607.05,1904,218.22,EQ
22-04-2015,216.0,217.85,206.0,210.1,210.0,279.7,85.3,52526,11102641.25,1272,211.37,EQ
23-04-2015,211.0,213.9,205.5,206.7,207.05,279.7,85.3,54915,11505688.1,1169,209.52,EQ
24-04-2015,207.75,209.05,202.3,204.6,204.4,279.7,85.3,34149,6997326.1,982,204.91,EQ
27-04-2015,205.75,207.45,195.0,196.85,195.2,279.7,85.3,36032,7219343.95,1486,200.36,EQ
28-04-2015,197.0,205.45,196.3,203.25,204.0,279.7,85.3,33421,6734128.35,1463,201.49,EQ
29-04-2015,203.0,207.25,201.0,204.0,203.45,279.7,85.3,24231,4949311.4,747,204.26,EQ
30-04-2015,202.0,205.0,199.0,203.0,202.35,279.7,85.3,20196,4089852.0,558,202.51,EQ
04-05-2015,203.6,212.0,203.1,208.95,212.0,279.7,86.0,73816,15244064.2,1107,206.51,EQ
05-05-2015,211.0,213.45,208.7,210.7,210.0,279.7,86.0,30826,6509968.45,757,211.18,EQ
06-05-2015,209.0,209.5,199.0,204.75,204.0,279.7,86.0,48797,10002039.55,957,204.97,EQ
07-05-2015,204.0,204.0,192.1,195.6,195.6,279.7,86.0,38732,7759012.7,613,200.33,EQ
08-05-2015,198.5,203.0,195.0,199.7,199.1,279.7,86.0,54111,10766137.15,1297,198.96,EQ
11-05-2015,200.75,204.95,195.5,202.1,201.3,279.7,87.3,19607,3956317.6,574,201.78,EQ
