DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-09-2014,260.0,274.0,225.0,230.95,230.6,274.0,225.0,25978566,6350441300.65,265301,244.45,EQ
24-09-2014,231.8,258.7,217.25,253.25,256.3,274.0,217.25,10827362,2586048636.3,157847,238.84,EQ
25-09-2014,259.05,268.9,253.8,261.6,265.0,274.0,217.25,6411675,1682172348.65,94731,262.36,EQ
26-09-2014,263.9,266.7,246.4,252.85,252.3,274.0,217.25,2619748,671464634.25,44221,256.31,EQ
29-09-2014,251.9,263.35,243.0,256.0,256.5,274.0,217.25,2438761,622307466.7,32925,255.17,EQ
30-09-2014,255.0,273.25,251.0,260.8,259.6,274.0,217.25,2560833,674515664.6,38282,263.4,EQ
01-10-2014,260.8,266.35,257.0,259.9,259.0,274.0,217.25,1252942,328489980.4,20375,262.17,EQ
07-10-2014,258.8,263.8,253.55,258.1,258.95,274.0,217.25,1268209,329047139.1,17102,259.46,EQ
08-10-2014,257.0,268.8,256.7,266.4,266.0,274.0,217.25,1297444,341933129.9,18982,263.54,EQ
09-10-2014,267.4,273.4,263.5,266.35,265.0,274.0,217.25,1416727,381004890.8,19871,268.93,EQ
10-10-2014,262.7,265.1,255.25,257.0,255.5,274.0,217.25,474656,123987870.5,6907,261.22,EQ
13-10-2014,255.95,261.0,251.2,255.15,259.75,274.0,217.25,591183,150751637.3,7229,255.0,EQ
14-10-2014,259.25,263.1,256.5,257.75,257.05,274.0,217.25,363532,94561355.1,5452,260.12,EQ
16-10-2014,256.0,258.0,234.5,237.4,237.0,274.0,217.25,519000,127068990.6,7742,244.83,EQ
17-10-2014,239.0,247.95,226.7,242.15,239.0,274.0,217.25,963272,231797608.95,12859,240.64,EQ
20-10-2014,247.0,250.9,240.55,242.15,241.8,274.0,217.25,250512,61571993.85,4621,245.78,EQ
21-10-2014,244.0,254.1,242.1,252.25,252.5,274.0,217.25,457162,114100346.2,5392,249.58,EQ
22-10-2014,252.0,257.0,249.0,251.25,250.6,274.0,217.25,300171,75807492.35,9838,252.55,EQ
23-10-2014,254.0,254.9,250.7,252.6,253.5,274.0,217.25,83292,21066121.5,1118,252.92,EQ
27-10-2014,252.8,256.95,248.4,252.3,253.2,274.0,217.25,253812,63964979.25,5847,252.02,EQ
28-10-2014,254.3,264.65,252.4,262.35,263.0,274.0,217.25,620988,160947181.3,9166,259.18,EQ
29-10-2014,264.45,265.05,255.65,256.8,256.0,274.0,217.25,418432,108480699.0,4371,259.26,EQ
30-10-2014,255.45,261.95,253.4,255.75,256.0,274.0,217.25,426580,109898404.55,4328,257.63,EQ
31-10-2014,257.05,267.65,257.05,265.15,265.0,274.0,217.25,502679,132215386.7,7696,263.02,EQ
03-11-2014,265.0,288.3,264.85,282.05,281.8,288.3,217.25,2440177,682319882.65,32086,279.62,EQ
05-11-2014,283.4,289.0,257.5,260.6,259.4,289.0,217.25,2697825,734816155.1,37767,272.37,EQ
07-11-2014,258.15,291.9,251.65,287.55,290.6,291.9,217.25,2405773,666822552.05,34725,277.18,EQ
10-11-2014,290.8,300.0,278.1,294.05,292.7,300.0,217.25,1242418,361755383.3,18066,291.17,EQ
11-11-2014,293.7,299.95,288.25,291.7,290.4,300.0,217.25,742672,219171606.95,13244,295.11,EQ
12-11-2014,290.2,304.5,290.05,297.75,297.45,304.5,217.25,941300,281781405.1,16002,299.35,EQ
13-11-2014,298.0,301.7,288.8,290.8,290.35,304.5,217.25,478402,141213256.85,7552,295.18,EQ
14-11-2014,291.95,296.4,289.0,293.95,293.9,304.5,217.25,277512,81352800.6,7880,293.15,EQ
17-11-2014,294.0,301.7,291.1,295.6,294.9,304.5,217.25,282906,83755023.15,5625,296.05,EQ
18-11-2014,296.2,309.4,295.0,296.8,296.0,309.4,217.25,805925,243100586.95,13512,301.64,EQ
19-11-2014,297.4,299.5,281.1,286.45,286.85,309.4,217.25,391098,113658515.85,6793,290.61,EQ
20-11-2014,287.0,289.4,270.25,278.8,279.3,309.4,217.25,411449,114799027.05,8202,279.01,EQ
21-11-2014,280.15,281.85,271.1,273.55,272.0,309.4,217.25,338959,93400226.3,6199,275.55,EQ
24-11-2014,274.8,282.5,270.4,275.2,274.65,309.4,217.25,323199,89663924.3,6012,277.43,EQ
25-11-2014,274.05,276.85,258.0,266.8,268.0,309.4,217.25,353072,94109805.85,6444,266.55,EQ
26-11-2014,266.8,274.4,264.95,271.7,271.0,309.4,217.25,196547,53235679.0,3677,270.85,EQ
27-11-2014,271.9,282.0,270.0,278.5,279.0,309.4,217.25,354713,98438091.5,7646,277.51,EQ
28-11-2014,275.1,282.9,271.0,272.35,272.0,309.4,217.25,139547,38734213.15,2721,277.57,EQ
01-12-2014,273.9,276.0,265.95,266.75,266.5,309.4,217.25,169252,45882395.4,2536,271.09,EQ
02-12-2014,267.7,273.0,266.15,269.8,269.9,309.4,217.25,163949,44199597.95,3026,269.59,EQ
03-12-2014,270.7,276.5,269.25,272.1,272.5,309.4,217.25,116670,31924996.85,2203,273.64,EQ
04-12-2014,272.75,274.2,270.0,271.05,271.05,309.4,217.25,71509,19453511.65,1991,272.04,EQ
05-12-2014,271.55,273.3,265.0,266.0,265.75,309.4,217.25,260921,70016328.55,3047,268.34,EQ
08-12-2014,266.75,271.0,262.0,264.95,266.0,309.4,217.25,117887,31500187.25,4192,267.21,EQ
09-12-2014,264.0,269.0,255.0,256.4,255.3,309.4,217.25,365270,95611942.35,5348,261.76,EQ
10-12-2014,256.0,269.7,253.0,265.2,265.15,309.4,217.25,140699,37113166.6,3406,263.78,EQ
11-12-2014,265.65,267.0,257.0,257.7,257.95,309.4,217.25,91159,23817084.85,2391,261.27,EQ
12-12-2014,260.0,263.9,240.05,249.65,251.2,309.4,217.25,122138,31234268.55,2747,255.73,EQ
15-12-2014,248.0,263.0,246.0,259.95,258.85,309.4,217.25,210035,53756027.75,9996,255.94,EQ
16-12-2014,258.5,258.5,247.0,249.1,249.8,309.4,217.25,163838,41267211.5,5922,251.88,EQ
17-12-2014,247.0,252.8,240.3,241.6,241.45,309.4,217.25,136801,33441236.1,4515,244.45,EQ
18-12-2014,243.65,252.4,243.65,246.65,246.1,309.4,217.25,130375,32408169.45,7923,248.58,EQ
19-12-2014,248.3,254.75,247.0,251.6,251.0,309.4,217.25,289933,72987443.6,5132,251.74,EQ
22-12-2014,252.0,258.15,252.0,255.15,255.75,309.4,217.25,105437,26943349.05,2713,255.54,EQ
23-12-2014,257.5,259.0,249.5,251.4,251.05,309.4,217.25,121581,31010213.8,2642,255.06,EQ
24-12-2014,252.6,256.95,250.05,253.5,253.3,309.4,217.25,87161,22094704.2,2010,253.49,EQ
26-12-2014,253.5,259.5,252.7,257.85,257.7,309.4,217.25,91327,23522175.6,1919,257.56,EQ
29-12-2014,258.75,270.0,258.75,266.65,266.9,309.4,217.25,315523,83879373.45,4227,265.84,EQ
30-12-2014,268.0,272.8,264.45,266.55,266.15,309.4,217.25,84431,22650123.8,2843,268.27,EQ
31-12-2014,265.6,275.45,265.0,269.75,270.0,309.4,217.25,131888,35715264.5,3437,270.8,EQ
01-01-2015,270.0,273.0,267.0,268.2,267.6,309.4,217.25,64389,17360585.25,2035,269.62,EQ
02-01-2015,269.6,274.8,266.1,268.85,268.5,309.4,217.25,99772,27056061.8,2205,271.18,EQ
05-01-2015,268.4,272.4,261.3,262.95,262.5,309.4,217.25,300222,80720577.85,3126,268.87,EQ
06-01-2015,261.0,261.0,250.0,254.45,256.0,309.4,217.25,256574,65822055.3,4308,256.54,EQ
07-01-2015,255.0,258.05,253.5,254.8,255.0,309.4,217.25,240740,61424143.7,1991,255.15,EQ
08-01-2015,255.85,261.9,255.55,259.5,258.6,309.4,217.25,80417,20846711.85,1931,259.23,EQ
09-01-2015,261.25,263.5,254.55,255.45,256.0,309.4,217.25,67419,17401532.25,1644,258.11,EQ
12-01-2015,254.0,262.0,254.0,255.55,254.5,309.4,217.25,60482,15580910.9,2363,257.61,EQ
13-01-2015,256.2,257.8,251.65,255.9,257.0,309.4,217.25,432596,110348127.15,2574,255.08,EQ
14-01-2015,256.75,265.2,254.05,256.25,255.25,309.4,217.25,93798,24404642.15,1944,260.18,EQ
15-01-2015,263.6,263.6,256.0,257.25,256.0,309.4,217.25,97806,25266663.4,2298,258.33,EQ
16-01-2015,257.75,260.7,255.9,258.75,259.95,309.4,217.25,45762,11825305.7,1235,258.41,EQ
19-01-2015,258.95,261.7,255.95,260.4,261.3,309.4,217.25,141205,36530718.75,1590,258.71,EQ
20-01-2015,261.4,263.7,255.25,256.1,255.8,309.4,217.25,153647,39887171.5,6893,259.6,EQ
21-01-2015,257.5,261.5,255.75,259.5,260.0,309.4,217.25,108863,28154924.8,2406,258.63,EQ
22-01-2015,260.0,262.25,256.05,257.05,257.3,309.4,217.25,134028,34551863.65,1492,257.8,EQ
23-01-2015,260.7,263.3,256.8,258.65,262.25,309.4,217.25,153081,39544576.15,2558,258.32,EQ
27-01-2015,261.5,285.9,259.95,276.2,276.0,309.4,217.25,449418,124191383.1,8133,276.34,EQ
28-01-2015,273.05,282.4,260.5,265.05,264.0,309.4,217.25,259592,70374682.9,4781,271.1,EQ
29-01-2015,265.0,274.7,262.5,267.4,268.35,309.4,217.25,71242,19132114.55,2048,268.55,EQ
30-01-2015,265.0,269.95,260.5,261.5,263.2,309.4,217.25,48914,12898295.3,2019,263.69,EQ
02-02-2015,261.0,267.45,259.25,265.3,265.0,309.4,217.25,61598,16255198.5,1510,263.89,EQ
03-02-2015,266.0,274.0,266.0,271.8,270.0,309.4,217.25,109885,29730934.9,2681,270.56,EQ
04-02-2015,273.25,279.8,266.4,274.3,273.15,309.4,217.25,152774,41652347.85,3388,272.64,EQ
05-02-2015,274.0,279.75,266.45,268.65,268.2,309.4,217.25,100965,27706258.1,3539,274.41,EQ
06-02-2015,267.5,272.95,263.25,264.95,264.0,309.4,217.25,103817,27706316.75,3725,266.88,EQ
09-02-2015,262.0,279.0,257.8,263.6,260.0,309.4,217.25,386853,103495975.35,6788,267.53,EQ
10-02-2015,262.3,266.4,255.95,261.3,263.85,309.4,217.25,252586,65887777.65,5541,260.85,EQ
11-02-2015,266.8,269.05,262.0,264.75,266.8,309.4,217.25,45115,11993301.35,1848,265.84,EQ
12-02-2015,268.5,269.65,262.5,263.65,263.5,309.4,217.25,71664,19039995.95,2000,265.68,EQ
13-02-2015,264.95,267.9,262.0,263.75,263.0,309.4,217.25,64889,17233696.05,1486,265.59,EQ
16-02-2015,264.8,278.65,262.75,275.6,276.2,309.4,217.25,268601,73579353.95,3955,273.94,EQ
18-02-2015,277.5,282.0,272.0,276.95,275.0,309.4,217.25,128307,35575131.75,4471,277.27,EQ
19-02-2015,276.7,277.0,268.55,269.5,269.35,309.4,217.25,138352,37599157.7,1816,271.76,EQ
20-02-2015,270.4,275.9,266.7,269.0,270.0,309.4,217.25,84883,23152892.9,2193,272.76,EQ
23-02-2015,270.35,272.45,268.0,269.75,269.9,309.4,217.25,78692,21189901.2,2616,269.28,EQ
24-02-2015,269.35,272.2,263.95,269.0,269.0,309.4,217.25,201255,54088625.85,5380,268.76,EQ
25-02-2015,269.7,278.65,268.75,275.5,276.0,309.4,217.25,96816,26569414.2,2400,274.43,EQ
26-02-2015,276.9,277.55,268.9,269.25,270.0,309.4,217.25,63920,17315039.45,1571,270.89,EQ
27-02-2015,270.55,273.95,268.9,272.25,272.75,309.4,217.25,49776,13465164.7,1116,270.52,EQ
28-02-2015,274.9,275.0,267.0,274.1,274.0,309.4,217.25,57426,15617032.9,2122,271.95,EQ
02-03-2015,274.25,278.9,267.35,277.2,278.4,309.4,217.25,144042,39358558.15,1732,273.24,EQ
03-03-2015,277.0,292.2,276.0,287.1,285.3,309.4,217.25,380192,109132001.25,9762,287.04,EQ
04-03-2015,289.0,304.65,287.65,297.7,299.0,309.4,217.25,405629,120640075.05,7776,297.41,EQ
05-03-2015,299.45,315.5,298.95,310.45,311.0,315.5,217.25,505977,157404747.5,9767,311.09,EQ
09-03-2015,308.75,337.8,302.0,324.65,326.0,337.8,217.25,786779,256823393.5,17371,326.42,EQ
10-03-2015,327.6,333.6,321.95,325.25,325.0,337.8,217.25,267219,87439097.75,5708,327.22,EQ
11-03-2015,325.95,327.7,313.4,317.25,317.0,337.8,217.25,112169,35835565.45,3027,319.48,EQ
12-03-2015,318.0,326.0,318.0,319.55,320.0,337.8,217.25,78295,25188312.8,2532,321.71,EQ
13-03-2015,321.9,326.0,309.4,310.85,310.0,337.8,217.25,80078,25435559.65,2495,317.63,EQ
16-03-2015,312.4,312.4,302.8,305.6,309.85,337.8,217.25,45839,14023806.15,1622,305.94,EQ
17-03-2015,306.0,329.75,306.0,322.5,321.25,337.8,217.25,148301,47448209.5,2969,319.95,EQ
18-03-2015,323.0,324.75,310.2,311.95,312.25,337.8,217.25,41148,13019548.65,1660,316.41,EQ
19-03-2015,315.0,319.9,305.0,307.5,308.0,337.8,217.25,59053,18378687.65,1281,311.22,EQ
20-03-2015,308.25,308.25,290.7,294.0,297.0,337.8,217.25,127535,37687687.05,3059,295.51,EQ
23-03-2015,295.0,307.95,292.0,298.5,300.1,337.8,217.25,49522,14885414.0,1731,300.58,EQ
24-03-2015,298.3,304.0,293.3,296.35,296.45,337.8,217.25,30327,9055059.7,855,298.58,EQ
25-03-2015,298.0,304.7,296.95,300.15,298.0,337.8,217.25,129683,38955625.2,2768,300.39,EQ
26-03-2015,297.45,302.0,292.1,293.95,292.2,337.8,217.25,23384,6931866.65,825,296.44,EQ
27-03-2015,294.95,300.0,283.0,285.3,286.0,337.8,217.25,32122,9279111.65,1397,288.87,EQ
30-03-2015,292.0,334.0,292.0,323.6,325.0,337.8,217.25,880380,280918464.5,18225,319.09,EQ
31-03-2015,323.0,326.9,312.25,316.1,315.55,337.8,217.25,219983,70365863.25,5646,319.87,EQ
01-04-2015,316.5,321.4,313.5,315.75,316.8,337.8,217.25,91614,29043820.6,2589,317.02,EQ
06-04-2015,320.65,333.4,305.5,322.4,321.75,337.8,217.25,202948,66230207.45,4439,326.34,EQ
07-04-2015,324.6,329.0,318.0,326.65,326.0,337.8,217.25,85895,27837510.4,2869,324.09,EQ
08-04-2015,329.0,333.0,322.0,323.15,322.5,337.8,217.25,70180,22972023.3,2066,327.33,EQ
09-04-2015,324.0,354.15,321.0,344.2,344.0,354.15,217.25,413382,141929416.45,10381,343.34,EQ
10-04-2015,344.8,360.0,343.15,355.35,356.0,360.0,217.25,465510,165137804.85,8774,354.75,EQ
13-04-2015,358.0,408.8,358.0,399.15,397.4,408.8,217.25,1257240,493958611.85,30470,392.89,EQ
15-04-2015,397.85,403.65,371.5,380.35,376.0,408.8,217.25,630441,245812119.25,11363,389.91,EQ
16-04-2015,378.95,387.5,365.0,371.65,371.75,408.8,217.25,239781,89648428.5,8296,373.88,EQ
17-04-2015,371.0,392.35,355.55,360.7,361.2,408.8,217.25,326747,122660648.55,8425,375.4,EQ
20-04-2015,361.25,367.8,335.0,342.75,344.0,408.8,217.25,235768,82354690.35,6545,349.3,EQ
21-04-2015,344.95,359.0,336.0,348.85,348.85,408.8,217.25,188753,65930514.65,5393,349.3,EQ
22-04-2015,353.9,366.7,343.0,345.05,344.0,408.8,217.25,193361,68006005.9,5761,351.7,EQ
23-04-2015,348.0,355.4,337.35,338.95,339.25,408.8,217.25,128380,44366030.95,3991,345.58,EQ
24-04-2015,341.7,341.9,309.25,313.55,309.95,408.8,217.25,205153,65905450.35,5759,321.25,EQ
27-04-2015,311.1,316.8,292.25,307.55,307.15,408.8,217.25,198660,61111094.15,5215,307.62,EQ
28-04-2015,300.4,319.55,300.4,314.95,316.5,408.8,217.25,113837,35696410.1,3215,313.57,EQ
29-04-2015,315.8,322.0,309.5,313.75,313.05,408.8,217.25,105382,33306696.6,2700,316.06,EQ
30-04-2015,310.75,314.95,305.2,309.35,309.5,408.8,217.25,69597,21614685.0,1854,310.57,EQ
04-05-2015,310.6,333.6,310.6,321.15,320.0,408.8,217.25,240729,77871089.8,5724,323.48,EQ
05-05-2015,321.5,323.8,312.0,313.85,313.95,408.8,217.25,113070,35921454.85,3442,317.69,EQ
06-05-2015,313.3,314.25,298.0,300.5,299.0,408.8,217.25,159044,48171789.25,3551,302.88,EQ
07-05-2015,299.0,311.95,296.6,300.25,301.7,408.8,217.25,110260,33689616.3,3128,305.55,EQ
08-05-2015,305.0,325.0,305.0,322.75,323.9,408.8,217.25,181207,57486790.6,4696,317.24,EQ
11-05-2015,324.0,352.8,324.0,339.45,341.0,408.8,217.25,296950,101693823.05,8972,342.46,EQ
12-05-2015,341.35,349.5,330.0,337.95,336.75,408.8,217.25,153446,52201170.8,5531,340.19,EQ
14-05-2015,351.2,352.9,344.0,348.95,349.0,408.8,217.25,85569,29888052.6,3303,349.29,EQ
15-05-2015,349.0,352.0,340.1,343.25,345.5,408.8,217.25,85728,29753036.15,3188,347.06,EQ
18-05-2015,346.0,357.75,344.25,348.3,349.0,408.8,217.25,154077,54060450.9,3636,350.87,EQ
19-05-2015,348.2,351.1,343.25,344.9,348.0,408.8,217.25,80425,28058177.85,1766,348.87,EQ
20-05-2015,347.5,351.0,345.05,349.05,349.8,408.8,217.25,49689,17347604.05,1403,349.12,EQ
21-05-2015,349.95,369.95,347.1,363.45,362.9,408.8,217.25,298408,108351314.0,7746,363.1,EQ
22-05-2015,362.7,373.9,352.0,357.1,356.0,408.8,217.25,165228,60101378.1,8994,363.75,EQ
25-05-2015,357.1,366.5,351.95,363.9,365.7,408.8,217.25,87783,31801118.7,4090,362.27,EQ
26-05-2015,367.9,369.8,355.0,358.75,360.0,408.8,217.25,82789,29876432.8,3310,360.87,EQ
27-05-2015,355.0,365.0,352.0,355.65,357.0,408.8,217.25,47828,17151160.35,1575,358.6,EQ
28-05-2015,358.5,361.6,336.25,353.6,354.0,408.8,217.25,77309,27045879.75,2630,349.84,EQ
29-05-2015,356.75,370.0,354.0,362.15,358.8,408.8,217.25,331611,120074524.0,8864,362.09,EQ
01-06-2015,361.0,362.9,343.8,348.05,345.65,408.8,217.25,97914,34324201.55,4142,350.55,EQ
02-06-2015,348.0,350.0,330.15,332.35,335.0,408.8,217.25,126251,42613284.65,3175,337.53,EQ
03-06-2015,338.95,338.95,303.0,308.8,310.45,408.8,217.25,120234,38472714.45,4292,319.98,EQ
04-06-2015,312.0,317.7,298.0,301.05,301.0,408.8,217.25,132992,40539612.35,3193,304.83,EQ
05-06-2015,295.55,315.0,295.55,305.5,306.8,408.8,217.25,98572,30357685.85,2724,307.97,EQ
08-06-2015,306.8,311.0,300.65,302.0,301.0,408.8,217.25,61692,18763350.6,2110,304.15,EQ
09-06-2015,299.95,308.0,298.2,300.0,298.3,408.8,217.25,68968,20893601.1,1411,302.95,EQ
10-06-2015,300.05,308.95,300.05,303.45,303.4,408.8,217.25,74829,22813307.35,1853,304.87,EQ
11-06-2015,306.75,309.5,291.05,293.35,291.85,408.8,217.25,60504,18061849.35,1239,298.52,EQ
12-06-2015,290.0,296.5,281.25,284.85,284.85,408.8,217.25,68938,19839217.45,2414,287.78,EQ
15-06-2015,284.85,289.9,278.0,280.8,280.2,408.8,217.25,63811,18136311.05,3352,284.22,EQ
16-06-2015,280.3,285.8,280.3,284.5,284.5,408.8,217.25,78119,22225356.45,3623,284.51,EQ
17-06-2015,287.95,290.0,284.05,285.8,285.0,408.8,217.25,83414,23928995.4,3624,286.87,EQ
18-06-2015,285.0,341.0,283.55,334.65,335.0,408.8,217.25,882453,284468214.2,18647,322.36,EQ
19-06-2015,337.7,346.9,328.1,331.3,332.0,408.8,217.25,314828,106145067.35,8648,337.15,EQ
22-06-2015,333.0,345.8,330.25,342.75,344.8,408.8,217.25,195397,66389283.25,10636,339.77,EQ
23-06-2015,343.2,351.0,336.2,339.8,340.1,408.8,217.25,135696,46702418.3,4117,344.17,EQ
24-06-2015,341.3,344.95,329.95,332.3,331.05,408.8,217.25,61062,20640768.95,1626,338.03,EQ
25-06-2015,329.0,359.95,329.0,336.6,333.5,408.8,217.25,364572,126587668.7,7782,347.22,EQ
26-06-2015,334.9,338.75,330.75,332.5,331.2,408.8,217.25,87523,29298328.85,2393,334.75,EQ
29-06-2015,325.0,331.8,318.0,328.8,331.0,408.8,217.25,76231,24786466.7,2622,325.15,EQ
30-06-2015,330.8,338.9,330.0,333.35,332.1,408.8,217.25,53962,18035513.0,2296,334.23,EQ
01-07-2015,331.9,347.0,331.9,337.1,336.35,408.8,217.25,98202,33448241.95,2815,340.61,EQ
02-07-2015,339.8,346.65,336.5,342.0,342.85,408.8,217.25,83759,28645923.15,1766,342.0,EQ
03-07-2015,338.6,353.4,338.6,344.35,343.05,408.8,217.25,423542,146311919.75,3043,345.45,EQ
06-07-2015,339.85,347.7,334.1,343.55,343.8,408.8,217.25,66757,22797597.5,1664,341.5,EQ
07-07-2015,346.8,352.0,341.0,344.5,344.0,408.8,217.25,88594,30769078.9,3245,347.3,EQ
08-07-2015,340.0,344.0,331.55,333.65,333.0,408.8,217.25,67297,22662035.45,2637,336.75,EQ
09-07-2015,339.7,342.0,334.2,335.55,335.6,408.8,217.25,52099,17609965.45,1656,338.01,EQ
10-07-2015,338.95,343.0,336.4,338.95,337.0,408.8,217.25,47152,16033572.55,1986,340.04,EQ
13-07-2015,349.4,354.8,345.7,348.05,348.0,408.8,217.25,117317,41005172.3,3272,349.52,EQ
14-07-2015,351.4,354.0,347.0,348.05,348.0,408.8,217.25,70951,24845625.2,1863,350.18,EQ
15-07-2015,348.0,364.0,345.6,351.95,353.5,408.8,217.25,151422,54078687.9,2768,357.14,EQ
16-07-2015,353.9,359.0,348.0,351.0,352.0,408.8,217.25,39881,14100476.4,1084,353.56,EQ
17-07-2015,355.0,357.4,342.0,345.75,348.0,408.8,217.25,103891,36508048.1,4789,351.41,EQ
20-07-2015,349.05,353.7,345.0,350.3,352.0,408.8,217.25,45354,15871726.35,3095,349.95,EQ
21-07-2015,352.0,352.0,342.0,343.15,345.0,408.8,217.25,36484,12675853.8,1425,347.44,EQ
22-07-2015,340.0,347.8,337.0,344.4,343.3,408.8,217.25,24669,8480424.7,739,343.77,EQ
23-07-2015,344.8,354.0,340.0,341.9,341.9,408.8,217.25,46990,16262926.7,1332,346.09,EQ
24-07-2015,341.0,347.0,338.0,341.2,342.0,408.8,217.25,33648,11557270.2,1413,343.48,EQ
27-07-2015,339.65,345.0,337.0,342.35,345.0,408.8,217.25,60133,20493554.1,1932,340.8,EQ
28-07-2015,347.0,347.0,335.1,336.55,336.15,408.8,217.25,116343,39707515.1,1593,341.3,EQ
29-07-2015,339.35,343.2,333.2,334.65,335.0,408.8,217.25,131387,44498044.7,1346,338.68,EQ
30-07-2015,337.8,340.9,331.95,333.0,333.0,408.8,217.25,75154,25176676.3,3131,335.0,EQ
31-07-2015,333.55,343.5,333.25,341.7,342.55,408.8,217.25,52405,17840903.3,1229,340.44,EQ
03-08-2015,344.1,352.0,341.7,345.3,346.0,408.8,217.25,37830,13098862.65,1208,346.26,EQ
