DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-12-2009,199.9,206.8,192.0,194.5,194.5,206.8,192.0,1735,342847.15,,197.61,EQ
04-12-2009,186.0,196.9,186.0,191.9,194.0,206.8,186.0,2516,481830.3,,191.51,EQ
07-12-2009,196.0,196.0,184.1,187.15,187.15,206.8,184.1,77,15071.25,,195.73,EQ
08-12-2009,192.0,192.0,192.0,192.0,192.0,206.8,184.1,56,10752.0,,192.0,EQ
09-12-2009,195.0,201.0,185.5,187.0,187.0,206.8,184.1,151,29149.5,,193.04,EQ
10-12-2009,190.5,192.0,190.5,191.5,192.0,206.8,184.1,1100,209650.0,,190.59,EQ
11-12-2009,193.0,193.0,182.0,186.35,185.3,206.8,182.0,1105,204597.5,,185.16,EQ
14-12-2009,184.0,184.0,184.0,184.0,184.0,206.8,182.0,225,41400.0,,184.0,EQ
15-12-2009,191.85,191.85,178.0,180.05,180.05,206.8,178.0,1603,292183.05,,182.27,EQ
16-12-2009,185.0,186.9,180.0,180.75,180.0,206.8,178.0,1422,260017.0,,182.85,EQ
17-12-2009,180.0,184.0,177.4,182.2,183.5,206.8,177.4,30,5444.5,,181.48,EQ
18-12-2009,183.7,183.7,176.35,180.1,183.5,206.8,176.35,329,59880.2,,182.01,EQ
21-12-2009,180.05,180.05,175.55,177.45,177.45,206.8,175.55,590,105322.3,,178.51,EQ
22-12-2009,183.4,183.4,171.0,179.95,178.0,206.8,171.0,706,125744.85,,178.11,EQ
23-12-2009,187.0,188.0,180.25,185.45,188.0,206.8,171.0,497,92017.25,,185.15,EQ
24-12-2009,191.0,194.75,191.0,194.75,194.75,206.8,171.0,781,152062.25,,194.7,EQ
29-12-2009,204.5,204.5,202.0,202.05,202.0,206.8,171.0,1907,387277.1,,203.08,EQ
30-12-2009,203.05,206.4,195.5,200.35,197.1,206.8,171.0,144,28952.9,,201.06,EQ
31-12-2009,196.5,198.0,195.05,195.85,196.0,206.8,171.0,352,68963.0,,195.92,EQ
04-01-2010,196.0,198.8,191.1,192.05,192.05,206.8,171.0,605,116028.45,,191.78,EQ
05-01-2010,199.85,199.85,197.0,197.5,197.0,206.8,171.0,3507,692115.45,,197.35,EQ
06-01-2010,198.5,202.0,198.0,198.2,200.4,206.8,171.0,1538,307781.4,,200.12,EQ
07-01-2010,190.0,204.95,190.0,204.55,204.95,206.8,171.0,1495,294237.5,,196.81,EQ
08-01-2010,204.0,214.0,204.0,209.8,211.0,214.0,171.0,3460,725760.6,,209.76,EQ
11-01-2010,217.6,218.0,201.0,212.5,207.0,218.0,171.0,3679,783179.3,,212.88,EQ
