DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-02-2018,100.35,100.35,95.35,95.35,95.35,100.35,95.35,37032,3560672.45,188,96.15,BE
27-02-2018,90.6,90.6,90.6,90.6,90.6,100.35,90.6,199,18029.4,11,90.6,BE
28-02-2018,86.1,86.1,86.1,86.1,86.1,100.35,86.1,26,2238.6,2,86.1,BE
01-03-2018,81.8,81.8,81.8,81.8,81.8,100.35,81.8,423,34601.4,7,81.8,BE
05-03-2018,77.75,77.75,77.75,77.75,77.75,100.35,77.75,1383,107528.25,7,77.75,BE
06-03-2018,73.9,73.9,73.9,73.9,73.9,100.35,73.9,175,12932.5,9,73.9,BE
07-03-2018,70.25,70.25,70.25,70.25,70.25,100.35,70.25,322,22620.5,7,70.25,BE
08-03-2018,66.75,66.75,66.75,66.75,66.75,100.35,66.75,410,27367.5,5,66.75,BE
09-03-2018,63.45,70.05,63.45,64.4,64.4,100.35,63.45,28240,1811526.2,116,64.15,BE
12-03-2018,64.5,67.6,62.0,64.5,64.5,100.35,62.0,13405,870001.5,57,64.9,BE
13-03-2018,64.4,65.9,60.0,61.2,61.0,100.35,60.0,13958,860920.2,95,61.68,EQ
14-03-2018,60.0,62.55,59.1,62.5,62.0,100.35,59.1,7950,489138.5,67,61.53,EQ
15-03-2018,60.0,64.85,59.0,62.2,61.35,100.35,59.0,9436,577431.9,81,61.19,EQ
16-03-2018,59.6,62.1,57.1,61.15,60.2,100.35,57.1,3129,188942.8,81,60.38,EQ
19-03-2018,60.1,60.1,54.8,55.4,56.5,100.35,54.8,4676,263691.35,71,56.39,EQ
20-03-2018,56.5,56.95,51.95,53.15,54.5,100.35,51.95,5069,269820.25,60,53.23,EQ
21-03-2018,54.5,54.5,50.1,50.8,50.5,100.35,50.1,3716,193616.5,103,52.1,EQ
