DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-12-1996,12.4,12.4,12.25,12.25,,15.95,12.15,650,7977.5,,12.27,EQ
12-12-1996,12.25,12.25,11.9,11.9,,15.95,12.15,1550,18645.0,,12.03,EQ
13-12-1996,11.9,11.9,11.6,11.9,,15.95,11.9,1200,13972.5,,11.64,EQ
16-12-1996,11.45,11.8,11.45,11.8,,15.95,11.6,1200,14065.0,,11.72,EQ
17-12-1996,11.8,11.8,11.2,11.5,,15.95,11.45,1600,18620.0,,11.64,EQ
18-12-1996,11.45,11.45,11.45,11.45,,15.95,11.2,100,1145.0,,11.45,EQ
19-12-1996,11.5,11.8,11.5,11.8,,15.95,11.2,850,9915.0,,11.66,EQ
20-12-1996,11.75,11.8,11.5,11.8,,15.95,11.2,5600,65450.0,,11.69,EQ
23-12-1996,12.0,12.0,11.5,11.5,,15.95,11.2,550,6495.0,,11.81,EQ
24-12-1996,12.1,12.25,11.6,11.65,,15.95,11.2,2100,24965.0,,11.89,EQ
26-12-1996,11.6,12.25,11.6,12.25,,15.95,11.2,1300,15855.0,,12.2,EQ
31-12-1996,12.05,12.35,12.05,12.35,,15.95,11.2,350,4292.5,,12.26,EQ
01-01-1997,12.45,13.5,12.25,13.5,,15.95,11.2,3650,45750.0,,12.53,EQ
02-01-1997,13.5,13.5,12.75,12.75,,15.95,11.2,1500,19580.0,,13.05,EQ
03-01-1997,12.9,12.9,12.5,12.5,,15.95,11.2,1100,13950.0,,12.68,EQ
06-01-1997,12.7,12.7,12.25,12.3,,15.95,11.2,1250,15535.0,,12.43,EQ
07-01-1997,12.6,12.7,12.25,12.7,,15.95,11.2,3200,40070.0,,12.52,EQ
08-01-1997,12.75,13.5,12.75,13.5,,15.95,11.2,6100,80285.0,,13.16,EQ
09-01-1997,13.75,14.0,13.5,13.55,,15.95,11.2,4200,57630.0,,13.72,EQ
10-01-1997,13.75,13.75,13.15,13.15,,15.95,11.2,2650,35180.0,,13.28,EQ
13-01-1997,13.0,13.6,13.0,13.0,,15.95,11.2,3700,49400.0,,13.35,EQ
14-01-1997,13.25,13.45,13.0,13.1,,15.95,11.2,1300,17102.5,,13.16,EQ
15-01-1997,13.75,13.75,13.25,13.75,,15.95,11.2,2800,38242.5,,13.66,EQ
16-01-1997,13.45,13.75,13.45,13.55,,15.95,11.2,1650,22435.0,,13.6,EQ
17-01-1997,13.5,13.75,13.25,13.75,,15.95,11.2,1400,18820.0,,13.44,EQ
20-01-1997,13.25,13.25,13.05,13.25,,15.95,11.2,650,8522.5,,13.11,EQ
21-01-1997,13.15,13.4,13.05,13.4,,15.95,11.2,2700,35580.0,,13.18,EQ
22-01-1997,13.0,13.0,13.0,13.0,,15.95,11.2,600,7800.0,,13.0,EQ
24-01-1997,12.75,13.0,12.75,12.8,,15.95,11.2,800,10245.0,,12.81,EQ
27-01-1997,12.75,12.75,12.55,12.55,,15.95,11.2,650,8202.5,,12.62,EQ
28-01-1997,13.0,13.0,12.5,12.5,,15.95,11.2,500,6375.0,,12.75,EQ
29-01-1997,13.0,13.0,13.0,13.0,,15.95,11.2,100,1300.0,,13.0,EQ
30-01-1997,13.0,13.0,12.75,12.75,,15.95,11.2,1350,17277.5,,12.8,EQ
31-01-1997,12.4,12.4,12.25,12.4,,15.95,11.2,1100,13535.0,,12.3,EQ
03-02-1997,12.5,12.5,12.0,12.0,,15.95,11.2,1800,21875.0,,12.15,EQ
04-02-1997,11.9,12.25,11.9,12.25,,15.95,11.2,1950,23495.0,,12.05,EQ
05-02-1997,11.25,12.75,11.25,12.75,,15.95,11.2,300,3600.0,,12.0,EQ
06-02-1997,12.75,12.75,12.5,12.75,,15.95,11.2,1150,14612.5,,12.71,EQ
07-02-1997,12.5,12.65,12.5,12.5,,15.95,11.2,3350,41900.0,,12.51,EQ
10-02-1997,12.4,12.4,12.2,12.3,,15.95,11.2,2000,24560.0,,12.28,EQ
11-02-1997,12.05,12.4,12.0,12.25,,15.95,11.2,2000,24285.0,,12.14,EQ
12-02-1997,12.5,12.5,12.0,12.0,,15.95,11.2,1500,18150.0,,12.1,EQ
13-02-1997,12.05,12.2,12.05,12.2,,15.95,11.2,700,8495.0,,12.14,EQ
14-02-1997,12.4,12.4,12.0,12.2,,15.95,11.2,700,8540.0,,12.2,EQ
17-02-1997,12.25,12.25,12.05,12.25,,15.95,11.2,850,10380.0,,12.21,EQ
18-02-1997,12.25,12.4,12.25,12.4,,15.95,11.2,1500,18487.5,,12.33,EQ
19-02-1997,12.2,12.2,12.2,12.2,,15.95,11.2,550,6710.0,,12.2,EQ
20-02-1997,12.2,12.25,12.1,12.25,,15.95,11.2,1000,12190.0,,12.19,EQ
21-02-1997,12.1,12.15,11.75,11.8,,15.95,11.2,2050,24672.5,,12.04,EQ
24-02-1997,12.0,12.0,11.75,12.0,,15.95,11.2,1350,16120.0,,11.94,EQ
25-02-1997,11.75,11.75,11.5,11.5,,15.95,11.2,1400,16200.0,,11.57,EQ
26-02-1997,11.4,11.4,11.3,11.4,,15.95,11.2,1050,11915.0,,11.35,EQ
27-02-1997,11.5,11.9,11.3,11.6,,15.95,11.2,1650,19240.0,,11.66,EQ
01-03-1997,12.1,12.9,12.0,12.5,,15.95,11.2,15200,188635.0,,12.41,EQ
03-03-1997,12.5,13.6,12.5,13.55,,15.95,11.2,53700,698715.0,,13.01,EQ
04-03-1997,14.35,14.35,13.2,13.7,,15.95,11.2,10750,145965.0,,13.58,EQ
05-03-1997,13.75,13.75,13.5,13.7,,15.95,11.2,10350,142065.0,,13.73,EQ
06-03-1997,13.0,13.25,13.0,13.05,,15.95,11.2,1050,13760.0,,13.1,EQ
10-03-1997,12.75,12.75,12.05,12.1,,15.95,11.2,5300,66085.0,,12.47,EQ
