DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,487.3,489.9,485.0,489.9,,,,300,146215.0,,487.38,EQ
02-01-1996,492.0,492.1,492.0,492.05,,,,300,147615.0,,492.05,EQ
03-01-1996,492.05,490.0,490.0,490.0,,,,100,49000.0,,490.0,EQ
04-01-1996,493.95,495.0,490.0,490.0,,,,600,296385.0,,493.98,EQ
05-01-1996,490.0,490.0,489.9,490.0,,,,250,122490.0,,489.96,EQ
08-01-1996,485.0,490.0,485.0,489.45,,,,550,269202.5,,489.46,EQ
09-01-1996,489.45,491.0,490.0,490.0,,,,350,171630.0,,490.37,EQ
10-01-1996,490.0,497.0,495.0,495.5,,,,350,173400.0,,495.43,EQ
11-01-1996,495.5,497.5,492.0,495.5,,,,950,470972.5,,495.76,EQ
12-01-1996,495.5,495.0,490.05,490.05,,,,100,49252.5,,492.53,EQ
15-01-1996,500.0,502.0,500.0,502.0,,,,300,150150.0,,500.5,EQ
16-01-1996,502.0,500.0,496.0,496.0,,,,450,223400.0,,496.44,EQ
17-01-1996,496.0,497.0,495.0,497.0,,,,350,173750.0,,496.43,EQ
18-01-1996,480.0,495.0,480.0,495.0,,,,2850,1376630.0,,483.03,EQ
19-01-1996,499.95,508.0,483.25,486.75,,,,2900,1458632.5,,502.98,EQ
22-01-1996,486.75,493.0,483.0,493.0,,,,10150,4958150.0,,488.49,EQ
23-01-1996,493.0,489.0,485.55,485.8,,,,950,462980.0,,487.35,EQ
24-01-1996,485.8,485.0,482.0,483.75,,,,250,120737.5,,482.95,EQ
25-01-1996,483.75,476.05,476.0,476.0,,,,200,95202.5,,476.01,EQ
29-01-1996,476.0,479.0,471.0,479.0,,,,400,190350.0,,475.88,EQ
30-01-1996,479.0,488.25,470.0,487.0,,,,2650,1284987.5,,484.9,EQ
31-01-1996,487.0,486.0,486.0,486.0,,,,50,24300.0,,486.0,EQ
01-02-1996,486.0,489.0,485.95,489.0,,,,550,268395.0,,487.99,EQ
02-02-1996,489.0,509.95,495.0,495.0,,,,500,250940.0,,501.88,EQ
05-02-1996,495.0,510.0,499.95,501.0,,,,1600,806040.0,,503.78,EQ
06-02-1996,501.0,504.0,455.0,504.0,,,,950,470075.0,,494.82,EQ
07-02-1996,504.0,495.0,495.0,495.0,,,,100,49500.0,,495.0,EQ
08-02-1996,495.0,505.0,500.0,500.0,,,,200,100500.0,,502.5,EQ
09-02-1996,500.0,505.0,500.0,501.0,,,,200,100600.0,,503.0,EQ
12-02-1996,501.0,529.95,518.0,520.0,,,,1350,709195.0,,525.33,EQ
13-02-1996,520.0,528.0,507.5,509.5,,,,300,153975.0,,513.25,EQ
14-02-1996,509.5,545.0,520.0,545.0,,,,1650,874297.5,,529.88,EQ
15-02-1996,545.0,553.0,540.0,550.0,,,,3000,1648245.0,,549.42,EQ
16-02-1996,550.0,544.0,535.0,535.0,,,,1200,643250.0,,536.04,EQ
19-02-1996,535.0,536.0,531.0,535.0,,,,550,294075.0,,534.68,EQ
20-02-1996,535.0,548.0,537.55,545.5,,,,1000,544360.0,,544.36,EQ
22-02-1996,545.5,556.0,540.0,551.65,,,,1200,657910.0,,548.26,EQ
23-02-1996,551.65,558.0,555.0,556.5,,,,1550,860950.0,,555.45,EQ
26-02-1996,556.5,560.0,555.0,558.0,,,,3900,2166705.0,,555.57,EQ
27-02-1996,558.0,565.0,555.0,557.75,,,,1650,919462.5,,557.25,EQ
28-02-1996,557.75,555.0,550.0,550.0,,,,200,110725.0,,553.63,EQ
29-02-1996,550.0,540.0,533.0,533.0,,,,350,187650.0,,536.14,EQ
01-03-1996,533.0,525.0,520.0,524.95,,,,450,234947.5,,522.11,EQ
04-03-1996,524.95,522.0,520.0,520.0,,,,1100,572100.0,,520.09,EQ
