DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-11-2021,570.0,598.5,570.0,598.5,598.5,598.5,570.0,1498294,871166529.65,22954,581.44,BE
16-11-2021,628.4,628.4,628.4,628.4,628.4,628.4,570.0,45734,28739245.6,992,628.4,BE
17-11-2021,634.0,634.0,597.0,597.0,597.0,634.0,570.0,543748,335758735.35,19525,617.49,BE
18-11-2021,567.15,567.15,567.15,567.15,567.15,634.0,567.15,49114,27855005.1,3300,567.15,BE
22-11-2021,538.8,538.8,538.8,538.8,538.8,634.0,538.8,27888,15026054.4,2272,538.8,BE
23-11-2021,511.9,511.9,511.9,511.9,511.9,634.0,511.9,28285,14479091.5,2303,511.9,BE
24-11-2021,486.35,537.45,486.35,537.45,537.45,634.0,486.35,1261412,630805407.2,28263,500.08,BE
25-11-2021,510.6,532.2,510.6,512.95,518.0,634.0,486.35,637337,329189688.05,16252,516.51,BE
26-11-2021,490.8,509.7,487.35,489.6,487.35,634.0,486.35,325822,161764020.7,13221,496.48,BE
29-11-2021,485.0,487.0,465.15,465.15,465.15,634.0,465.15,190676,89189862.5,6888,467.76,BE
30-11-2021,472.5,494.0,399.0,411.95,414.0,494.0,399.0,1879248,823905779.9,79092,438.42,EQ
01-12-2021,420.0,429.4,394.0,405.95,406.9,494.0,394.0,815375,334227040.5,41778,409.91,EQ
02-12-2021,407.3,459.55,401.0,440.05,440.7,494.0,394.0,1766410,775738930.35,63221,439.16,EQ
03-12-2021,441.0,454.45,431.0,435.95,435.6,494.0,394.0,1142137,506328656.55,45647,443.32,EQ
06-12-2021,440.0,440.0,409.1,413.15,415.0,494.0,394.0,560381,239510174.45,19974,427.41,EQ
07-12-2021,421.85,432.0,413.0,415.45,414.8,494.0,394.0,833251,354546636.45,23338,425.5,EQ
08-12-2021,419.4,424.4,404.4,411.3,410.85,494.0,394.0,465883,193012657.0,23691,414.29,EQ
09-12-2021,410.0,418.0,407.25,410.0,410.45,494.0,394.0,278803,114844520.95,12136,411.92,EQ
10-12-2021,410.0,417.95,407.05,407.9,407.6,494.0,394.0,330711,136035815.4,12184,411.34,EQ
13-12-2021,422.0,445.9,420.2,424.1,424.0,494.0,394.0,1134392,490303063.45,45370,432.22,EQ
14-12-2021,425.85,427.8,415.2,417.2,416.5,494.0,394.0,263073,110815669.95,10520,421.24,EQ
15-12-2021,417.2,421.45,407.95,408.7,410.0,494.0,394.0,326444,134853003.55,15345,413.1,EQ
16-12-2021,415.0,416.5,403.45,406.05,406.9,494.0,394.0,223718,91208959.45,8860,407.7,EQ
17-12-2021,407.0,417.3,402.15,406.3,407.0,494.0,394.0,299663,122625695.6,15801,409.21,EQ
20-12-2021,399.9,404.4,376.4,394.9,390.0,494.0,376.4,350205,135641772.25,24686,387.32,EQ
21-12-2021,399.4,410.95,390.0,397.45,397.7,494.0,376.4,302001,121241160.15,14143,401.46,EQ
22-12-2021,398.5,409.5,391.2,396.35,396.9,494.0,376.4,231045,92964950.35,11140,402.37,EQ
23-12-2021,404.3,408.0,396.6,401.85,401.8,494.0,376.4,202699,81519381.0,9251,402.17,EQ
