DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-06-2023,328.5,328.5,297.25,302.35,300.5,328.5,297.25,35025,11183283.8,712,319.29,EQ
12-06-2023,315.0,317.45,313.0,317.4,317.45,328.5,297.25,25292,8019549.2,854,317.08,EQ
13-06-2023,331.0,331.0,307.15,308.3,308.9,331.0,297.25,32935,10624406.15,1474,322.59,EQ
14-06-2023,315.0,320.0,312.0,316.85,315.0,331.0,297.25,28267,8932950.7,1733,316.02,EQ
15-06-2023,330.0,332.65,324.1,332.45,332.65,332.65,297.25,89460,29529516.85,3861,330.09,EQ
16-06-2023,349.05,349.05,347.0,349.05,349.05,349.05,297.25,41392,14446251.0,703,349.01,EQ
19-06-2023,363.1,366.5,356.55,366.5,366.5,366.5,297.25,53678,19598096.2,1218,365.1,EQ
20-06-2023,379.0,384.8,367.1,384.6,384.8,384.8,297.25,110574,42078520.6,4073,380.55,EQ
21-06-2023,388.5,401.95,375.1,387.6,384.45,401.95,297.25,61724,24242908.4,2571,392.76,EQ
22-06-2023,391.0,391.0,368.25,368.25,368.25,401.95,297.25,16802,6282641.25,938,373.92,EQ
23-06-2023,352.05,358.9,349.85,349.85,349.85,401.95,297.25,13911,4878599.2,718,350.7,EQ
26-06-2023,332.35,349.75,332.35,332.8,333.9,401.95,297.25,50209,16882624.5,2971,336.25,EQ
27-06-2023,337.4,349.4,326.65,349.1,349.4,401.95,297.25,27254,9389732.7,1543,344.53,EQ
28-06-2023,359.0,362.05,352.0,353.2,355.6,401.95,297.25,27497,9805259.5,1540,356.59,EQ
30-06-2023,361.0,364.35,353.2,358.95,360.4,401.95,297.25,21903,7877288.65,1726,359.64,EQ
03-07-2023,366.15,372.9,354.15,360.25,360.85,401.95,297.25,17140,6211902.8,1236,362.42,EQ
04-07-2023,358.0,364.95,349.55,352.65,353.0,401.95,297.25,10252,3633335.6,965,354.4,EQ
05-07-2023,352.65,354.0,342.1,344.35,342.15,401.95,297.25,9176,3188321.25,1076,347.46,EQ
06-07-2023,344.35,361.55,337.7,359.3,361.55,401.95,297.25,24129,8465917.75,1362,350.86,EQ
07-07-2023,364.0,367.95,356.0,363.05,361.75,401.95,297.25,14652,5291395.7,1109,361.14,EQ
10-07-2023,369.85,374.4,356.55,363.15,359.0,401.95,297.25,15480,5619731.5,1267,363.03,EQ
11-07-2023,369.0,371.85,355.6,363.7,363.0,401.95,297.25,15969,5791499.35,1433,362.67,EQ
12-07-2023,370.85,370.85,360.2,363.0,362.4,401.95,297.25,11290,4117845.35,1412,364.73,EQ
13-07-2023,368.0,368.0,344.85,351.2,358.0,401.95,297.25,27937,9848855.55,1830,352.54,EQ
14-07-2023,360.0,361.4,333.65,347.8,351.75,401.95,297.25,23942,8221737.15,1767,343.4,EQ
17-07-2023,363.2,363.2,349.55,362.75,362.95,401.95,297.25,26628,9614960.8,1555,361.08,EQ
18-07-2023,378.0,378.0,362.1,369.4,369.0,401.95,297.25,16651,6132880.25,1398,368.32,EQ
19-07-2023,377.8,377.9,367.05,372.25,372.5,401.95,297.25,13568,5042486.1,952,371.65,EQ
20-07-2023,377.25,379.0,361.1,372.5,375.15,401.95,297.25,18573,6855595.35,1132,369.12,EQ
21-07-2023,372.4,375.15,364.95,367.25,368.8,401.95,297.25,8325,3065896.8,785,368.28,EQ
24-07-2023,380.65,385.2,367.0,384.2,385.2,401.95,297.25,15747,6001968.4,960,381.15,EQ
25-07-2023,401.0,403.4,387.1,401.75,403.4,403.4,297.25,24198,9635761.4,1360,398.2,EQ
26-07-2023,419.0,421.8,415.0,421.8,421.8,421.8,297.25,24812,10447800.75,740,421.08,EQ
27-07-2023,433.8,438.65,409.95,419.7,421.75,438.65,297.25,24490,10460507.65,1640,427.13,EQ
28-07-2023,429.8,440.65,422.05,440.65,440.65,440.65,297.25,19683,8638261.5,1203,438.87,EQ
31-07-2023,462.65,462.65,462.65,462.65,462.65,462.65,297.25,7859,3635966.35,133,462.65,EQ
01-08-2023,485.75,485.75,485.75,485.75,485.75,485.75,297.25,6360,3089370.0,94,485.75,EQ
02-08-2023,502.7,502.7,463.1,494.95,497.8,502.7,297.25,54861,26640241.15,4024,485.6,EQ
03-08-2023,490.0,499.95,470.2,475.6,484.75,499.95,470.2,7700,3703983.25,579,481.04,BE
04-08-2023,461.0,470.0,451.85,451.85,451.85,499.95,451.85,4868,2209760.5,199,453.94,BE
07-08-2023,429.25,435.0,429.25,429.45,429.25,499.95,429.25,4997,2149518.4,218,430.16,BE
08-08-2023,440.0,440.0,408.0,423.9,416.0,499.95,408.0,5316,2221893.15,285,417.96,BE
09-08-2023,402.7,409.7,402.7,402.7,402.7,499.95,402.7,7431,2995564.35,328,403.12,BE
10-08-2023,402.7,422.8,382.6,421.65,422.8,499.95,382.6,12243,4880901.15,635,398.67,BE
11-08-2023,440.95,442.7,423.0,439.2,439.95,499.95,382.6,5576,2423837.25,217,434.69,BE
14-08-2023,453.95,455.0,439.2,446.5,446.6,499.95,382.6,2730,1221972.25,189,447.61,BE
16-08-2023,457.85,468.8,446.8,468.8,468.8,499.95,382.6,5407,2499866.1,131,462.34,BE
17-08-2023,492.2,492.2,461.55,490.85,491.0,499.95,382.6,9641,4700716.55,382,487.58,BE
18-08-2023,481.0,509.0,466.3,476.4,479.0,509.0,382.6,6576,3171511.5,318,482.29,BE
21-08-2023,461.0,474.0,452.6,452.6,452.6,509.0,382.6,4404,2002985.1,246,454.81,BE
22-08-2023,452.6,474.0,430.0,466.9,471.5,509.0,382.6,5164,2381638.35,198,461.2,BE
23-08-2023,466.9,483.7,456.0,461.05,460.0,509.0,382.6,3760,1745416.65,157,464.21,BE
24-08-2023,469.4,475.0,438.0,442.7,456.0,509.0,382.6,5075,2310003.3,271,455.17,BE
25-08-2023,452.5,452.5,420.6,428.3,423.0,509.0,382.6,2423,1042881.55,145,430.41,BE
28-08-2023,409.0,449.7,409.0,446.9,447.5,509.0,382.6,1323,581153.15,88,439.27,BE
29-08-2023,431.0,445.0,424.55,429.15,436.0,509.0,382.6,2753,1180986.45,210,428.98,BE
30-08-2023,414.0,429.0,408.0,422.35,429.0,509.0,382.6,5045,2102688.35,302,416.79,BE
31-08-2023,430.0,430.0,410.0,421.55,418.05,509.0,382.6,3242,1371910.05,246,423.17,BE
01-09-2023,429.7,429.7,405.0,417.5,420.0,509.0,382.6,2904,1203398.15,255,414.39,BE
04-09-2023,400.5,419.7,399.05,401.1,411.5,509.0,382.6,10273,4153487.55,184,404.31,BE
05-09-2023,405.0,411.2,390.0,390.9,390.0,509.0,382.6,2574,1035454.8,160,402.27,BE
06-09-2023,390.65,410.4,390.0,406.15,404.0,509.0,382.6,1831,734713.4,108,401.26,BE
07-09-2023,425.0,425.0,386.0,397.65,392.0,509.0,382.6,8238,3243795.65,457,393.76,BE
08-09-2023,396.0,402.0,380.2,400.0,400.0,509.0,380.2,5277,2036788.65,146,385.97,BE
11-09-2023,401.0,401.0,385.05,398.75,398.05,509.0,380.2,4790,1891948.4,120,394.98,BE
12-09-2023,418.0,418.65,403.75,416.2,418.6,502.7,297.25,5404,2236617.45,307,413.88,EQ
13-09-2023,433.95,437.0,416.0,437.0,437.0,502.7,297.25,12092,5237305.0,668,433.12,EQ
14-09-2023,458.85,458.85,447.65,458.85,458.85,502.7,297.25,7855,3599604.5,535,458.26,EQ
15-09-2023,478.95,481.6,453.05,463.1,460.0,502.7,297.25,12572,5860987.85,1468,466.19,EQ
18-09-2023,477.0,477.0,454.1,457.4,460.0,502.7,297.25,6687,3089619.6,1119,462.03,EQ
20-09-2023,470.1,470.1,437.0,441.75,443.95,502.7,297.25,5289,2363534.55,1188,446.88,EQ
21-09-2023,443.0,443.0,422.1,434.95,442.0,502.7,297.25,7114,3080954.85,1437,433.08,EQ
22-09-2023,435.2,450.0,430.5,442.7,445.0,502.7,297.25,5665,2491933.65,1094,439.88,EQ
25-09-2023,459.95,464.8,435.0,444.05,445.0,502.7,297.25,7580,3407174.25,973,449.5,EQ
26-09-2023,460.0,460.0,435.85,437.05,437.1,502.7,297.25,4987,2219855.55,910,445.13,EQ
27-09-2023,453.95,458.9,438.0,440.15,438.25,502.7,297.25,9536,4285696.9,861,449.42,EQ
28-09-2023,453.95,462.15,442.0,455.85,450.0,502.7,297.25,6831,3083765.0,945,451.44,EQ
29-09-2023,450.0,478.6,450.0,471.65,473.0,502.7,297.25,23826,11188230.05,1783,469.58,EQ
03-10-2023,489.95,489.95,473.0,476.5,476.2,502.7,297.25,11068,5309762.55,1116,479.74,EQ
04-10-2023,489.0,489.0,460.0,464.25,468.0,502.7,297.25,7064,3309308.25,936,468.48,EQ
05-10-2023,467.1,468.1,447.6,450.7,452.4,502.7,297.25,8320,3778288.35,1253,454.12,EQ
06-10-2023,459.0,459.0,438.9,447.65,452.5,502.7,297.25,6311,2827525.05,1045,448.03,EQ
09-10-2023,447.65,451.5,432.05,447.45,442.0,502.7,297.25,12041,5345757.0,1483,443.96,EQ
10-10-2023,459.95,459.95,440.1,449.1,450.75,502.7,297.25,8328,3749538.7,1007,450.23,EQ
11-10-2023,442.1,459.45,442.1,448.15,448.55,502.7,297.25,5457,2463389.05,716,451.42,EQ
12-10-2023,448.15,448.15,435.0,443.2,443.5,502.7,297.25,8430,3724534.8,1123,441.82,EQ
13-10-2023,448.0,450.5,432.1,436.3,436.0,502.7,297.25,6362,2800222.25,699,440.15,EQ
16-10-2023,447.95,454.8,439.05,451.9,450.0,502.7,297.25,24042,10730924.1,924,446.34,EQ
17-10-2023,478.9,497.05,460.0,497.05,497.05,502.7,297.25,68588,33449104.4,2262,487.68,EQ
