DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
27-09-2023,444.0,474.0,444.0,458.55,456.55,474.0,444.0,14348612,6436481817.35,119262,448.58,EQ
28-09-2023,451.0,461.9,446.8,460.5,461.1,474.0,444.0,1175144,535020603.65,19171,455.28,EQ
29-09-2023,463.9,485.9,460.0,477.75,481.15,485.9,444.0,1322775,627902376.75,18852,474.69,EQ
03-10-2023,479.9,485.95,475.0,476.8,476.5,485.95,444.0,572238,272688749.5,9009,476.53,EQ
04-10-2023,476.5,479.0,454.1,468.85,471.0,485.95,444.0,847119,399192217.5,15236,471.24,EQ
05-10-2023,471.4,479.9,471.0,472.75,473.0,485.95,444.0,314151,148723295.45,4360,473.41,EQ
06-10-2023,474.75,503.45,471.05,483.7,484.0,503.45,444.0,2003596,963020786.75,14607,480.65,EQ
09-10-2023,479.0,492.7,472.65,482.15,482.1,503.45,444.0,498268,241089453.9,7372,483.85,EQ
10-10-2023,485.8,498.9,485.1,498.35,498.05,503.45,444.0,1576883,781771075.55,12777,495.77,EQ
11-10-2023,502.85,512.9,495.0,502.8,502.5,512.9,444.0,622685,314500226.85,13781,505.07,EQ
12-10-2023,493.25,514.0,493.25,500.3,502.0,514.0,444.0,546557,275787384.85,8534,504.59,EQ
13-10-2023,501.95,522.0,495.35,504.3,504.3,522.0,444.0,490543,250044281.95,10352,509.73,EQ
16-10-2023,511.75,513.4,507.1,510.1,509.5,522.0,444.0,344232,175294494.55,8333,509.23,EQ
17-10-2023,510.25,519.9,510.25,515.3,515.0,522.0,444.0,131025,67360695.05,3162,514.11,EQ
18-10-2023,517.2,519.75,511.0,511.1,511.0,522.0,444.0,168171,86156742.25,2696,512.32,EQ
19-10-2023,511.9,535.8,509.25,519.65,521.0,535.8,444.0,835126,430767153.1,9966,515.81,EQ
20-10-2023,516.1,560.0,516.1,550.3,550.0,560.0,444.0,685705,373218069.75,17993,544.28,EQ
23-10-2023,551.95,554.0,528.0,529.15,528.0,560.0,444.0,349100,186402302.55,8300,533.95,EQ
25-10-2023,533.0,543.0,528.0,530.8,530.0,560.0,444.0,211829,112563314.5,5598,531.39,EQ
26-10-2023,529.95,530.3,513.0,522.8,528.0,560.0,444.0,1142300,594104456.4,19897,520.09,EQ
27-10-2023,524.95,568.95,524.95,560.55,555.0,568.95,444.0,427530,237505201.0,13907,555.53,EQ
30-10-2023,559.7,568.45,559.0,565.05,565.0,568.95,444.0,421307,236816869.8,7158,562.1,EQ
31-10-2023,569.0,584.7,565.0,570.1,570.8,584.7,444.0,249073,142217364.95,5142,570.99,EQ
01-11-2023,574.0,583.0,572.6,579.0,579.8,584.7,444.0,228540,131832646.7,4169,576.85,EQ
02-11-2023,584.0,608.4,581.4,603.35,604.8,608.4,444.0,1134664,671764525.6,13005,592.04,EQ
03-11-2023,609.0,609.9,601.0,601.6,601.0,609.9,444.0,142756,86176471.8,5179,603.66,EQ
06-11-2023,607.0,627.0,605.7,618.65,619.0,627.0,444.0,272117,167932586.4,5498,617.13,EQ
07-11-2023,624.8,662.25,615.05,651.5,662.0,662.25,444.0,241947,153783554.3,11048,635.61,EQ
08-11-2023,663.0,682.95,657.0,663.55,665.0,682.95,444.0,297663,199239471.7,9520,669.35,EQ
09-11-2023,667.0,684.2,656.45,678.8,679.1,684.2,444.0,205244,137893872.35,7644,671.85,EQ
10-11-2023,671.2,683.45,658.0,680.35,680.0,684.2,444.0,336761,225134239.65,10174,668.53,EQ
12-11-2023,684.0,693.8,684.0,692.05,693.8,693.8,444.0,85143,58756407.05,1985,690.09,EQ
13-11-2023,699.0,707.0,692.2,705.05,707.0,707.0,444.0,134485,94308148.45,5809,701.25,EQ
15-11-2023,713.0,740.0,710.35,722.7,721.45,740.0,444.0,235891,170476981.0,10458,722.69,EQ
16-11-2023,727.45,738.0,716.05,721.85,726.45,740.0,444.0,214556,155566168.6,7636,725.06,EQ
17-11-2023,722.95,732.9,715.4,723.15,723.25,740.0,444.0,256464,185680784.25,8130,724.0,EQ
20-11-2023,723.0,730.0,703.55,727.95,729.0,740.0,444.0,175798,127500943.1,5987,725.27,EQ
21-11-2023,729.5,746.0,716.25,745.35,746.0,746.0,444.0,2010711,1465316861.6,18085,728.76,EQ
22-11-2023,752.0,770.9,735.1,743.9,744.0,770.9,444.0,459121,343854361.6,13419,748.94,EQ
23-11-2023,745.9,758.9,737.6,754.2,755.75,770.9,444.0,230652,173233291.1,7618,751.06,EQ
24-11-2023,755.0,757.9,747.5,749.7,751.4,770.9,444.0,203389,153013036.35,5062,752.32,EQ
28-11-2023,754.0,755.45,743.65,750.0,753.0,770.9,444.0,132304,99276214.7,3996,750.36,EQ
29-11-2023,751.0,763.0,750.0,756.55,758.0,770.9,444.0,209725,158979776.05,6834,758.04,EQ
30-11-2023,756.55,763.6,755.15,760.2,759.85,770.9,444.0,121384,92179887.65,3351,759.41,EQ
01-12-2023,760.2,788.95,760.2,779.3,780.4,788.95,444.0,198665,154770537.15,8468,779.05,EQ
04-12-2023,788.65,808.05,788.65,800.35,800.0,808.05,444.0,160897,128737681.05,7495,800.12,EQ
05-12-2023,805.0,808.9,787.1,797.75,803.0,808.9,444.0,582372,463812335.3,8422,796.42,EQ
06-12-2023,806.0,806.0,796.0,796.75,799.0,808.9,444.0,197270,157676473.3,3385,799.29,EQ
07-12-2023,799.65,803.0,790.0,793.1,790.0,808.9,444.0,242946,193751277.15,8795,797.51,EQ
08-12-2023,794.0,802.9,788.0,789.6,789.0,808.9,444.0,246690,195533142.85,4825,792.63,EQ
11-12-2023,784.0,800.9,784.0,795.4,798.0,808.9,444.0,94406,75224788.15,3063,796.82,EQ
12-12-2023,801.65,809.9,791.0,798.65,800.0,809.9,444.0,541956,431902958.8,4295,796.93,EQ
13-12-2023,802.65,804.6,795.5,800.85,801.9,809.9,444.0,70034,56023153.8,2098,799.94,EQ
14-12-2023,805.0,805.0,800.0,800.8,800.1,809.9,444.0,65939,52832101.3,1776,801.23,EQ
15-12-2023,806.0,816.6,790.7,796.65,795.2,816.6,444.0,698872,561314946.55,8190,803.17,EQ
18-12-2023,796.1,807.3,795.5,804.3,803.9,816.6,444.0,302208,241576174.05,5215,799.37,EQ
19-12-2023,796.3,819.0,796.3,813.85,813.55,819.0,444.0,315069,253578451.95,5422,804.83,EQ
20-12-2023,813.85,818.4,783.1,801.85,790.0,819.0,444.0,452996,364907091.8,10183,805.54,EQ
21-12-2023,790.6,811.0,775.0,808.95,809.7,819.0,444.0,165719,132126731.65,6452,797.29,EQ
22-12-2023,814.9,828.85,806.5,817.85,817.0,828.85,444.0,146112,119832322.25,6243,820.14,EQ
26-12-2023,821.95,822.95,810.05,820.5,822.6,828.85,444.0,500362,407965022.35,41264,815.34,EQ
27-12-2023,829.2,866.8,811.75,843.8,842.25,866.8,444.0,935436,775075026.7,22401,828.57,EQ
28-12-2023,845.0,859.0,838.2,851.95,852.0,866.8,444.0,301812,257353511.75,13758,852.69,EQ
29-12-2023,851.95,880.75,851.95,877.35,879.0,880.75,444.0,350737,305362300.75,12366,870.63,EQ
01-01-2024,879.65,945.0,877.4,918.55,920.0,945.0,444.0,493277,452871168.85,18612,918.09,EQ
02-01-2024,923.0,934.0,911.0,931.55,933.9,945.0,444.0,196884,182244911.85,12158,925.65,EQ
03-01-2024,931.55,959.8,921.05,950.95,957.7,959.8,444.0,552051,523365632.8,11052,948.04,EQ
04-01-2024,956.0,1048.0,956.0,1027.1,1031.0,1048.0,444.0,1928036,1919537202.3,32835,995.59,EQ
05-01-2024,1039.95,1066.4,1031.45,1055.5,1063.0,1066.4,444.0,613608,645348677.4,24199,1051.73,EQ
08-01-2024,1066.8,1098.0,1042.0,1087.9,1086.0,1098.0,444.0,512787,550604820.35,22113,1073.75,EQ
09-01-2024,1106.4,1124.0,1100.15,1121.7,1121.95,1124.0,444.0,329173,367968880.05,13996,1117.86,EQ
