DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-01-2007,100.2,139.4,100.2,120.45,121.85,139.4,100.2,8740685,1095499394.0,,125.33,EQ
11-01-2007,122.0,139.75,121.05,127.2,127.65,139.75,100.2,6078140,795131631.45,,130.82,EQ
12-01-2007,129.0,130.0,120.4,123.4,122.0,139.75,100.2,3983262,492218261.05,,123.57,EQ
15-01-2007,122.25,124.3,119.35,120.75,119.95,139.75,100.2,2427290,295209618.65,,121.62,EQ
16-01-2007,120.9,121.9,117.0,118.65,117.5,139.75,100.2,2496472,299529868.35,,119.98,EQ
17-01-2007,118.7,118.7,111.05,112.75,111.55,139.75,100.2,1331586,152612132.45,,114.61,EQ
18-01-2007,112.5,130.0,112.4,125.1,126.0,139.75,100.2,4661244,569723735.6,,122.23,EQ
19-01-2007,126.3,131.25,120.15,123.1,123.2,139.75,100.2,3900910,492447177.45,,126.24,EQ
22-01-2007,123.6,125.0,120.0,120.85,122.0,139.75,100.2,878776,106910711.8,,121.66,EQ
23-01-2007,120.5,128.8,120.5,125.05,125.2,139.75,100.2,1289726,161910521.15,,125.54,EQ
24-01-2007,126.25,126.75,120.65,121.9,122.65,139.75,100.2,602050,74633802.85,,123.97,EQ
25-01-2007,122.2,124.9,115.0,117.45,116.8,139.75,100.2,1880598,224896414.5,,119.59,EQ
29-01-2007,119.7,121.25,116.7,117.35,117.25,139.75,100.2,827991,98188051.05,,118.59,EQ
31-01-2007,117.8,126.45,114.0,123.05,122.4,139.75,100.2,2732569,332189613.2,,121.57,EQ
01-02-2007,123.35,127.4,118.3,119.5,119.0,139.75,100.2,1645436,203576255.7,,123.72,EQ
02-02-2007,120.4,121.2,115.1,115.8,115.75,139.75,100.2,1529863,179568469.35,,117.38,EQ
05-02-2007,116.4,119.35,114.0,114.25,114.1,139.75,100.2,848593,98092787.0,,115.59,EQ
06-02-2007,114.7,117.65,114.5,115.55,117.5,139.75,100.2,877676,101389762.9,,115.52,EQ
07-02-2007,116.15,118.5,114.9,116.9,116.5,139.75,100.2,1770906,206057478.75,,116.36,EQ
08-02-2007,117.3,121.85,114.9,120.4,121.0,139.75,100.2,2454817,290433087.25,,118.31,EQ
09-02-2007,121.8,121.8,114.75,116.05,116.0,139.75,100.2,1399515,163570383.2,,116.88,EQ
12-02-2007,115.1,118.0,112.15,115.65,117.25,139.75,100.2,1725547,197448667.95,,114.43,EQ
13-02-2007,113.05,123.8,113.05,114.55,115.15,139.75,100.2,2975687,356079244.3,,119.66,EQ
14-02-2007,114.0,114.4,109.0,109.65,110.0,139.75,100.2,981480,108618172.7,,110.67,EQ
15-02-2007,111.5,113.9,111.0,113.0,113.25,139.75,100.2,422428,47646829.95,,112.79,EQ
19-02-2007,113.55,117.8,113.0,115.35,115.4,139.75,100.2,722856,83560066.5,,115.6,EQ
20-02-2007,116.7,117.8,110.0,110.55,111.5,139.75,100.2,784906,88850845.35,,113.2,EQ
21-02-2007,110.5,112.65,110.0,111.45,112.0,139.75,100.2,929902,103661350.85,,111.48,EQ
22-02-2007,112.6,112.6,103.25,104.85,105.6,139.75,100.2,669860,72321263.75,,107.96,EQ
23-02-2007,105.45,108.9,104.5,107.1,108.0,139.75,100.2,808122,86361397.05,,106.87,EQ
26-02-2007,108.0,109.5,105.5,108.85,109.5,139.75,100.2,369356,39682779.9,,107.44,EQ
27-02-2007,110.0,110.25,107.5,109.55,109.85,139.75,100.2,283985,30896541.75,,108.8,EQ
28-02-2007,104.0,106.0,92.5,103.0,102.3,139.75,92.5,620981,63848496.0,,102.82,EQ
01-03-2007,102.05,104.7,98.3,99.95,99.9,139.75,92.5,507316,50889011.45,,100.31,EQ
02-03-2007,100.0,100.5,95.0,95.75,96.0,139.75,92.5,509101,49670596.75,,97.57,EQ
05-03-2007,94.0,94.0,85.25,86.8,86.5,139.75,85.25,571373,49801594.05,,87.16,EQ
06-03-2007,92.0,100.0,88.5,94.6,94.7,139.75,85.25,843335,77949589.5,,92.43,EQ
