DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
27-05-2015,175.0,178.0,170.15,172.15,172.0,178.0,170.15,3498,612664.85,93,175.15,EQ
28-05-2015,171.9,175.0,169.9,174.15,173.05,178.0,169.9,6636,1144020.0,116,172.4,EQ
29-05-2015,173.5,174.5,167.05,168.5,168.15,178.0,167.05,2723,463841.55,93,170.34,EQ
01-06-2015,168.0,173.0,165.0,170.65,171.0,178.0,165.0,8266,1407915.9,128,170.33,EQ
02-06-2015,174.2,174.2,167.5,169.85,168.5,178.0,165.0,5561,950901.6,119,170.99,EQ
03-06-2015,174.0,174.0,164.1,166.15,164.25,178.0,164.1,2448,407697.05,58,166.54,EQ
04-06-2015,166.0,172.9,165.0,168.9,166.65,178.0,164.1,4625,779835.8,55,168.61,EQ
05-06-2015,171.9,172.0,170.5,171.5,171.7,178.0,164.1,1294,222120.2,40,171.65,EQ
08-06-2015,167.0,169.95,165.0,165.45,165.0,178.0,164.1,1875,314817.1,40,167.9,EQ
09-06-2015,176.0,176.0,160.0,165.0,165.0,178.0,160.0,2036,341957.65,49,167.96,EQ
10-06-2015,167.0,169.8,150.0,159.5,158.0,178.0,150.0,20263,3239549.0,478,159.88,EQ
11-06-2015,163.0,164.8,153.1,156.8,159.9,178.0,150.0,6234,1004237.9,135,161.09,EQ
12-06-2015,153.5,161.9,150.1,154.2,152.5,178.0,150.0,2270,352060.6,27,155.09,EQ
15-06-2015,158.0,159.95,155.05,158.7,158.0,178.0,150.0,934,147709.75,34,158.15,EQ
16-06-2015,157.0,160.0,152.2,159.25,157.0,178.0,150.0,5985,950109.85,69,158.75,EQ
17-06-2015,159.0,159.95,156.25,158.5,158.0,178.0,150.0,1630,258502.2,33,158.59,EQ
18-06-2015,156.0,160.0,156.0,158.5,160.0,178.0,150.0,2030,324225.25,49,159.72,EQ
19-06-2015,155.0,160.0,152.65,158.8,157.4,178.0,150.0,2995,476290.05,93,159.03,EQ
22-06-2015,157.0,160.0,157.0,159.0,160.0,178.0,150.0,3377,534704.15,54,158.34,EQ
23-06-2015,157.0,161.8,157.0,159.05,160.8,178.0,150.0,4370,695785.85,48,159.22,EQ
24-06-2015,161.95,162.0,157.0,159.4,160.5,178.0,150.0,2905,463438.75,65,159.53,EQ
25-06-2015,155.15,162.0,155.0,159.65,159.0,178.0,150.0,1188,190237.5,43,160.13,EQ
26-06-2015,167.5,170.8,156.0,165.4,169.8,178.0,150.0,5773,944013.05,124,163.52,EQ
