DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
25-11-2021,95.0,110.0,89.9,102.7,102.0,110.0,89.9,147346,15208782.85,4420,103.22,EQ
26-11-2021,103.0,123.2,98.0,121.85,116.1,123.2,89.9,299118,35410741.5,5146,118.38,EQ
29-11-2021,121.85,127.0,98.5,101.2,102.0,127.0,89.9,109297,11956588.3,2964,109.4,EQ
30-11-2021,108.0,115.0,101.25,103.75,102.95,127.0,89.9,72500,7926600.6,2816,109.33,EQ
01-12-2021,105.0,109.0,100.5,102.75,102.0,127.0,89.9,20175,2100472.45,959,104.11,EQ
02-12-2021,102.7,103.95,92.8,100.25,99.05,127.0,89.9,44701,4384096.15,2039,98.08,EQ
03-12-2021,100.05,104.6,93.3,96.6,95.0,127.0,89.9,18495,1839652.95,870,99.47,EQ
06-12-2021,98.7,101.0,90.6,99.4,101.0,127.0,89.9,28117,2689547.3,903,95.66,EQ
07-12-2021,103.8,119.0,97.95,118.05,118.5,127.0,89.9,115217,13082196.1,1896,113.54,EQ
08-12-2021,121.1,141.0,121.1,134.7,133.05,141.0,89.9,525545,71751497.6,11494,136.53,EQ
09-12-2021,138.0,144.0,125.8,133.3,132.2,144.0,89.9,244084,33908490.65,7996,138.92,EQ
10-12-2021,133.5,134.7,123.3,126.45,127.85,144.0,89.9,66489,8530379.9,2252,128.3,EQ
13-12-2021,135.0,139.0,124.4,127.95,126.7,144.0,89.9,53993,6986872.7,1466,129.4,EQ
14-12-2021,127.95,127.95,117.3,122.25,122.05,144.0,89.9,37164,4572358.45,1207,123.03,EQ
15-12-2021,128.0,128.0,116.0,117.8,118.0,144.0,89.9,30070,3626422.3,1285,120.6,EQ
16-12-2021,121.0,121.0,108.0,109.4,109.65,144.0,89.9,33596,3739454.4,1140,111.31,EQ
17-12-2021,113.0,118.0,103.8,109.15,109.75,144.0,89.9,41430,4592402.85,1086,110.85,EQ
20-12-2021,109.15,109.15,101.0,102.0,102.0,144.0,89.9,23746,2457331.3,715,103.48,EQ
21-12-2021,100.7,112.2,98.55,112.2,112.2,144.0,89.9,38114,4235522.2,805,111.13,EQ
22-12-2021,117.9,123.4,116.85,123.4,123.4,144.0,89.9,44410,5439144.6,805,122.48,EQ
23-12-2021,129.9,132.8,117.5,120.2,119.9,144.0,89.9,64360,8040357.6,2032,124.93,EQ
24-12-2021,124.0,127.0,119.05,120.55,121.55,144.0,89.9,33497,4077353.8,1163,121.72,EQ
27-12-2021,119.0,120.85,112.95,116.35,115.1,144.0,89.9,18119,2131515.7,588,117.64,EQ
28-12-2021,116.35,120.95,115.0,115.6,116.5,144.0,89.9,15033,1757837.65,493,116.93,EQ
29-12-2021,119.7,119.7,112.25,115.55,115.55,144.0,89.9,27879,3230931.15,549,115.89,EQ
30-12-2021,113.6,123.0,113.0,120.9,121.0,144.0,89.9,22235,2648695.1,475,119.12,EQ
31-12-2021,118.5,122.75,115.7,116.95,115.7,144.0,89.9,18223,2167566.9,473,118.95,EQ
03-01-2022,125.0,125.0,118.5,121.5,121.9,144.0,89.9,32795,3998851.95,645,121.93,EQ
04-01-2022,124.0,124.85,118.5,119.45,120.0,144.0,89.9,18197,2206983.75,517,121.28,EQ
05-01-2022,124.0,124.0,116.3,117.9,117.55,144.0,89.9,16591,1979903.0,488,119.34,EQ
06-01-2022,122.0,122.0,116.3,118.4,118.55,144.0,89.9,14579,1724982.85,432,118.32,EQ
07-01-2022,120.8,120.8,113.2,115.95,116.0,144.0,89.9,19446,2278672.4,576,117.18,EQ
10-01-2022,112.8,120.0,112.0,117.75,116.65,144.0,89.9,25790,3041622.85,667,117.94,EQ
11-01-2022,120.0,120.1,115.25,117.65,118.0,144.0,89.9,17144,2022334.3,492,117.96,EQ
12-01-2022,117.6,118.3,112.0,115.1,115.5,144.0,89.9,19146,2214853.45,564,115.68,EQ
13-01-2022,115.1,121.0,112.8,117.8,115.5,144.0,89.9,20894,2416307.2,498,115.65,EQ
14-01-2022,119.0,119.0,114.8,115.9,116.2,144.0,89.9,5874,681857.9,225,116.08,EQ
17-01-2022,118.0,119.0,115.0,116.3,116.0,144.0,89.9,11100,1292299.4,335,116.42,EQ
18-01-2022,116.35,116.5,110.8,112.95,112.0,144.0,89.9,12574,1433029.15,368,113.97,EQ
19-01-2022,112.0,115.35,112.0,113.1,113.05,144.0,89.9,14671,1669557.6,246,113.8,EQ
20-01-2022,112.35,118.0,112.25,113.6,115.0,144.0,89.9,13914,1595760.25,307,114.69,EQ
21-01-2022,113.5,116.0,112.05,114.25,113.65,144.0,89.9,6761,775478.3,182,114.7,EQ
24-01-2022,112.0,116.4,104.15,108.65,108.0,144.0,89.9,11302,1229858.95,402,108.82,EQ
25-01-2022,110.75,111.5,105.85,108.7,107.05,144.0,89.9,4525,493662.2,184,109.1,EQ
27-01-2022,112.0,112.0,105.0,108.1,108.0,144.0,89.9,1522,164955.4,92,108.38,EQ
28-01-2022,109.55,114.9,108.9,111.3,112.0,144.0,89.9,7933,888592.1,320,112.01,EQ
31-01-2022,113.9,114.0,109.8,110.7,111.0,144.0,89.9,5566,621139.25,187,111.6,EQ
01-02-2022,113.8,113.8,108.05,110.55,110.0,144.0,89.9,6249,692541.25,160,110.82,EQ
02-02-2022,109.25,113.7,108.65,111.9,111.0,144.0,89.9,15888,1763910.65,303,111.02,EQ
03-02-2022,109.7,113.0,109.7,111.6,112.0,144.0,89.9,10332,1156655.95,205,111.95,EQ
04-02-2022,113.3,113.3,109.45,110.8,110.5,144.0,89.9,8446,938293.0,181,111.09,EQ
07-02-2022,110.8,113.0,109.5,110.35,110.3,144.0,89.9,13139,1458031.2,203,110.97,EQ
08-02-2022,108.15,111.75,107.05,108.15,107.8,144.0,89.9,9284,1011739.05,171,108.98,EQ
09-02-2022,106.0,111.0,106.0,110.75,111.0,144.0,89.9,8628,946932.1,220,109.75,EQ
10-02-2022,112.0,112.1,108.55,109.5,110.0,144.0,89.9,7052,780768.15,149,110.72,EQ
11-02-2022,109.5,127.4,105.0,121.2,120.0,144.0,89.9,124108,14778685.25,1960,119.08,EQ
14-02-2022,122.0,122.0,112.95,115.3,115.1,144.0,89.9,38051,4455383.9,1168,117.09,EQ
15-02-2022,117.5,117.5,110.9,114.25,113.4,144.0,89.9,12783,1462567.35,320,114.42,EQ
16-02-2022,119.3,120.25,109.0,114.35,115.3,144.0,89.9,26437,3068261.35,560,116.06,EQ
17-02-2022,113.2,115.55,112.15,112.95,113.1,144.0,89.9,6177,703586.2,223,113.9,EQ
18-02-2022,110.7,116.0,110.7,114.4,115.75,144.0,89.9,8078,925608.65,388,114.58,EQ
21-02-2022,112.95,117.0,109.0,109.8,109.0,144.0,89.9,14076,1563541.8,484,111.08,EQ
22-02-2022,110.45,110.8,99.95,100.8,100.5,144.0,89.9,26043,2669547.15,905,102.51,EQ
23-02-2022,98.55,107.4,97.55,102.65,102.0,144.0,89.9,7361,762524.95,234,103.59,EQ
24-02-2022,102.35,104.45,90.0,91.95,93.0,144.0,89.9,11103,1065460.1,326,95.96,EQ
25-02-2022,97.7,101.95,91.05,95.4,93.05,144.0,89.9,12363,1203594.85,306,97.35,EQ
28-02-2022,96.0,104.0,91.1,100.3,99.05,144.0,89.9,14292,1407400.5,360,98.47,EQ
02-03-2022,98.95,103.5,98.9,102.6,103.5,144.0,89.9,6217,631186.25,117,101.53,EQ
03-03-2022,113.8,113.8,101.55,103.45,101.55,144.0,89.9,9439,1006075.6,271,106.59,EQ
04-03-2022,105.55,109.75,102.1,105.2,105.1,144.0,89.9,9989,1054259.35,321,105.54,EQ
07-03-2022,97.0,105.2,97.0,99.7,97.6,144.0,89.9,10894,1119841.85,309,102.79,EQ
08-03-2022,98.6,104.15,96.0,98.0,97.1,144.0,89.9,14568,1472011.9,619,101.04,EQ
09-03-2022,106.9,106.9,99.05,100.1,99.45,144.0,89.9,10301,1037508.6,469,100.72,EQ
10-03-2022,102.75,104.0,100.1,102.45,102.0,144.0,89.9,9477,968567.15,489,102.2,EQ
11-03-2022,100.9,104.9,99.65,101.45,100.4,144.0,89.9,17381,1770748.9,452,101.88,EQ
