DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
10-01-2017,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7500,3750.0,5,0.5,BE
11-01-2017,0.55,0.55,0.55,0.55,0.55,0.55,0.5,1689,928.95,6,0.55,BE
12-01-2017,0.6,0.6,0.6,0.6,0.6,0.6,0.5,58,34.8,2,0.6,BE
13-01-2017,0.65,0.65,0.65,0.65,0.65,0.65,0.5,700,455.0,2,0.65,BE
16-01-2017,0.7,0.7,0.7,0.7,0.7,0.7,0.5,244,170.8,3,0.7,BE
17-01-2017,0.75,0.75,0.75,0.75,0.75,0.75,0.5,100,75.0,1,0.75,BE
18-01-2017,0.8,0.8,0.8,0.8,0.8,0.8,0.5,71,56.8,1,0.8,BE
19-01-2017,0.85,0.85,0.85,0.85,0.85,0.85,0.5,1151,978.35,2,0.85,BE
20-01-2017,0.9,0.9,0.9,0.9,0.9,0.9,0.5,15723,14150.7,19,0.9,BE
23-01-2017,0.95,0.95,0.95,0.95,0.95,0.95,0.5,1000,950.0,2,0.95,BE
24-01-2017,1.0,1.0,1.0,1.0,1.0,1.0,0.5,50700,50700.0,17,1.0,EQ
25-01-2017,1.1,1.1,1.1,1.1,1.1,1.1,0.5,54514,59965.4,17,1.1,EQ
27-01-2017,1.2,1.2,1.2,1.2,1.2,1.2,0.5,720,864.0,3,1.2,EQ
30-01-2017,1.25,1.25,1.25,1.25,1.25,1.25,0.5,284052,355065.0,94,1.25,EQ
31-01-2017,1.3,1.3,1.3,1.3,1.3,1.3,0.5,1620,2106.0,5,1.3,EQ
01-02-2017,1.35,1.35,1.35,1.35,1.35,1.35,0.5,5000,6750.0,1,1.35,EQ
02-02-2017,1.4,1.4,1.4,1.4,1.4,1.4,0.5,2875,4025.0,5,1.4,EQ
03-02-2017,1.45,1.45,1.45,1.45,1.45,1.45,0.5,27166,39390.7,12,1.45,EQ
06-02-2017,1.5,1.5,1.5,1.5,1.5,1.5,0.5,341030,511545.0,109,1.5,EQ
07-02-2017,1.55,1.55,1.55,1.55,1.55,1.55,0.5,5700,8835.0,3,1.55,EQ
08-02-2017,1.6,1.6,1.6,1.6,1.6,1.6,0.5,1198,1916.8,6,1.6,EQ
09-02-2017,1.65,1.65,1.65,1.65,1.65,1.65,0.5,746,1230.9,5,1.65,EQ
10-02-2017,1.7,1.7,1.7,1.7,1.7,1.7,0.5,4235,7199.5,8,1.7,EQ
13-02-2017,1.75,1.75,1.65,1.75,1.75,1.75,0.5,114626,196371.35,100,1.71,EQ
14-02-2017,1.8,1.8,1.8,1.8,1.8,1.8,0.5,60053,108095.4,19,1.8,EQ
15-02-2017,1.85,1.85,1.85,1.85,1.85,1.85,0.5,18130,33540.5,8,1.85,EQ
16-02-2017,1.9,1.9,1.8,1.8,1.8,1.9,0.5,175949,325205.85,96,1.85,EQ
17-02-2017,1.75,1.75,1.75,1.75,1.75,1.9,0.5,24221,42386.75,12,1.75,EQ
20-02-2017,1.7,1.7,1.7,1.7,1.7,1.9,0.5,8007,13611.9,5,1.7,EQ
21-02-2017,1.65,1.65,1.65,1.65,1.65,1.9,0.5,1070,1765.5,3,1.65,EQ
22-02-2017,1.6,1.6,1.6,1.6,1.6,1.9,0.5,19151,30641.6,6,1.6,EQ
23-02-2017,1.55,1.55,1.55,1.55,1.55,1.9,0.5,16346,25336.3,7,1.55,EQ
27-02-2017,1.5,1.5,1.5,1.5,1.5,1.9,0.5,491,736.5,4,1.5,EQ
28-02-2017,1.45,1.45,1.45,1.45,1.45,1.9,0.5,290,420.5,3,1.45,EQ
01-03-2017,1.5,1.5,1.4,1.4,1.4,1.9,0.5,161000,240800.2,27,1.5,EQ
02-03-2017,1.35,1.35,1.35,1.35,1.35,1.9,0.5,5090,6871.5,5,1.35,EQ
03-03-2017,1.3,1.3,1.3,1.3,1.3,1.9,0.5,16358,21265.4,7,1.3,EQ
06-03-2017,1.25,1.25,1.25,1.25,1.25,1.9,0.5,10600,13250.0,5,1.25,EQ
07-03-2017,1.2,1.3,1.2,1.2,1.2,1.9,0.5,18892,22670.55,23,1.2,EQ
08-03-2017,1.15,1.25,1.15,1.15,1.15,1.9,0.5,13430,15594.5,17,1.16,EQ
09-03-2017,1.1,1.1,1.1,1.1,1.1,1.9,0.5,15200,16720.0,10,1.1,EQ
10-03-2017,1.05,1.05,1.05,1.05,1.05,1.9,0.5,7651,8033.55,23,1.05,EQ
14-03-2017,1.05,1.05,1.0,1.0,1.0,1.9,0.5,20232,20287.1,23,1.0,EQ
15-03-2017,0.95,0.95,0.95,0.95,0.95,1.9,0.5,5301,5035.95,10,0.95,EQ
16-03-2017,0.9,0.9,0.9,0.9,0.9,1.9,0.5,1234,1110.6,7,0.9,EQ
17-03-2017,0.85,0.95,0.85,0.85,0.85,1.9,0.5,13823,12024.9,33,0.87,EQ
20-03-2017,0.9,0.9,0.8,0.8,0.8,1.9,0.5,83776,67148.35,28,0.8,EQ
21-03-2017,0.85,0.85,0.8,0.85,0.85,1.9,0.5,17741,15069.85,32,0.85,EQ
22-03-2017,0.9,0.9,0.8,0.85,0.85,1.9,0.5,40585,33767.25,22,0.83,EQ
23-03-2017,0.85,0.9,0.8,0.8,0.9,1.9,0.5,6576,5388.4,24,0.82,EQ
24-03-2017,0.75,0.85,0.75,0.75,0.75,1.9,0.5,42807,32867.95,29,0.77,EQ
27-03-2017,0.7,0.75,0.7,0.75,0.75,1.9,0.5,28380,20303.4,24,0.72,EQ
28-03-2017,0.75,0.75,0.7,0.7,0.7,1.9,0.5,12182,9036.8,22,0.74,EQ
29-03-2017,0.65,0.75,0.65,0.7,0.7,1.9,0.5,46202,30652.1,25,0.66,EQ
30-03-2017,0.75,0.75,0.65,0.65,0.65,1.9,0.5,18708,12246.15,28,0.65,EQ
31-03-2017,0.6,0.7,0.6,0.65,0.6,1.9,0.5,43269,26957.95,59,0.62,EQ
03-04-2017,0.65,0.7,0.6,0.7,0.7,1.9,0.5,9907,6469.2,10,0.65,EQ
05-04-2017,0.75,0.75,0.65,0.75,0.75,1.9,0.5,37678,26629.65,44,0.71,EQ
06-04-2017,0.75,0.75,0.7,0.7,0.75,1.9,0.5,43873,32233.85,24,0.73,EQ
07-04-2017,0.65,0.75,0.65,0.7,0.65,1.9,0.5,122221,82673.75,34,0.68,EQ
10-04-2017,0.65,0.75,0.65,0.65,0.65,1.9,0.5,78139,52170.35,34,0.67,EQ
11-04-2017,0.65,0.7,0.65,0.7,0.7,1.9,0.5,20492,13829.45,9,0.67,EQ
