DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-10-2024,112.0,115.0,108.03,110.39,108.76,115,108.03,145611,16456544.07,1979,113.02,EQ
10-10-2024,112.99,114.89,105.0,111.96,110.28,115,105.0,265396,29806491.05,2739,112.31,EQ
11-10-2024,112.88,112.88,106.35,108.5,108.5,115,105.0,97588,10664537.56,1426,109.28,EQ
14-10-2024,109.45,109.5,106.1,107.74,109.2,115,105.0,78237,8472827.43,1648,108.3,EQ
15-10-2024,109.45,109.5,105.4,105.92,106.05,115,105.0,117628,12669650.16,1770,107.71,EQ
16-10-2024,107.5,107.98,103.0,104.68,103.8,115,103.0,175297,18664777.42,2978,106.48,EQ
17-10-2024,106.0,107.0,100.01,102.48,103.6,115,100.01,167943,17513040.13,3413,104.28,EQ
18-10-2024,104.03,104.03,100.1,101.48,100.1,115,100.01,200691,20415011.7,3168,101.72,EQ
21-10-2024,102.01,103.08,98.86,100.88,100.0,115,98.86,169133,17209741.27,2891,101.75,EQ
22-10-2024,100.21,102.3,96.0,98.7,97.46,115,96.0,239730,23915003.71,4669,99.76,EQ
23-10-2024,98.11,102.01,95.12,97.95,100.0,115,95.12,206332,20256053.9,3447,98.17,EQ
24-10-2024,97.25,101.9,96.12,100.77,100.0,115,95.12,405112,40503247.2,5698,99.98,EQ
25-10-2024,102.0,102.0,96.0,97.69,97.0,115,95.12,315757,31407864.98,5855,99.47,EQ
28-10-2024,99.81,99.81,93.0,94.3,94.8,115,93.0,187853,18077333.94,6159,96.23,EQ
29-10-2024,96.0,96.0,75.44,75.44,75.44,115,75.44,821182,65879944.68,14151,80.23,EQ
30-10-2024,66.0,69.39,61.0,63.67,63.19,115,61.0,1905013,122618293.43,22478,64.37,EQ
31-10-2024,64.25,69.4,63.7,64.81,65.49,115,61.0,1069021,70688219.12,9911,66.12,EQ
