DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-05-2007,28.0,29.35,20.55,23.8,23.75,29.35,20.55,116669,3250873.8,,27.86,EQ
09-05-2007,24.05,24.4,21.75,22.2,22.5,29.35,20.55,22341,516601.65,,23.12,EQ
10-05-2007,22.2,23.5,20.5,20.85,20.95,29.35,20.5,16791,353932.6,,21.08,EQ
11-05-2007,17.0,20.8,17.0,19.7,19.85,29.35,17.0,9024,179683.6,,19.91,EQ
14-05-2007,16.65,20.75,16.65,19.1,19.05,29.35,16.65,5018,98034.3,,19.54,EQ
15-05-2007,18.3,22.95,18.3,22.95,22.95,29.35,16.65,27529,602761.0,,21.9,EQ
16-05-2007,24.5,27.55,24.0,26.4,26.25,29.35,16.65,148774,4023983.0,,27.05,EQ
17-05-2007,26.7,26.95,24.1,24.55,24.5,29.35,16.65,33924,848913.4,,25.02,EQ
18-05-2007,25.0,25.2,22.6,22.9,22.6,29.35,16.65,13631,317322.1,,23.28,EQ
21-05-2007,22.5,25.7,22.5,23.05,23.0,29.35,16.65,12539,302200.25,,24.1,EQ
22-05-2007,24.5,24.5,22.35,23.0,23.0,29.35,16.65,9380,217276.25,,23.16,EQ
23-05-2007,23.0,24.4,23.0,23.0,23.0,29.35,16.65,6457,148776.8,,23.04,EQ
24-05-2007,22.55,23.75,22.55,23.7,23.7,29.35,16.65,4003,92339.25,,23.07,EQ
25-05-2007,22.6,23.45,22.1,22.65,22.7,29.35,16.65,1386,31335.35,,22.61,EQ
28-05-2007,22.8,25.0,22.4,22.7,22.7,29.35,16.65,4824,110939.0,,23.0,EQ
29-05-2007,25.45,25.45,22.05,22.5,23.15,29.35,16.65,1663,37891.55,,22.79,EQ
30-05-2007,20.1,25.3,20.1,22.9,22.5,29.35,16.65,5045,113355.65,,22.47,EQ
31-05-2007,21.75,23.35,21.45,21.45,22.05,29.35,16.65,862,18927.85,,21.96,EQ
01-06-2007,22.15,22.15,20.6,21.05,21.05,29.35,16.65,3923,83442.7,,21.27,EQ
04-06-2007,21.1,23.65,21.0,21.05,22.0,29.35,16.65,1833,38934.75,,21.24,EQ
05-06-2007,21.0,23.45,21.0,22.2,22.2,29.35,16.65,1311,28289.45,,21.58,EQ
06-06-2007,21.5,22.2,21.15,21.25,21.25,29.35,16.65,4177,89579.3,,21.45,EQ
07-06-2007,20.0,22.0,19.9,20.65,22.0,29.35,16.65,1942,40673.4,,20.94,EQ
08-06-2007,22.0,22.0,20.0,21.05,21.05,29.35,16.65,4726,99491.2,,21.05,EQ
11-06-2007,21.5,21.5,20.5,20.6,20.6,29.35,16.65,642,13330.45,,20.76,EQ
12-06-2007,21.5,21.5,19.35,20.95,21.0,29.35,16.65,5016,104871.9,,20.91,EQ
13-06-2007,21.5,23.4,19.65,20.5,20.5,29.35,16.65,1252,25697.3,,20.53,EQ
14-06-2007,19.65,22.6,19.3,20.1,20.7,29.35,16.65,1216,24302.4,,19.99,EQ
15-06-2007,20.0,21.65,20.0,20.05,20.0,29.35,16.65,4111,83638.6,,20.35,EQ
18-06-2007,19.25,20.95,19.25,20.0,20.0,29.35,16.65,850,17182.0,,20.21,EQ
19-06-2007,20.0,21.25,19.2,20.45,20.45,29.35,16.65,283,5783.6,,20.44,EQ
20-06-2007,20.45,20.9,20.0,20.1,20.35,29.35,16.65,3924,79074.3,,20.15,EQ
21-06-2007,20.0,20.35,19.75,20.05,19.75,29.35,16.65,1067,21360.35,,20.02,EQ
22-06-2007,20.15,20.25,19.75,20.25,20.25,29.35,16.65,2000,40006.15,,20.0,EQ
25-06-2007,19.5,21.2,19.5,20.5,20.5,29.35,16.65,3579,73330.7,,20.49,EQ
26-06-2007,20.1,20.1,19.45,19.55,19.55,29.35,16.65,2407,48275.15,,20.06,EQ
27-06-2007,20.85,20.85,19.75,19.75,19.75,29.35,16.65,4812,95538.7,,19.85,EQ
28-06-2007,19.75,20.5,19.5,20.15,20.2,29.35,16.65,3544,70537.15,,19.9,EQ
29-06-2007,20.5,20.5,19.9,20.0,19.9,29.35,16.65,7492,150018.0,,20.02,EQ
02-07-2007,20.45,20.5,19.6,20.05,20.05,29.35,16.65,3455,70219.0,,20.32,EQ
03-07-2007,16.05,20.45,16.05,20.0,20.0,29.35,16.05,5710,112970.1,,19.78,EQ
04-07-2007,19.9,20.15,18.5,19.5,19.6,29.35,16.05,3916,75881.65,,19.38,EQ
05-07-2007,19.7,19.75,18.35,18.5,18.35,29.35,16.05,4572,87255.95,,19.08,EQ
06-07-2007,16.55,19.7,16.55,19.1,19.1,29.35,16.05,1494,28158.75,,18.85,EQ
09-07-2007,18.5,18.5,18.2,18.25,18.5,29.35,16.05,4421,80649.0,,18.24,EQ
10-07-2007,18.0,18.5,18.0,18.5,18.5,29.35,16.05,1478,27155.5,,18.37,EQ
11-07-2007,16.8,18.2,16.8,18.2,18.2,29.35,16.05,997,18022.9,,18.08,EQ
12-07-2007,20.0,21.85,16.1,18.25,18.5,29.35,16.05,5849,109140.9,,18.66,EQ
13-07-2007,18.05,18.05,17.55,17.85,17.55,29.35,16.05,11784,211704.4,,17.97,EQ
16-07-2007,20.75,20.75,17.15,18.1,18.1,29.35,16.05,2979,58677.6,,19.7,EQ
17-07-2007,15.65,19.65,15.65,17.65,17.6,29.35,15.65,1215,21382.05,,17.6,EQ
18-07-2007,17.8,18.1,17.8,18.0,18.1,29.35,15.65,398,7137.35,,17.93,EQ
19-07-2007,20.45,20.45,18.1,18.15,18.1,29.35,15.65,713,13458.95,,18.88,EQ
