DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-06-2017,124.0,130.2,118.55,130.2,130.2,130.2,118.55,1192669,152270516.05,694,127.67,BE
19-06-2017,128.8,130.0,123.7,127.5,128.0,130.2,118.55,123460,15637076.55,357,126.66,BE
20-06-2017,128.0,129.0,122.0,123.0,123.0,130.2,118.55,41765,5204910.7,144,124.62,BE
21-06-2017,122.0,127.0,117.05,121.35,121.5,130.2,117.05,51339,6266762.55,193,122.07,BE
22-06-2017,122.7,126.4,119.1,119.95,120.0,130.2,117.05,195774,24007070.75,208,122.63,BE
23-06-2017,120.0,124.9,114.1,117.45,119.9,130.2,114.1,47980,5619811.65,144,117.13,BE
27-06-2017,120.7,120.7,111.6,111.7,111.95,130.2,111.6,39295,4403781.75,170,112.07,BE
28-06-2017,106.75,116.8,106.15,114.25,111.8,130.2,106.15,51350,5671239.35,208,110.44,BE
29-06-2017,115.0,119.95,110.25,119.75,119.95,130.2,106.15,94613,11268919.75,304,119.11,BE
30-06-2017,123.7,124.0,115.1,119.45,124.0,130.2,106.15,11927,1414882.8,100,118.63,BE
03-07-2017,119.0,125.5,118.0,120.45,119.65,130.2,106.15,38549,4645074.45,320,120.5,EQ
04-07-2017,119.5,121.35,117.0,119.4,120.25,130.2,106.15,166542,19907894.95,657,119.54,EQ
05-07-2017,121.75,124.4,119.0,121.5,122.5,130.2,106.15,321381,38699651.4,852,120.42,EQ
06-07-2017,121.95,129.15,121.0,122.65,123.0,130.2,106.15,288149,36009277.15,1404,124.97,EQ
07-07-2017,121.0,125.95,120.65,125.35,125.55,130.2,106.15,92378,11523683.05,545,124.74,EQ
10-07-2017,128.0,128.0,123.0,127.15,128.0,130.2,106.15,80251,10204085.5,166,127.15,EQ
11-07-2017,124.75,126.0,123.2,125.0,125.0,130.2,106.15,107656,13430099.1,360,124.75,EQ
12-07-2017,124.15,125.0,120.05,121.0,120.1,130.2,106.15,102386,12552101.55,774,122.6,EQ
13-07-2017,123.95,129.9,120.05,129.3,129.0,130.2,106.15,201068,25612953.0,1168,127.38,EQ
14-07-2017,128.35,128.35,122.9,127.8,128.3,130.2,106.15,51172,6454937.2,517,126.14,EQ
17-07-2017,128.0,128.0,124.2,126.25,126.0,130.2,106.15,43658,5518179.0,540,126.4,EQ
18-07-2017,125.0,129.8,124.15,125.4,126.0,130.2,106.15,64981,8249188.9,517,126.95,EQ
19-07-2017,125.0,127.9,124.4,127.0,127.0,130.2,106.15,80466,10189682.3,811,126.63,EQ
20-07-2017,126.65,128.0,125.0,127.15,127.0,130.2,106.15,192194,24221419.4,623,126.03,EQ
21-07-2017,129.0,132.8,125.3,126.95,127.0,132.8,106.15,79220,10174472.8,721,128.43,EQ
24-07-2017,126.0,127.95,126.0,126.75,127.5,132.8,106.15,87403,11103748.2,483,127.04,EQ
25-07-2017,128.0,128.0,125.2,127.25,127.9,132.8,106.15,244883,31004404.2,388,126.61,EQ
26-07-2017,126.0,127.9,124.0,127.05,127.25,132.8,106.15,82506,10457039.05,271,126.74,EQ
27-07-2017,125.2,127.9,124.0,124.55,124.0,132.8,106.15,79226,10016048.85,382,126.42,EQ
28-07-2017,122.15,125.8,122.15,125.0,125.5,132.8,106.15,28961,3601117.4,276,124.34,EQ
31-07-2017,123.0,128.5,123.0,127.05,127.0,132.8,106.15,92025,11585791.85,333,125.9,EQ
01-08-2017,126.55,129.8,126.5,127.1,127.1,132.8,106.15,58031,7386506.55,216,127.29,EQ
02-08-2017,128.0,130.0,126.5,128.15,128.0,132.8,106.15,183404,23389308.9,454,127.53,EQ
03-08-2017,128.0,135.0,127.25,128.6,127.25,135.0,106.15,956200,126690877.05,6498,132.49,EQ
04-08-2017,130.0,132.0,125.7,129.5,128.2,135.0,106.15,280043,36238762.95,2279,129.4,EQ
07-08-2017,129.05,129.15,127.3,128.0,128.0,135.0,106.15,71665,9180945.15,320,128.11,EQ
08-08-2017,126.65,128.0,121.25,124.0,124.0,135.0,106.15,188172,23189133.1,2619,123.23,EQ
09-08-2017,122.1,123.45,120.05,122.95,123.4,135.0,106.15,65133,7952500.95,499,122.1,EQ
10-08-2017,121.45,124.0,120.05,121.2,122.85,135.0,106.15,87457,10697300.55,448,122.31,EQ
11-08-2017,119.05,120.0,116.5,117.15,116.5,135.0,106.15,40121,4738250.4,302,118.1,EQ
14-08-2017,118.05,122.0,114.9,116.65,116.0,135.0,106.15,62905,7384174.15,1438,117.39,EQ
16-08-2017,118.05,118.05,112.25,114.55,114.15,135.0,106.15,93120,10619387.7,957,114.04,EQ
17-08-2017,116.85,117.0,112.65,114.0,113.8,135.0,106.15,37651,4340392.8,1247,115.28,EQ
18-08-2017,115.0,116.95,112.7,116.05,115.0,135.0,106.15,36625,4196682.65,263,114.59,EQ
21-08-2017,116.05,118.15,110.25,111.45,111.0,135.0,106.15,41212,4645608.25,363,112.72,EQ
22-08-2017,114.5,114.5,109.5,110.55,111.0,135.0,106.15,245411,27177820.3,652,110.74,EQ
23-08-2017,109.75,114.5,109.25,110.4,109.75,135.0,106.15,94778,10542009.25,322,111.23,EQ
24-08-2017,111.95,113.3,110.0,110.7,110.55,135.0,106.15,27924,3107739.55,324,111.29,EQ
28-08-2017,110.0,112.2,109.4,110.35,110.35,135.0,106.15,41674,4621328.95,454,110.89,EQ
29-08-2017,110.05,111.9,107.0,108.6,110.6,135.0,106.15,98923,10809993.95,1011,109.28,EQ
30-08-2017,110.85,111.2,109.0,110.1,109.5,135.0,106.15,41197,4524675.25,315,109.83,EQ
31-08-2017,110.7,112.3,109.3,111.15,111.7,135.0,106.15,54928,6080920.75,546,110.71,EQ
01-09-2017,111.85,115.95,110.6,113.95,114.0,135.0,106.15,51830,5921368.2,383,114.25,EQ
04-09-2017,115.0,115.0,108.1,108.55,108.85,135.0,106.15,49897,5478048.95,519,109.79,EQ
05-09-2017,110.7,116.25,110.0,115.85,115.2,135.0,106.15,102790,11754471.85,881,114.35,EQ
06-09-2017,116.0,116.2,113.0,113.7,113.15,135.0,106.15,45832,5259169.45,452,114.75,EQ
