DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-11-2021,312.45,312.5,299.9,300.3,300.0,312.5,299.9,1396,419035.25,124,300.17,EQ
24-11-2021,310.0,310.0,299.95,300.0,300.0,312.5,299.9,3417,1029303.8,81,301.23,EQ
25-11-2021,309.0,309.0,295.0,299.5,300.0,312.5,295.0,3112,934058.7,72,300.15,EQ
26-11-2021,290.25,300.85,278.05,288.3,288.3,312.5,278.05,1605,463091.4,171,288.53,EQ
29-11-2021,280.05,298.35,269.95,278.5,277.5,312.5,269.95,1730,481983.55,81,278.6,EQ
30-11-2021,278.45,298.0,259.9,293.7,298.0,312.5,259.9,2996,827542.7,171,276.22,EQ
01-12-2021,300.0,316.85,296.15,312.6,315.0,316.85,259.9,43167,13292977.0,796,307.94,EQ
02-12-2021,329.9,329.9,305.0,306.7,305.15,329.9,259.9,5926,1834348.55,215,309.54,EQ
03-12-2021,314.95,314.95,292.05,294.7,295.05,329.9,259.9,2418,720925.25,81,298.15,EQ
06-12-2021,306.65,308.0,295.15,296.8,297.2,329.9,259.9,9355,2805861.0,314,299.93,EQ
07-12-2021,297.2,305.0,292.5,295.3,299.85,329.9,259.9,4041,1205869.65,243,298.41,EQ
08-12-2021,305.0,317.25,295.05,308.6,308.0,329.9,259.9,26308,8110308.9,450,308.28,EQ
09-12-2021,309.0,314.05,300.0,301.0,300.0,329.9,259.9,2998,908294.35,83,302.97,EQ
10-12-2021,305.0,315.0,300.25,310.85,311.0,329.9,259.9,6748,2083952.25,213,308.83,EQ
13-12-2021,320.0,320.0,301.15,312.95,318.6,329.9,259.9,4745,1477235.25,144,311.32,EQ
14-12-2021,312.5,315.0,303.3,314.85,314.8,329.9,259.9,651,201868.65,48,310.09,EQ
15-12-2021,291.05,319.95,291.05,309.6,315.0,329.9,259.9,4280,1342852.75,144,313.75,EQ
16-12-2021,305.15,314.5,300.0,302.7,300.15,329.9,259.9,1467,446283.35,78,304.21,EQ
17-12-2021,318.35,318.35,288.9,302.15,290.05,329.9,259.9,3952,1200134.1,158,303.68,EQ
20-12-2021,329.0,329.0,292.15,293.4,298.0,329.9,259.9,2964,899442.2,147,303.46,EQ
21-12-2021,310.0,316.3,296.6,298.45,296.8,329.9,259.9,4028,1236437.7,165,306.96,EQ
22-12-2021,309.0,309.0,297.0,300.4,297.0,329.9,259.9,2518,758494.75,122,301.23,EQ
23-12-2021,308.5,308.5,283.0,290.25,290.0,329.9,259.9,1877,557983.7,140,297.27,EQ
24-12-2021,292.9,299.85,290.3,293.4,295.95,329.9,259.9,1420,418996.7,91,295.07,EQ
27-12-2021,293.95,301.2,290.15,294.25,293.7,329.9,259.9,2303,684758.3,122,297.33,EQ
28-12-2021,296.85,304.0,293.8,299.75,300.0,329.9,259.9,1060,317003.9,67,299.06,EQ
29-12-2021,303.25,304.3,293.0,299.05,299.95,329.9,259.9,1625,480054.35,53,295.42,EQ
30-12-2021,299.45,305.75,290.0,292.4,294.95,329.9,259.9,2143,631739.85,157,294.79,EQ
31-12-2021,297.2,298.75,293.0,294.95,294.95,329.9,259.9,1304,384689.95,95,295.01,EQ
03-01-2022,294.5,299.95,292.8,296.3,296.95,329.9,259.9,4344,1288626.0,139,296.65,EQ
04-01-2022,301.0,301.0,285.5,290.75,292.0,329.9,259.9,4987,1452495.85,170,291.26,EQ
05-01-2022,293.0,296.95,281.45,284.7,289.0,329.9,259.9,2105,610045.55,235,289.81,EQ
06-01-2022,287.05,289.95,280.0,285.35,285.0,329.9,259.9,8242,2348119.1,228,284.9,EQ
07-01-2022,285.95,289.85,282.5,284.55,286.0,329.9,259.9,1132,322978.25,86,285.32,EQ
10-01-2022,283.2,291.95,282.15,290.7,291.9,329.9,259.9,4289,1226462.9,125,285.96,EQ
11-01-2022,285.25,303.0,285.2,298.65,295.15,329.9,259.9,5488,1623565.5,514,295.84,EQ
12-01-2022,305.0,305.0,293.0,294.9,294.0,329.9,259.9,1554,461742.7,96,297.13,EQ
13-01-2022,285.0,299.25,283.6,291.4,286.25,329.9,259.9,2835,827215.2,108,291.79,EQ
14-01-2022,300.0,331.05,287.9,322.4,321.0,331.05,259.9,59312,18937258.95,1876,319.28,EQ
17-01-2022,330.0,336.0,322.5,327.85,328.9,336.0,259.9,37260,12274207.15,1024,329.42,EQ
18-01-2022,330.0,330.2,316.1,316.5,316.1,336.0,259.9,12094,3938385.25,526,325.65,EQ
19-01-2022,313.6,328.35,310.0,316.0,316.95,336.0,259.9,741,234681.5,75,316.71,EQ
20-01-2022,311.0,322.4,310.0,311.55,311.95,336.0,259.9,2151,681417.05,167,316.79,EQ
21-01-2022,299.75,308.4,295.0,304.4,299.35,336.0,259.9,3587,1090037.25,242,303.89,EQ
24-01-2022,299.05,302.35,280.1,289.8,284.65,336.0,259.9,2228,647568.8,187,290.65,EQ
25-01-2022,288.95,312.0,277.4,283.4,280.1,336.0,259.9,1911,543617.3,93,284.47,EQ
27-01-2022,279.0,324.8,275.05,300.6,302.0,336.0,259.9,2452,728394.4,343,297.06,EQ
28-01-2022,309.05,341.05,298.0,314.5,309.0,341.05,259.9,63161,20157372.2,1771,319.14,EQ
31-01-2022,312.8,314.0,303.35,310.25,314.0,341.05,259.9,11670,3613454.7,619,309.64,EQ
01-02-2022,305.95,313.65,300.35,309.35,313.65,341.05,259.9,5601,1729532.65,190,308.79,EQ
02-02-2022,315.45,315.45,305.05,310.4,314.0,341.05,259.9,1256,389838.65,66,310.38,EQ
03-02-2022,308.0,315.0,303.0,304.2,303.0,341.05,259.9,2656,821319.4,218,309.23,EQ
04-02-2022,307.9,311.8,300.0,301.0,302.35,341.05,259.9,6395,1951159.95,383,305.11,EQ
07-02-2022,303.45,307.15,293.0,299.0,300.0,341.05,259.9,4715,1404445.85,557,297.87,EQ
08-02-2022,289.3,307.05,289.3,303.15,302.85,341.05,259.9,2066,617830.2,221,299.05,EQ
09-02-2022,302.4,315.0,290.2,298.05,298.0,341.05,259.9,2009,600314.1,126,298.81,EQ
10-02-2022,294.4,314.9,291.0,296.15,291.0,341.05,259.9,6893,2104613.2,757,305.33,EQ
11-02-2022,296.9,304.0,291.95,295.4,295.05,341.05,259.9,912,270577.05,84,296.69,EQ
14-02-2022,291.5,304.05,268.85,277.35,289.95,341.05,259.9,2110,609151.3,152,288.7,EQ
15-02-2022,276.2,289.9,276.15,280.15,280.0,341.05,259.9,3045,850680.1,135,279.37,EQ
16-02-2022,286.05,303.85,282.9,285.75,282.9,341.05,259.9,999,290098.05,44,290.39,EQ
17-02-2022,285.0,293.9,280.95,289.15,290.0,341.05,259.9,1367,394236.25,109,288.4,EQ
18-02-2022,303.0,303.0,280.1,285.0,280.2,341.05,259.9,1022,293204.45,86,286.89,EQ
21-02-2022,283.7,294.9,280.0,280.15,287.65,341.05,259.9,1941,545032.8,49,280.8,EQ
