DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-12-2023,340.0,354.45,324.05,334.5,334.9,354.45,324.05,5833892,1999678266.7,105191,342.77,EQ
27-12-2023,344.95,346.65,337.15,338.2,337.95,354.45,324.05,1194763,407929187.3,24491,341.43,EQ
28-12-2023,340.0,341.9,330.55,331.9,332.0,354.45,324.05,499706,166765025.5,16044,333.73,EQ
29-12-2023,333.0,338.55,330.05,330.6,330.1,354.45,324.05,775562,258682872.55,18497,333.54,EQ
01-01-2024,330.8,334.45,329.05,330.55,330.95,354.45,324.05,231475,76943411.1,7606,332.4,EQ
02-01-2024,332.2,337.65,329.05,335.15,336.25,354.45,324.05,420665,140423582.5,9869,333.81,EQ
03-01-2024,335.0,359.45,333.05,356.25,353.5,359.45,324.05,1608913,565797564.4,35812,351.66,EQ
04-01-2024,361.95,364.8,350.55,353.85,353.5,364.8,324.05,703441,252189780.7,20725,358.51,EQ
05-01-2024,356.25,360.45,348.25,352.15,350.75,364.8,324.05,435255,154186008.35,10004,354.24,EQ
08-01-2024,355.0,355.8,339.6,341.2,342.9,364.8,324.05,370942,127644499.15,8802,344.11,EQ
09-01-2024,344.95,346.05,340.25,344.2,343.4,364.8,324.05,181667,62439212.0,6082,343.7,EQ
10-01-2024,344.0,348.0,338.2,343.7,346.0,364.8,324.05,180136,61564450.1,5415,341.77,EQ
11-01-2024,348.5,360.9,345.0,356.1,354.5,364.8,324.05,696536,248400166.7,19474,356.62,EQ
12-01-2024,358.2,363.3,355.0,355.55,355.2,364.8,324.05,514025,184797250.3,14386,359.51,EQ
15-01-2024,360.0,361.9,348.3,350.55,348.95,364.8,324.05,404109,142597411.3,11384,352.87,EQ
16-01-2024,360.0,361.35,347.15,354.9,355.0,364.8,324.05,821753,291650003.15,21702,354.91,EQ
17-01-2024,353.5,353.5,345.0,345.55,346.5,364.8,324.05,173879,60690525.2,5579,349.04,EQ
18-01-2024,345.6,349.05,336.95,343.2,343.0,364.8,324.05,172255,59083915.35,6633,343.0,EQ
19-01-2024,344.45,348.3,341.0,343.05,343.2,364.8,324.05,121728,41894165.7,4742,344.16,EQ
20-01-2024,344.0,347.4,340.05,341.35,342.95,364.8,324.05,96342,32959174.35,3920,342.11,EQ
23-01-2024,343.6,344.25,330.05,332.05,330.25,364.8,324.05,256572,86651257.95,7415,337.73,EQ
24-01-2024,332.9,336.0,326.9,329.2,327.85,364.8,324.05,194348,64150106.45,9699,330.08,EQ
25-01-2024,330.0,333.35,328.5,329.45,329.15,364.8,324.05,129068,42658070.75,4226,330.51,EQ
29-01-2024,330.3,334.6,328.05,329.9,331.85,364.8,324.05,123240,40763977.9,5180,330.77,EQ
30-01-2024,332.0,341.25,329.1,338.9,339.9,364.8,324.05,203152,68346774.15,7092,336.43,EQ
31-01-2024,342.45,348.2,338.65,342.25,342.4,364.8,324.05,168631,58013400.1,5221,344.03,EQ
01-02-2024,345.0,345.3,335.1,337.0,335.5,364.8,324.05,63538,21507219.5,3457,338.49,EQ
02-02-2024,338.0,343.1,330.05,332.05,330.05,364.8,324.05,86544,29240704.1,5406,337.87,EQ
05-02-2024,334.5,335.95,321.85,324.8,323.9,364.8,321.85,117514,38675018.05,5930,329.11,EQ
06-02-2024,324.8,329.95,322.1,325.55,325.75,364.8,321.85,76812,25099801.95,5073,326.77,EQ
07-02-2024,332.95,341.75,329.0,332.25,330.0,364.8,321.85,213668,71728143.3,8911,335.7,EQ
08-02-2024,333.0,335.45,321.1,324.5,324.2,364.8,321.1,176930,58131312.1,7417,328.56,EQ
09-02-2024,324.0,339.8,321.65,336.05,334.35,364.8,321.1,264378,87476555.45,13394,330.88,EQ
