DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
26-03-2021,292.0,296.35,255.0,277.8,272.05,296.35,255.0,4172010,1177620714.6,91737,282.27,EQ
30-03-2021,270.25,276.0,256.65,270.8,270.0,296.35,255.0,1667592,438605017.8,30721,263.02,EQ
31-03-2021,270.0,278.5,261.6,273.7,276.5,296.35,255.0,610257,165052780.7,16901,270.46,EQ
01-04-2021,276.1,281.45,271.1,273.35,271.7,296.35,255.0,253766,70080928.8,8424,276.16,EQ
05-04-2021,273.0,273.95,263.1,264.85,265.0,296.35,255.0,152689,40656734.9,4860,266.27,EQ
06-04-2021,266.0,272.5,261.3,263.4,262.5,296.35,255.0,175457,46719369.45,5926,266.27,EQ
07-04-2021,264.95,271.65,261.0,264.85,265.1,296.35,255.0,271010,72195278.4,10390,266.39,EQ
08-04-2021,266.05,269.7,262.1,267.35,266.55,296.35,255.0,173913,46220990.85,5613,265.77,EQ
09-04-2021,268.0,270.4,264.1,265.2,264.25,296.35,255.0,111688,29925203.35,3311,267.94,EQ
12-04-2021,260.0,263.8,247.6,250.0,250.35,296.35,247.6,172777,43698098.2,6946,252.92,EQ
13-04-2021,252.75,264.0,252.75,256.3,256.25,296.35,247.6,97221,25032336.05,3826,257.48,EQ
15-04-2021,256.3,260.85,254.0,257.05,257.0,296.35,247.6,186237,47841087.75,6907,256.88,EQ
16-04-2021,256.0,259.85,254.05,255.95,256.05,296.35,247.6,121048,31021425.1,4439,256.27,EQ
19-04-2021,251.0,252.4,245.5,249.95,250.3,296.35,245.5,91623,22820196.95,4065,249.07,EQ
20-04-2021,250.3,254.35,243.55,251.7,250.0,296.35,243.55,132273,33023293.95,4671,249.66,EQ
22-04-2021,248.0,251.95,245.55,250.1,250.2,296.35,243.55,82173,20406602.2,3550,248.34,EQ
23-04-2021,249.75,253.1,248.0,248.95,248.35,296.35,243.55,95252,23822721.8,8118,250.1,EQ
26-04-2021,250.0,251.8,245.6,246.3,245.7,296.35,243.55,59416,14740664.3,4099,248.09,EQ
27-04-2021,247.0,248.4,245.45,247.0,247.0,296.35,243.55,67431,16623392.8,4070,246.52,EQ
28-04-2021,247.0,253.95,247.0,250.55,250.0,296.35,243.55,157605,39560288.15,7811,251.01,EQ
29-04-2021,251.9,253.45,247.25,249.95,250.0,296.35,243.55,88347,22071813.05,5858,249.83,EQ
30-04-2021,249.65,250.7,247.4,249.95,250.5,296.35,243.55,499526,124556209.65,2109,249.35,EQ
03-05-2021,248.7,251.45,246.55,250.0,250.0,296.35,243.55,176698,44001662.75,4974,249.02,EQ
04-05-2021,249.0,251.5,244.75,246.3,245.3,296.35,243.55,67423,16752724.1,2683,248.47,EQ
05-05-2021,246.4,248.9,245.0,246.15,245.8,296.35,243.55,94729,23368351.4,2486,246.69,EQ
06-05-2021,248.4,248.4,240.6,241.35,241.0,296.35,240.6,92834,22553848.6,3729,242.95,EQ
07-05-2021,241.35,245.0,238.25,239.85,239.0,296.35,238.25,169198,40863591.25,4670,241.51,EQ
10-05-2021,240.2,241.55,233.55,234.8,233.55,296.35,233.55,181147,42776009.2,7332,236.14,EQ
11-05-2021,234.8,242.35,233.0,240.6,240.7,296.35,233.0,218120,52118597.95,6856,238.94,EQ
12-05-2021,238.05,246.5,238.05,241.65,241.1,296.35,233.0,200067,48670638.25,5840,243.27,EQ
14-05-2021,242.05,243.0,237.5,237.7,238.35,296.35,233.0,110378,26464302.7,2972,239.76,EQ
17-05-2021,238.0,240.9,238.0,238.95,238.7,296.35,233.0,40088,9603657.3,1825,239.56,EQ
18-05-2021,239.5,242.0,239.05,240.15,240.0,296.35,233.0,54763,13172384.55,2642,240.53,EQ
19-05-2021,240.0,241.8,238.1,238.85,239.0,296.35,233.0,49810,11934454.25,2551,239.6,EQ
20-05-2021,239.0,240.0,237.3,237.65,237.95,296.35,233.0,46996,11212700.35,1936,238.59,EQ
21-05-2021,239.9,240.35,238.0,238.5,238.35,296.35,233.0,52485,12562844.25,2164,239.36,EQ
