DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-10-2020,62.25,62.25,62.25,62.25,62.25,62.25,62.25,27036,1682991.0,13,62.25,EQ
20-10-2020,65.35,65.35,65.35,65.35,65.35,65.35,62.25,125808,8221552.8,66,65.35,EQ
21-10-2020,68.6,68.6,68.6,68.6,68.6,68.6,62.25,1853,127115.8,6,68.6,EQ
22-10-2020,72.0,72.0,72.0,72.0,72.0,72.0,62.25,750,54000.0,3,72.0,EQ
23-10-2020,75.6,75.6,75.6,75.6,75.6,75.6,62.25,32889,2486408.4,15,75.6,EQ
26-10-2020,79.35,79.35,79.35,79.35,79.35,79.35,62.25,12390,983146.5,11,79.35,EQ
27-10-2020,83.3,83.3,83.3,83.3,83.3,83.3,62.25,10800,899640.0,8,83.3,EQ
28-10-2020,87.45,87.45,83.5,87.45,87.45,87.45,62.25,136106,11743009.85,282,86.28,EQ
29-10-2020,91.8,91.8,89.4,91.8,91.8,91.8,62.25,20627,1890764.5,65,91.66,EQ
30-10-2020,96.35,96.35,96.35,96.35,96.35,96.35,62.25,20307,1956579.45,94,96.35,EQ
02-11-2020,101.15,101.15,98.05,101.0,101.0,101.15,62.25,241079,24278090.1,881,100.71,EQ
03-11-2020,106.0,106.05,100.0,104.8,104.75,106.05,62.25,177616,18163311.45,772,102.26,EQ
04-11-2020,110.0,110.0,100.25,101.95,104.0,110.0,62.25,188226,19164778.8,861,101.82,EQ
05-11-2020,104.0,106.75,100.75,101.7,101.25,110.0,62.25,125405,12748971.0,604,101.66,EQ
06-11-2020,106.75,106.75,101.0,103.4,103.0,110.0,62.25,84521,8749727.15,333,103.52,EQ
09-11-2020,108.0,108.4,100.7,101.1,101.85,110.0,62.25,117396,12074746.85,774,102.85,EQ
10-11-2020,101.6,102.95,100.6,101.0,101.0,110.0,62.25,50633,5120111.95,224,101.12,EQ
11-11-2020,101.4,103.0,100.9,101.5,103.0,110.0,62.25,23429,2369321.3,66,101.13,EQ
12-11-2020,103.0,103.0,100.9,100.95,101.0,110.0,62.25,26117,2643088.4,160,101.2,EQ
13-11-2020,103.0,103.0,100.9,100.95,101.4,110.0,62.25,16916,1711752.6,156,101.19,EQ
14-11-2020,103.0,103.0,101.0,101.05,101.0,110.0,62.25,9246,935761.4,61,101.21,EQ
17-11-2020,102.95,103.1,100.9,101.0,100.9,110.0,62.25,23409,2377356.1,183,101.56,EQ
18-11-2020,101.1,101.85,100.9,101.0,101.0,110.0,62.25,18578,1876311.5,81,101.0,EQ
19-11-2020,101.7,106.0,100.5,101.0,100.95,110.0,62.25,40353,4080645.4,204,101.12,EQ
20-11-2020,103.1,103.1,100.6,100.7,100.6,110.0,62.25,25053,2531390.15,134,101.04,EQ
23-11-2020,101.3,102.75,100.5,100.5,100.5,110.0,62.25,43282,4371763.3,158,101.01,EQ
24-11-2020,102.1,105.0,101.0,104.85,105.0,110.0,62.25,33810,3490571.4,291,103.24,EQ
25-11-2020,106.0,108.0,102.0,102.05,102.0,110.0,62.25,16539,1728445.85,204,104.51,EQ
26-11-2020,104.95,104.95,102.0,102.05,102.0,110.0,62.25,9236,949842.4,89,102.84,EQ
27-11-2020,102.3,104.95,102.0,103.5,102.5,110.0,62.25,45768,4689617.7,155,102.46,EQ
01-12-2020,102.95,107.0,102.0,102.05,102.0,110.0,62.25,19003,1949329.05,138,102.58,EQ
