DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-01-1996,301.75,301.75,301.75,301.75,,,,100,30175.0,,301.75,EQ
03-01-1996,316.0,320.0,316.0,320.0,,,,700,223100.0,,318.71,EQ
04-01-1996,320.0,309.95,304.05,305.2,,,,700,214650.0,,306.64,EQ
05-01-1996,315.0,315.0,300.0,300.25,,,,300,91525.0,,305.08,EQ
08-01-1996,300.0,300.0,295.0,295.0,,,,900,266150.0,,295.72,EQ
09-01-1996,290.0,290.0,280.0,280.0,,,,200,57000.0,,285.0,EQ
10-01-1996,285.0,285.0,285.0,285.0,,,,100,28500.0,,285.0,EQ
11-01-1996,285.0,290.0,285.0,290.0,,,,8400,2395000.0,,285.12,EQ
12-01-1996,295.0,295.0,295.0,295.0,,,,100,29500.0,,295.0,EQ
15-01-1996,288.0,288.0,285.5,285.5,,,,200,57350.0,,286.75,EQ
16-01-1996,288.0,288.0,285.5,285.5,,,,3600,1028300.0,,285.64,EQ
17-01-1996,285.5,287.0,285.5,287.0,,,,400,114350.0,,285.88,EQ
18-01-1996,284.75,287.0,284.75,285.35,,,,700,199675.0,,285.25,EQ
19-01-1996,281.55,281.55,281.55,281.55,,,,100,28155.0,,281.55,EQ
22-01-1996,280.0,280.0,280.0,280.0,,,,200,56000.0,,280.0,EQ
23-01-1996,280.0,280.25,280.0,280.25,,,,300,84025.0,,280.08,EQ
24-01-1996,280.0,280.0,280.0,280.0,,,,200,56000.0,,280.0,EQ
25-01-1996,285.0,285.0,285.0,285.0,,,,100,28500.0,,285.0,EQ
29-01-1996,285.0,290.0,281.5,281.5,,,,500,142845.0,,285.69,EQ
30-01-1996,280.25,285.0,280.25,285.0,,,,600,170325.0,,283.88,EQ
31-01-1996,285.0,285.0,285.0,285.0,,,,100,28500.0,,285.0,EQ
02-02-1996,295.0,295.0,295.0,295.0,,,,200,59000.0,,295.0,EQ
05-02-1996,320.0,320.0,295.0,300.0,,,,900,269000.0,,298.89,EQ
06-02-1996,300.0,305.0,297.0,297.0,,,,600,179000.0,,298.33,EQ
09-02-1996,318.0,325.0,310.0,325.0,,,,1700,543025.0,,319.43,EQ
12-02-1996,329.0,329.0,326.0,328.0,,,,500,163800.0,,327.6,EQ
13-02-1996,332.0,332.0,318.0,322.0,,,,500,162200.0,,324.4,EQ
14-02-1996,326.0,335.0,326.0,335.0,,,,400,132700.0,,331.75,EQ
15-02-1996,340.0,340.0,327.0,327.0,,,,300,99500.0,,331.67,EQ
16-02-1996,327.0,335.0,327.0,333.75,,,,1700,563875.0,,331.69,EQ
19-02-1996,333.75,337.0,330.0,335.0,,,,500,167400.0,,334.8,EQ
20-02-1996,335.0,335.0,318.0,325.35,,,,500,164600.0,,329.2,EQ
22-02-1996,329.0,334.0,329.0,334.0,,,,500,165900.0,,331.8,EQ
23-02-1996,334.0,336.0,332.0,332.0,,,,800,267295.0,,334.12,EQ
26-02-1996,329.95,330.0,329.95,330.0,,,,200,65995.0,,329.98,EQ
27-02-1996,345.0,348.0,340.0,346.5,,,,2300,785535.0,,341.54,EQ
28-02-1996,346.5,367.0,346.0,364.9,,,,2700,960670.0,,355.8,EQ
29-02-1996,366.0,366.0,357.5,360.0,,,,1800,649325.0,,360.74,EQ
01-03-1996,360.0,363.05,357.0,363.05,,,,1200,432705.0,,360.59,EQ
04-03-1996,363.05,365.0,355.0,355.35,,,,1300,467025.0,,359.25,EQ
06-03-1996,355.0,363.0,355.0,363.0,,,,300,107800.0,,359.33,EQ
07-03-1996,359.0,359.0,358.0,358.0,,,,400,143325.0,,358.31,EQ
08-03-1996,346.0,350.0,346.0,350.0,,,,200,69600.0,,348.0,EQ
11-03-1996,350.0,345.0,339.0,341.0,,,,500,171100.0,,342.2,EQ
12-03-1996,347.75,347.75,338.0,338.0,,,,500,170275.0,,340.55,EQ
13-03-1996,340.75,342.0,340.75,342.0,,,,300,102375.0,,341.25,EQ
14-03-1996,344.0,345.0,344.0,345.0,,,,300,103400.0,,344.67,EQ
15-03-1996,345.0,343.0,343.0,343.0,,,,100,34300.0,,343.0,EQ
