DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
09-05-2006,483.25,483.25,420.2,446.55,460.0,483.25,420.2,73443,32380002.85,,440.89,EQ
10-05-2006,450.1,491.25,441.0,491.25,491.25,491.25,420.2,40294,18755720.7,,465.47,EQ
11-05-2006,529.0,529.0,455.0,459.9,457.2,529.0,420.2,53267,25658281.05,,481.69,EQ
12-05-2006,451.0,472.95,448.0,454.85,452.75,529.0,420.2,8875,4090060.85,,460.85,EQ
15-05-2006,459.95,465.0,440.1,442.6,443.9,529.0,420.2,9004,4078122.9,,452.92,EQ
16-05-2006,430.0,437.0,400.15,418.6,413.1,529.0,400.15,5655,2354977.85,,416.44,EQ
17-05-2006,425.0,447.0,418.6,432.55,434.9,529.0,400.15,9048,3950864.55,,436.66,EQ
18-05-2006,420.0,433.0,389.35,392.4,391.95,529.0,389.35,5560,2272561.5,,408.73,EQ
19-05-2006,410.0,410.0,360.0,364.65,360.25,529.0,360.0,2038,773092.35,,379.34,EQ
22-05-2006,365.0,369.0,328.5,333.0,337.95,529.0,328.5,4102,1382337.95,,336.99,EQ
23-05-2006,317.1,349.65,317.05,349.65,349.65,529.0,317.05,2197,739395.45,,336.55,EQ
24-05-2006,350.0,367.15,350.0,359.95,360.0,529.0,317.05,1639,592797.55,,361.68,EQ
25-05-2006,350.0,361.25,345.0,351.7,350.5,529.0,317.05,364,127820.55,,351.16,EQ
26-05-2006,369.0,369.3,350.0,352.0,352.0,529.0,317.05,879,318674.25,,362.54,EQ
29-05-2006,364.0,369.6,360.0,368.75,369.6,529.0,317.05,1409,518434.45,,367.94,EQ
30-05-2006,374.0,387.2,374.0,386.6,387.2,529.0,317.05,1741,669088.5,,384.31,EQ
31-05-2006,368.0,384.85,367.3,367.3,367.3,529.0,317.05,1174,432468.0,,368.37,EQ
01-06-2006,367.0,369.2,348.95,348.95,348.95,529.0,317.05,3384,1210096.9,,357.59,EQ
02-06-2006,332.0,343.5,331.5,337.0,337.0,529.0,317.05,1153,383374.1,,332.5,EQ
05-06-2006,321.0,347.95,320.5,335.9,339.0,529.0,317.05,2609,876999.9,,336.14,EQ
06-06-2006,337.9,338.0,319.2,323.85,328.0,529.0,317.05,4394,1420322.4,,323.24,EQ
07-06-2006,312.0,322.0,307.7,307.7,307.7,529.0,307.7,483,150640.65,,311.89,EQ
08-06-2006,300.0,300.0,292.35,292.35,292.35,529.0,292.35,183,53507.7,,292.39,EQ
09-06-2006,277.75,292.95,277.75,280.1,277.75,529.0,277.75,1504,424065.15,,281.96,EQ
