DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
17-09-2003,87.5,89.2,86.25,87.0,87.3,103.25,61.15,191896,16909307.35,,88.12,EQ
18-09-2003,86.55,86.55,82.25,82.85,82.5,103.25,61.15,115469,9744112.8,,84.39,EQ
19-09-2003,83.4,84.85,80.1,81.95,82.2,103.25,61.15,130311,10746875.65,,82.47,EQ
22-09-2003,82.5,83.8,81.5,81.9,81.5,103.25,61.15,105831,8715415.95,,82.35,EQ
23-09-2003,81.5,82.5,80.25,81.75,82.5,101.75,61.15,76941,6261999.1,,81.39,EQ
24-09-2003,82.85,85.35,81.05,84.7,85.35,101.75,61.15,109126,9099502.75,,83.39,EQ
25-09-2003,84.8,89.0,84.25,88.4,89.0,101.75,61.15,298765,26211091.3,,87.73,EQ
26-09-2003,88.35,92.75,88.35,91.4,91.55,101.75,61.15,580767,52843517.8,,90.99,EQ
29-09-2003,91.0,92.75,90.1,90.75,91.55,101.75,61.15,258377,23668670.7,,91.61,EQ
30-09-2003,92.15,93.0,90.35,90.7,90.85,101.75,61.15,156310,14282441.3,,91.37,EQ
01-10-2003,91.25,91.25,89.0,89.5,89.1,101.75,61.15,154081,13879120.35,,90.08,EQ
03-10-2003,90.4,91.0,88.0,89.2,88.95,101.75,61.15,118708,10652744.0,,89.74,EQ
06-10-2003,89.25,90.6,88.7,89.05,88.9,101.75,61.15,115062,10312083.3,,89.62,EQ
07-10-2003,89.5,90.4,86.6,87.25,87.0,101.75,61.15,179555,15951787.7,,88.84,EQ
08-10-2003,88.25,88.6,86.0,86.25,86.5,101.75,61.15,120767,10534705.1,,87.23,EQ
09-10-2003,87.1,90.7,87.1,89.35,89.5,101.75,61.15,188200,16822677.65,,89.39,EQ
10-10-2003,91.6,96.7,90.25,95.65,96.5,101.75,61.15,882247,82655799.25,,93.69,EQ
13-10-2003,97.0,98.8,95.65,96.85,96.6,101.75,61.15,833338,81130680.35,,97.36,EQ
14-10-2003,97.0,98.0,91.5,92.05,92.0,101.75,61.15,342108,32206423.95,,94.14,EQ
15-10-2003,92.7,93.7,90.55,92.45,92.5,101.75,61.15,220424,20327405.55,,92.22,EQ
16-10-2003,93.3,93.7,91.65,92.2,91.85,101.75,61.15,129385,11992695.45,,92.69,EQ
17-10-2003,92.0,93.5,91.25,92.05,91.5,101.75,61.15,210479,19434174.35,,92.33,EQ
20-10-2003,92.2,92.45,89.1,89.5,89.3,101.75,61.15,157724,14291282.85,,90.61,EQ
21-10-2003,89.95,89.95,87.0,87.15,87.3,101.75,61.15,130641,11510723.25,,88.11,EQ
22-10-2003,87.0,88.0,83.15,84.15,84.6,101.75,61.15,143892,12270420.05,,85.28,EQ
23-10-2003,81.1,86.15,81.1,83.35,83.5,101.75,61.15,104246,8816419.2,,84.57,EQ
24-10-2003,84.0,87.95,83.05,87.55,87.9,101.75,61.15,120262,10280218.7,,85.48,EQ
25-10-2003,85.5,89.4,85.5,88.0,87.75,101.75,61.15,49236,4339320.65,,88.13,EQ
27-10-2003,87.1,88.1,85.1,85.6,85.4,101.75,61.15,66989,5799205.5,,86.57,EQ
28-10-2003,85.45,87.0,83.85,85.45,85.95,101.75,61.15,79372,6743656.1,,84.96,EQ
29-10-2003,87.5,87.95,85.55,86.25,85.7,101.75,61.15,86521,7496244.05,,86.64,EQ
30-10-2003,86.8,86.8,85.0,85.45,85.3,101.75,61.15,76136,6544327.5,,85.96,EQ
31-10-2003,86.15,89.5,84.1,88.95,89.45,101.75,61.15,195380,17166169.9,,87.86,EQ
03-11-2003,89.45,92.4,88.75,91.75,91.6,101.75,61.15,362440,32871802.25,,90.7,EQ
04-11-2003,92.2,93.0,89.2,89.7,89.25,101.75,61.15,269625,24590745.1,,91.2,EQ
05-11-2003,90.0,92.8,88.6,90.25,90.2,101.75,61.15,308587,27998250.0,,90.73,EQ
06-11-2003,91.5,94.6,90.5,92.85,92.9,101.75,61.15,467731,43575304.1,,93.16,EQ
07-11-2003,93.1,97.75,93.05,94.4,94.7,101.75,61.15,660722,63204222.5,,95.66,EQ
10-11-2003,93.55,95.0,91.25,92.75,92.95,101.75,61.15,90669,8436506.05,,93.05,EQ
11-11-2003,93.55,94.9,92.1,92.65,93.0,101.75,61.15,204592,19147438.9,,93.59,EQ
12-11-2003,93.4,94.9,92.1,92.55,92.35,101.75,61.15,195705,18252299.85,,93.26,EQ
13-11-2003,93.5,94.1,89.2,90.1,89.95,101.75,61.15,203628,18700912.7,,91.84,EQ
14-11-2003,90.4,90.4,86.1,86.6,86.6,101.75,61.15,217757,19087908.7,,87.66,EQ
15-11-2003,87.4,88.7,85.05,87.75,88.4,101.75,61.15,80364,6970611.7,,86.74,EQ
17-11-2003,88.0,89.7,86.6,89.1,89.1,101.75,61.15,115495,10233048.05,,88.6,EQ
18-11-2003,90.0,91.5,88.5,89.2,89.45,101.75,61.15,176125,15874633.9,,90.13,EQ
19-11-2003,89.0,91.15,87.5,89.55,89.65,101.75,61.15,211410,18953559.65,,89.65,EQ
20-11-2003,90.6,90.6,85.2,86.25,86.45,101.75,61.15,139351,12384268.1,,88.87,EQ
21-11-2003,87.6,87.8,84.2,87.1,87.75,101.75,61.15,101709,8790675.55,,86.43,EQ
24-11-2003,88.8,88.8,87.0,87.9,88.1,101.75,61.15,97683,8571289.05,,87.75,EQ
25-11-2003,90.4,90.45,88.35,88.75,88.7,101.75,61.15,144171,12893580.15,,89.43,EQ
27-11-2003,89.6,92.45,89.1,91.6,91.55,101.75,61.15,323811,29518429.8,,91.16,EQ
28-11-2003,94.65,94.65,91.25,91.65,91.5,101.75,61.15,254672,23563868.65,,92.53,EQ
01-12-2003,92.65,96.45,92.2,95.55,95.8,101.75,61.15,581587,54810215.1,,94.24,EQ
02-12-2003,97.1,101.55,96.0,99.65,99.75,101.75,61.15,1875451,186955970.4,,99.69,EQ
03-12-2003,100.5,107.65,99.5,106.55,106.3,101.75,61.15,1498136,156166368.7,,104.24,EQ
04-12-2003,105.8,109.7,104.5,105.8,105.4,107.65,61.15,1211745,129609331.25,,106.96,EQ
05-12-2003,106.5,108.5,100.1,101.3,101.5,109.7,61.15,717425,75257439.05,,104.9,EQ
08-12-2003,101.75,105.4,100.0,104.3,104.8,109.7,61.15,667171,68741422.85,,103.03,EQ
09-12-2003,107.6,113.4,105.35,112.4,113.0,109.7,61.15,1472792,161837369.2,,109.88,EQ
10-12-2003,112.2,112.8,105.1,107.4,108.0,113.4,61.15,866937,95077248.4,,109.67,EQ
11-12-2003,109.0,110.9,105.8,109.0,108.8,113.4,61.15,571559,62060769.45,,108.58,EQ
12-12-2003,110.0,114.35,109.1,113.3,113.2,113.4,61.15,1078747,120703584.1,,111.89,EQ
15-12-2003,114.35,116.9,113.65,116.1,116.5,114.35,61.15,884043,102095254.8,,115.49,EQ
16-12-2003,114.4,115.0,109.6,111.85,111.85,116.9,61.15,744260,83511264.75,,112.21,EQ
17-12-2003,112.0,113.9,110.2,111.05,110.8,116.9,61.15,476452,53363060.2,,112.0,EQ
18-12-2003,111.6,112.9,110.0,111.95,111.75,116.9,61.15,349080,39069852.4,,111.92,EQ
19-12-2003,112.5,113.9,110.6,111.35,110.6,116.9,61.15,477982,53726141.8,,112.4,EQ
22-12-2003,112.05,116.0,111.8,113.8,114.0,116.9,61.15,611200,69684553.95,,114.01,EQ
23-12-2003,114.0,124.8,112.1,122.55,123.0,116.9,61.15,2357332,282959788.5,,120.03,EQ
24-12-2003,123.75,126.35,120.5,124.5,124.25,124.8,61.15,1720113,214304294.3,,124.59,EQ
26-12-2003,124.5,125.85,122.5,123.6,124.0,126.35,61.15,530751,65785983.8,,123.95,EQ
29-12-2003,124.25,129.3,124.1,126.95,127.2,126.35,61.15,724139,91938424.9,,126.96,EQ
30-12-2003,128.0,128.9,119.3,121.1,121.2,129.3,61.15,620349,76637105.2,,123.54,EQ
31-12-2003,121.3,123.9,119.1,120.85,121.0,129.3,61.15,349173,42489042.65,,121.68,EQ
01-01-2004,121.7,123.9,121.2,122.75,123.4,129.3,61.15,280673,34422323.35,,122.64,EQ
02-01-2004,123.7,131.35,123.05,128.1,128.0,129.3,61.15,1025799,131334849.6,,128.03,EQ
05-01-2004,129.3,131.0,125.05,126.25,125.25,131.35,61.15,730873,93674181.0,,128.17,EQ
06-01-2004,127.0,129.4,120.5,121.85,121.4,131.35,61.15,506960,63839173.3,,125.93,EQ
07-01-2004,122.2,122.7,117.0,118.85,119.5,131.35,61.15,382274,45471399.25,,118.95,EQ
08-01-2004,120.7,125.9,119.9,124.85,124.5,131.35,61.15,411442,50956438.65,,123.85,EQ
09-01-2004,126.7,144.9,124.1,125.05,124.5,131.35,61.15,810584,104207569.4,,128.56,EQ
12-01-2004,127.5,127.5,120.5,121.5,121.05,144.9,61.15,338860,41623368.8,,122.83,EQ
13-01-2004,121.0,123.2,118.0,121.2,121.5,144.9,61.15,283170,34149595.4,,120.6,EQ
14-01-2004,122.0,123.4,120.15,120.7,121.0,144.9,61.15,248121,30237807.1,,121.87,EQ
15-01-2004,121.9,123.1,118.05,118.85,118.6,144.9,61.15,296824,35853476.0,,120.79,EQ
16-01-2004,119.2,119.8,111.8,113.2,113.8,144.9,61.15,249119,28945120.25,,116.19,EQ
19-01-2004,113.8,114.25,108.0,111.5,112.0,144.9,61.15,268177,29687254.2,,110.7,EQ
20-01-2004,112.4,115.9,110.15,110.85,110.5,144.9,61.15,257446,29089728.45,,112.99,EQ
21-01-2004,109.1,111.85,94.55,96.05,96.0,144.9,61.15,462185,47489940.95,,102.75,EQ
22-01-2004,97.3,99.4,90.5,93.25,93.55,144.9,61.15,381390,36427410.75,,95.51,EQ
23-01-2004,94.1,101.75,93.55,100.15,101.6,144.9,61.15,323926,31390235.65,,96.91,EQ
27-01-2004,102.6,106.8,100.3,105.8,106.8,144.9,61.15,343911,35826327.1,,104.17,EQ
28-01-2004,106.65,106.9,101.6,103.55,104.9,144.9,61.15,325638,34145624.45,,104.86,EQ
29-01-2004,103.0,103.9,100.4,101.9,102.25,144.9,61.15,210633,21523676.9,,102.19,EQ
30-01-2004,102.2,103.15,97.05,97.9,97.9,144.9,61.15,239403,23884546.3,,99.77,EQ
03-02-2004,98.7,98.7,86.0,87.95,90.4,144.9,61.15,242297,22217782.1,,91.7,EQ
04-02-2004,90.0,93.85,87.8,92.8,93.15,144.9,61.15,257676,23400119.75,,90.81,EQ
05-02-2004,91.0,94.5,91.0,92.05,92.5,144.9,61.15,278960,25789934.05,,92.45,EQ
06-02-2004,92.85,92.85,90.15,91.85,91.95,144.9,61.15,173866,15890122.6,,91.39,EQ
09-02-2004,92.75,95.4,91.6,94.65,95.4,144.9,61.15,162712,15195468.0,,93.39,EQ
10-02-2004,94.9,95.9,92.6,94.6,94.65,144.9,61.15,205014,19302595.2,,94.15,EQ
11-02-2004,95.0,96.7,94.6,95.3,95.0,144.9,61.15,169560,16165617.6,,95.34,EQ
12-02-2004,95.9,96.6,93.1,93.7,93.45,144.9,61.15,178872,16921804.3,,94.6,EQ
13-02-2004,94.0,96.0,93.4,95.7,95.95,144.9,61.15,145257,13789325.6,,94.93,EQ
16-02-2004,96.0,106.7,95.55,104.05,104.65,144.9,61.15,759603,77328673.2,,101.8,EQ
17-02-2004,98.4,105.0,98.4,102.4,103.45,144.9,61.15,443686,45527572.25,,102.61,EQ
18-02-2004,103.5,106.1,102.45,103.1,103.0,144.9,61.15,386251,40219027.8,,104.13,EQ
19-02-2004,103.6,103.7,96.1,96.65,96.25,144.9,61.15,275383,27302968.65,,99.15,EQ
20-02-2004,95.0,95.95,92.6,94.3,95.2,144.9,61.15,328299,30925759.25,,94.2,EQ
23-02-2004,95.0,95.8,90.65,91.2,91.0,144.9,61.15,149832,13947169.45,,93.09,EQ
24-02-2004,91.1,93.1,89.0,92.6,92.15,144.9,61.15,176252,16147879.05,,91.62,EQ
25-02-2004,90.25,93.4,90.15,90.75,90.4,144.9,61.15,128021,11746975.7,,91.76,EQ
26-02-2004,91.45,93.2,89.05,90.2,90.1,144.9,61.15,136767,12499200.7,,91.39,EQ
27-02-2004,91.4,91.65,89.4,90.6,90.5,144.9,61.15,164963,14934271.05,,90.53,EQ
01-03-2004,91.2,92.9,90.5,92.15,92.7,144.9,61.15,127828,11715754.1,,91.65,EQ
03-03-2004,93.0,93.0,91.0,91.8,91.9,144.9,61.15,143984,13221524.45,,91.83,EQ
04-03-2004,92.0,92.5,89.9,90.45,90.35,144.9,61.15,127322,11609365.9,,91.18,EQ
05-03-2004,90.5,90.75,89.0,89.35,89.2,144.9,61.15,106756,9582223.4,,89.76,EQ
08-03-2004,89.9,90.25,88.6,89.1,89.0,144.9,61.15,95267,8536380.05,,89.6,EQ
09-03-2004,88.65,89.4,87.4,87.85,87.5,144.9,61.15,102795,9042868.5,,87.97,EQ
10-03-2004,85.1,87.9,85.1,86.15,85.55,144.9,61.15,68419,5917506.2,,86.49,EQ
11-03-2004,85.1,87.0,76.15,85.35,85.1,144.9,61.15,82092,7046252.1,,85.83,EQ
