DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
25-06-1998,107.0,110.0,107.0,110.0,110.0,202.2,103.65,300,32700.0,,109.0,EQ
29-06-1998,108.0,110.0,108.0,110.0,110.0,202.2,103.65,700,76800.0,,109.71,EQ
30-06-1998,109.95,110.0,109.95,110.0,110.0,198.0,103.65,350,38497.5,,109.99,EQ
02-07-1998,105.0,105.0,105.0,105.0,105.0,198.0,103.65,50,5250.0,,105.0,EQ
10-07-1998,106.9,108.0,106.9,108.0,108.0,198.0,103.65,150,16095.0,,107.3,EQ
14-07-1998,104.9,105.0,104.9,105.0,105.0,198.0,103.65,200,20990.0,,104.95,EQ
16-07-1998,100.0,109.0,100.0,109.0,109.0,198.0,103.65,200,21225.0,,106.13,EQ
17-07-1998,109.5,110.0,109.5,110.0,110.0,198.0,100.0,250,27400.0,,109.6,EQ
24-07-1998,102.0,102.0,101.25,101.5,101.25,188.25,100.0,150,15225.0,,101.5,EQ
04-08-1998,95.5,95.5,95.05,95.05,95.05,185.25,100.0,100,9527.5,,95.28,EQ
14-08-1998,100.0,100.0,100.0,100.0,100.0,167.0,95.05,50,5000.0,,100.0,EQ
19-08-1998,107.0,107.0,107.0,107.0,107.0,167.0,95.05,250,26750.0,,107.0,EQ
24-08-1998,98.5,98.5,98.5,98.5,98.5,167.0,95.05,50,4925.0,,98.5,EQ
25-08-1998,104.5,104.5,104.5,104.5,104.5,167.0,95.05,50,5225.0,,104.5,EQ
28-08-1998,105.0,105.0,105.0,105.0,105.0,167.0,95.05,100,10500.0,,105.0,EQ
09-09-1998,103.0,103.0,103.0,103.0,103.0,167.0,95.05,50,5150.0,,103.0,EQ
11-09-1998,103.0,103.0,103.0,103.0,103.0,167.0,95.05,150,15450.0,,103.0,EQ
16-09-1998,103.0,104.05,103.0,104.0,104.0,167.0,95.05,400,41452.5,,103.63,EQ
17-09-1998,102.0,102.0,102.0,102.0,102.0,167.0,95.05,200,20400.0,,102.0,EQ
22-09-1998,107.0,107.0,105.0,105.0,105.0,167.0,95.05,150,15850.0,,105.67,EQ
25-09-1998,112.0,112.0,112.0,112.0,112.0,167.0,95.05,50,5600.0,,112.0,EQ
30-09-1998,105.1,105.1,105.0,105.05,105.0,167.0,95.05,150,15755.0,,105.03,EQ
05-10-1998,99.05,99.05,99.0,99.0,99.0,167.0,95.05,100,9902.5,,99.03,EQ
19-10-1998,100.0,100.0,100.0,100.0,100.0,167.0,95.05,300,30000.0,,100.0,EQ
20-10-1998,98.0,100.0,98.0,100.0,100.0,167.0,95.05,300,29800.0,,99.33,EQ
26-10-1998,105.0,105.0,105.0,105.0,105.0,167.0,95.05,200,21000.0,,105.0,EQ
30-10-1998,105.0,105.0,105.0,105.0,105.0,165.0,95.05,100,10500.0,,105.0,EQ
02-11-1998,103.95,105.5,102.0,105.5,105.5,165.0,95.05,600,61472.5,,102.45,EQ
