DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
18-11-1998,94.0,95.85,93.8,94.75,94.75,176.0,68.55,3592150,341244702.5,,95.0,EQ
19-11-1998,94.9,98.7,94.7,96.6,96.6,176.0,68.55,6761100,656297847.5,,97.07,EQ
20-11-1998,98.75,99.35,93.75,94.5,94.5,176.0,68.55,5387550,517600532.5,,96.07,EQ
21-11-1998,94.75,94.75,92.25,93.1,93.1,176.0,68.55,1754000,163113837.5,,93.0,EQ
23-11-1998,92.65,92.85,91.5,91.85,91.85,176.0,68.55,2216800,204232932.5,,92.13,EQ
24-11-1998,93.35,94.2,91.65,91.95,91.95,176.0,68.55,3257750,302522295.0,,92.86,EQ
26-11-1998,89.7,91.55,85.6,86.55,86.55,176.0,68.55,3060800,271719047.5,,88.77,EQ
27-11-1998,87.0,87.45,83.7,84.4,84.4,176.0,68.55,2669300,227489840.0,,85.22,EQ
28-11-1998,85.0,86.75,83.9,85.2,85.2,176.0,68.55,2018300,172146075.0,,85.29,EQ
30-11-1998,84.65,86.0,83.7,86.0,86.0,176.0,68.55,1554450,132288305.0,,85.1,EQ
01-12-1998,85.55,91.4,85.4,90.5,90.5,176.0,68.55,3436450,304523930.0,,88.62,EQ
02-12-1998,91.35,93.4,91.0,91.55,91.55,176.0,68.55,2744150,252823795.0,,92.13,EQ
03-12-1998,92.0,92.3,89.25,90.75,90.75,176.0,68.55,2265350,205022892.5,,90.5,EQ
04-12-1998,90.8,94.0,90.05,94.0,94.0,176.0,68.55,3393550,312631940.0,,92.13,EQ
07-12-1998,94.3,96.6,93.75,96.0,96.0,176.0,68.55,3626850,346118407.5,,95.43,EQ
08-12-1998,95.85,98.0,95.05,98.0,98.0,176.0,68.55,3578650,345787372.5,,96.63,EQ
09-12-1998,98.9,99.4,96.1,96.2,96.2,176.0,68.55,3002050,294229222.5,,98.01,EQ
10-12-1998,97.0,97.9,95.7,96.6,96.6,176.0,68.55,1663550,161087930.0,,96.83,EQ
11-12-1998,97.0,103.5,96.9,103.2,103.2,176.0,68.55,9519900,958549642.5,,100.69,EQ
14-12-1998,102.8,103.5,99.7,100.5,100.5,176.0,68.55,4155400,422525330.0,,101.68,EQ
15-12-1998,99.5,101.45,99.0,99.1,99.1,176.0,68.55,3876150,387776870.0,,100.04,EQ
16-12-1998,99.75,101.2,97.25,101.2,101.2,176.0,68.55,4016000,400441095.0,,99.71,EQ
17-12-1998,97.0,100.1,95.3,96.0,96.0,176.0,68.55,3703850,362519042.5,,97.88,EQ
18-12-1998,96.8,98.1,95.45,97.4,97.4,176.0,68.55,2598100,252071245.0,,97.02,EQ
21-12-1998,104.5,105.2,97.4,105.2,97.4,176.0,68.55,1579450,165762630.0,,104.95,EQ
22-12-1998,108.05,108.4,105.0,108.2,108.2,176.0,68.55,3928000,420217632.5,,106.98,EQ
23-12-1998,108.9,110.4,108.0,108.0,108.0,176.0,68.55,3818900,416620440.0,,109.09,EQ
24-12-1998,107.1,113.25,107.05,112.8,112.8,176.0,68.55,6265750,693592647.5,,110.7,EQ
28-12-1998,114.5,117.0,113.1,117.0,117.0,176.0,68.55,4922300,566441032.5,,115.08,EQ
29-12-1998,116.55,122.4,115.0,122.1,122.1,176.0,68.55,4509500,536190965.0,,118.9,EQ
30-12-1998,123.9,125.0,119.85,121.05,121.05,176.0,68.55,4284050,524224217.5,,122.37,EQ
31-12-1998,120.05,120.8,117.15,117.5,117.5,176.0,68.55,3551450,421803865.0,,118.77,EQ
01-01-1999,118.05,124.0,117.7,124.0,124.0,176.0,68.55,5752650,694680052.5,,120.76,EQ
04-01-1999,123.4,123.95,120.35,120.7,120.7,176.0,68.55,2877500,351649492.5,,122.21,EQ
