DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-11-2023,1200.0,1400.0,1200.0,1313.0,1326.7,1400.0,1200.0,46579444,61140706591.45,1422692,1312.61,EQ
01-12-2023,1339.3,1348.0,1211.6,1220.6,1216.0,1400.0,1200.0,18681419,23232628471.6,693074,1243.62,EQ
04-12-2023,1220.6,1234.0,1151.15,1192.65,1189.0,1400.0,1151.15,14740755,17480447306.6,500852,1185.86,EQ
05-12-2023,1192.65,1221.95,1175.0,1191.85,1193.75,1400.0,1151.15,4422358,5338249618.3,154041,1207.1,EQ
06-12-2023,1202.0,1207.45,1181.0,1188.5,1187.0,1400.0,1151.15,2735968,3258949213.1,114146,1191.15,EQ
07-12-2023,1192.95,1199.0,1180.0,1185.7,1184.0,1400.0,1151.15,1624651,1931838157.55,71777,1189.08,EQ
08-12-2023,1189.0,1219.7,1188.25,1192.55,1190.5,1400.0,1151.15,2528210,3038029255.0,94314,1201.65,EQ
11-12-2023,1199.0,1269.7,1193.0,1237.35,1239.95,1400.0,1151.15,8017469,9936713623.1,241629,1239.38,EQ
12-12-2023,1254.0,1263.05,1230.0,1233.25,1233.0,1400.0,1151.15,2426780,3022634269.75,87901,1245.53,EQ
13-12-2023,1244.0,1284.8,1236.15,1250.35,1250.1,1400.0,1151.15,4281933,5413153052.6,134764,1264.18,EQ
14-12-2023,1270.0,1275.0,1240.15,1243.3,1243.5,1400.0,1151.15,1992554,2497570154.65,72822,1253.45,EQ
15-12-2023,1255.95,1256.7,1240.0,1242.2,1243.3,1400.0,1151.15,1239743,1545373931.7,54793,1246.53,EQ
18-12-2023,1245.65,1249.15,1225.6,1229.25,1229.95,1400.0,1151.15,1000620,1233658601.25,51083,1232.89,EQ
19-12-2023,1233.0,1259.8,1224.6,1241.55,1240.5,1400.0,1151.15,2086748,2604629214.8,76834,1248.18,EQ
20-12-2023,1247.9,1248.75,1198.0,1201.15,1204.0,1400.0,1151.15,1604663,1959265192.2,88440,1220.98,EQ
21-12-2023,1165.25,1218.6,1165.25,1208.9,1209.0,1400.0,1151.15,1504596,1808224634.75,77950,1201.8,EQ
22-12-2023,1214.7,1222.5,1205.0,1208.75,1208.55,1400.0,1151.15,701235,849952706.45,42858,1212.08,EQ
26-12-2023,1210.0,1217.95,1200.5,1202.75,1204.9,1400.0,1151.15,575200,694639223.3,39544,1207.65,EQ
27-12-2023,1208.0,1212.9,1196.2,1199.6,1199.9,1400.0,1151.15,656321,789147180.3,35135,1202.38,EQ
28-12-2023,1200.0,1201.85,1169.0,1175.95,1179.0,1400.0,1151.15,1913710,2260592585.45,130102,1181.26,EQ
29-12-2023,1180.0,1188.0,1170.45,1180.15,1182.0,1400.0,1151.15,974333,1150778263.5,54434,1181.09,EQ
01-01-2024,1184.0,1197.9,1180.0,1180.45,1180.0,1400.0,1151.15,794228,941744990.3,54162,1185.74,EQ
02-01-2024,1184.0,1188.9,1177.0,1181.95,1183.65,1400.0,1151.15,720393,852528674.0,38674,1183.42,EQ
03-01-2024,1180.0,1185.0,1168.0,1172.05,1173.75,1400.0,1151.15,937005,1099621181.05,59940,1173.55,EQ
04-01-2024,1175.0,1181.55,1169.45,1171.35,1171.45,1400.0,1151.15,706442,829565173.6,49951,1174.29,EQ
05-01-2024,1173.5,1179.35,1170.0,1171.35,1171.2,1400.0,1151.15,824122,967861306.75,36485,1174.42,EQ
08-01-2024,1174.7,1179.0,1168.6,1171.5,1171.8,1400.0,1151.15,475513,557412438.9,36153,1172.23,EQ
09-01-2024,1178.1,1179.0,1165.0,1166.85,1166.7,1400.0,1151.15,733601,858991054.9,49064,1170.92,EQ
10-01-2024,1170.1,1170.1,1156.0,1163.25,1163.0,1400.0,1151.15,626896,728469651.8,49219,1162.03,EQ
11-01-2024,1167.95,1169.0,1158.0,1159.6,1161.55,1400.0,1151.15,636047,738210555.0,46349,1160.62,EQ
12-01-2024,1163.7,1202.0,1160.1,1167.45,1169.3,1400.0,1151.15,2470848,2918141732.25,96862,1181.03,EQ
15-01-2024,1180.0,1184.9,1169.15,1171.75,1173.0,1400.0,1151.15,757174,888911703.1,42561,1173.99,EQ
16-01-2024,1171.9,1171.9,1160.0,1163.3,1163.0,1400.0,1151.15,729567,849225565.55,69998,1164.01,EQ
17-01-2024,1157.9,1166.4,1153.25,1156.5,1158.5,1400.0,1151.15,718624,832656443.1,64680,1158.68,EQ
18-01-2024,1155.1,1160.9,1130.1,1150.4,1151.95,1400.0,1130.1,763685,877110027.6,53028,1148.52,EQ
