DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-07-2021,2111.85,2534.2,2111.85,2312.2,2303.3,2534.2,2111.85,7860870,18115266961.55,550733,2304.49,EQ
30-07-2021,2323.0,2380.0,2250.0,2267.85,2270.0,2534.2,2111.85,1432655,3299897869.6,94519,2303.34,EQ
02-08-2021,2279.0,2287.7,2248.0,2263.25,2269.0,2534.2,2111.85,493438,1116825305.9,30437,2263.35,EQ
03-08-2021,2264.95,2280.15,2250.0,2268.2,2256.0,2534.2,2111.85,329279,744734072.75,20128,2261.71,EQ
04-08-2021,2268.2,2274.0,2208.75,2213.1,2211.25,2534.2,2111.85,349040,780907808.4,19834,2237.3,EQ
05-08-2021,2212.25,2215.0,2120.1,2131.65,2140.0,2534.2,2111.85,303604,649749950.0,24754,2140.12,EQ
06-08-2021,2131.65,2189.0,2110.0,2134.4,2144.25,2534.2,2110.0,236079,507650870.7,15683,2150.34,EQ
09-08-2021,2144.25,2156.7,2060.85,2079.2,2075.0,2534.2,2060.85,211519,440970858.85,22509,2084.78,EQ
10-08-2021,2070.0,2078.0,2017.85,2043.85,2041.9,2534.2,2017.85,193101,393499231.7,19045,2037.79,EQ
11-08-2021,2044.0,2058.0,2001.0,2011.15,2005.0,2534.2,2001.0,132078,266862276.85,12706,2020.49,EQ
12-08-2021,2034.0,2164.85,2017.05,2124.35,2130.0,2534.2,2001.0,382918,810998122.15,26242,2117.94,EQ
13-08-2021,2134.0,2196.3,2131.05,2158.45,2151.9,2534.2,2001.0,182102,394595536.7,15386,2166.89,EQ
16-08-2021,2130.0,2168.0,2061.0,2128.65,2165.0,2534.2,2001.0,99656,211227773.0,8727,2119.57,EQ
17-08-2021,2162.65,2185.0,2128.0,2170.55,2165.0,2534.2,2001.0,153911,332149271.55,13411,2158.06,EQ
18-08-2021,2174.0,2230.0,2148.4,2202.5,2199.85,2534.2,2001.0,170423,375015068.0,13760,2200.5,EQ
20-08-2021,2180.0,2258.0,2157.35,2200.0,2200.0,2534.2,2001.0,188841,417279511.6,11679,2209.69,EQ
23-08-2021,2244.4,2244.4,2129.3,2183.35,2185.0,2534.2,2001.0,87957,192241706.35,7916,2185.63,EQ
24-08-2021,2183.7,2185.0,2120.0,2144.25,2132.0,2534.2,2001.0,60029,129735483.55,6593,2161.21,EQ
25-08-2021,2090.0,2222.0,2053.25,2191.55,2190.0,2534.2,2001.0,290102,617391883.65,24682,2128.19,EQ
26-08-2021,2181.0,2181.0,2111.0,2138.55,2120.0,2534.2,2001.0,209220,449069260.5,16680,2146.4,EQ
27-08-2021,2120.0,2148.55,2080.0,2085.25,2084.0,2534.2,2001.0,221377,466155184.4,9680,2105.71,EQ
30-08-2021,2088.0,2128.0,2071.0,2077.25,2075.95,2534.2,2001.0,109506,229317241.5,13876,2094.11,EQ
31-08-2021,2088.0,2100.0,2051.0,2060.8,2061.0,2534.2,2001.0,71756,148796710.55,12458,2073.65,EQ
01-09-2021,2074.0,2078.9,2044.0,2050.45,2050.3,2534.2,2001.0,62935,129494388.3,10752,2057.59,EQ
02-09-2021,2054.0,2080.65,2026.0,2038.9,2040.0,2534.2,2001.0,78604,161494281.9,8662,2054.53,EQ
03-09-2021,2048.0,2079.7,2041.0,2048.9,2046.0,2534.2,2001.0,140229,288796411.7,13312,2059.46,EQ
06-09-2021,2062.0,2083.0,2035.0,2039.25,2039.0,2534.2,2001.0,103904,213236938.5,12543,2052.25,EQ
07-09-2021,2047.0,2099.05,2031.1,2065.95,2062.0,2534.2,2001.0,124097,257087507.2,18273,2071.67,EQ
08-09-2021,2073.0,2073.0,2042.5,2056.4,2055.0,2534.2,2001.0,32946,67774369.9,4434,2057.14,EQ
09-09-2021,2041.0,2066.2,2041.0,2047.1,2046.0,2534.2,2001.0,28814,59082828.45,4103,2050.49,EQ
13-09-2021,2045.9,2068.45,2043.1,2053.5,2050.0,2534.2,2001.0,32321,66422005.15,4140,2055.07,EQ
14-09-2021,2059.0,2065.0,2041.55,2059.0,2060.05,2534.2,2001.0,44506,91499839.8,5547,2055.9,EQ
15-09-2021,2064.0,2195.0,2060.0,2181.05,2194.0,2534.2,2001.0,220711,472884719.8,19616,2142.55,EQ
16-09-2021,2216.4,2256.9,2170.55,2182.95,2174.0,2534.2,2001.0,170249,376150627.2,17693,2209.41,EQ
17-09-2021,2188.0,2188.0,2085.0,2105.15,2103.0,2534.2,2001.0,70261,149698112.8,9175,2130.6,EQ
20-09-2021,2080.0,2150.0,2079.65,2092.65,2080.0,2534.2,2001.0,49877,105081019.1,6630,2106.8,EQ
21-09-2021,2083.0,2146.5,2062.55,2135.6,2142.35,2534.2,2001.0,54112,114110527.95,6985,2108.78,EQ
22-09-2021,2181.6,2316.6,2152.15,2265.35,2262.55,2534.2,2001.0,444739,1005078920.8,39639,2259.93,EQ
23-09-2021,2280.0,2355.0,2231.95,2248.55,2237.0,2534.2,2001.0,215411,494585416.3,25096,2296.01,EQ
24-09-2021,2256.8,2273.95,2197.15,2207.95,2216.0,2534.2,2001.0,55394,123101341.85,6788,2222.29,EQ
27-09-2021,2218.0,2235.0,2160.1,2185.25,2175.0,2534.2,2001.0,70392,154898068.85,8740,2200.51,EQ
28-09-2021,2188.0,2225.8,2165.0,2210.3,2216.0,2534.2,2001.0,51609,113338317.95,6305,2196.1,EQ
