DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-05-2024,1426.0,1455.95,1275.0,1406.3,1404.0,1455.95,1275.0,12003210,16703739678.55,388674,1391.61,EQ
16-05-2024,1419.0,1473.0,1400.05,1460.25,1458.05,1473.0,1275.0,1757996,2547131588.25,101425,1448.88,EQ
17-05-2024,1440.0,1490.0,1426.0,1451.65,1452.0,1490.0,1275.0,725596,1057205720.45,42686,1457.02,EQ
18-05-2024,1459.8,1482.1,1450.15,1464.5,1460.0,1490.0,1275.0,72083,105737991.4,3997,1466.89,EQ
21-05-2024,1454.0,1459.95,1390.95,1416.6,1415.0,1490.0,1275.0,291122,415211325.3,27293,1426.25,EQ
22-05-2024,1413.0,1432.0,1385.75,1395.55,1391.0,1490.0,1275.0,192390,269597663.3,23464,1401.31,EQ
23-05-2024,1404.65,1427.0,1385.0,1415.5,1415.0,1490.0,1275.0,300708,424577676.95,15321,1411.93,EQ
24-05-2024,1400.0,1415.45,1380.9,1387.05,1384.0,1490.0,1275.0,113873,158522391.95,8199,1392.1,EQ
27-05-2024,1387.05,1462.8,1387.05,1436.0,1440.0,1490.0,1275.0,472113,679687030.35,17314,1439.67,EQ
28-05-2024,1454.0,1454.0,1412.1,1417.25,1415.05,1490.0,1275.0,201068,286783382.8,19983,1426.3,EQ
29-05-2024,1410.0,1432.0,1409.0,1418.2,1416.0,1490.0,1275.0,116261,165082971.55,5360,1419.93,EQ
30-05-2024,1420.0,1444.45,1386.05,1395.05,1402.0,1490.0,1275.0,72200,101843608.25,7349,1410.58,EQ
31-05-2024,1408.95,1445.0,1369.25,1408.0,1401.0,1490.0,1275.0,257875,364198966.0,18565,1412.31,EQ
03-06-2024,1438.0,1455.0,1382.0,1447.45,1442.55,1490.0,1275.0,309370,440772347.45,20718,1424.74,EQ
04-06-2024,1438.0,1438.0,1231.65,1376.2,1372.0,1490.0,1231.65,240619,328354363.3,18396,1364.62,EQ
05-06-2024,1377.0,1424.0,1320.55,1402.3,1400.15,1490.0,1231.65,123665,171621404.6,13078,1387.79,EQ
06-06-2024,1418.0,1455.0,1392.25,1415.2,1407.35,1490.0,1231.65,102889,146930190.3,10455,1428.05,EQ
07-06-2024,1417.0,1574.2,1400.0,1525.5,1525.0,1574.2,1231.65,378686,573494017.8,38470,1514.43,EQ
10-06-2024,1533.35,1596.85,1500.05,1532.65,1527.85,1596.85,1231.65,161584,249500181.75,15657,1544.09,EQ
11-06-2024,1532.0,1560.65,1509.0,1557.25,1557.45,1596.85,1231.65,118196,182281953.8,11900,1542.2,EQ
12-06-2024,1575.65,1579.95,1520.95,1530.05,1529.0,1596.85,1231.65,148978,231544043.4,9570,1554.22,EQ
13-06-2024,1549.0,1580.0,1522.3,1563.45,1580.0,1596.85,1231.65,124733,193380116.1,13860,1550.35,EQ
14-06-2024,1590.6,1630.65,1575.1,1606.6,1600.0,1630.65,1231.65,262154,420552110.75,23191,1604.22,EQ
18-06-2024,1610.0,1625.0,1577.9,1607.25,1615.0,1630.65,1231.65,150975,242307190.75,17030,1604.95,EQ
19-06-2024,1624.95,1624.95,1553.2,1582.3,1581.5,1630.65,1231.65,86076,136306672.95,9843,1583.56,EQ
20-06-2024,1598.95,1612.65,1567.5,1600.05,1595.0,1630.65,1231.65,108081,171636696.65,8627,1588.04,EQ
21-06-2024,1614.0,1614.0,1572.9,1588.1,1593.0,1630.65,1231.65,71572,113530305.0,11603,1586.24,EQ
24-06-2024,1649.45,1764.3,1633.15,1699.85,1710.95,1764.3,1231.65,1347592,2285821048.8,76556,1696.23,EQ
25-06-2024,1702.0,1907.45,1702.0,1864.65,1869.0,1907.45,1231.65,995915,1805005746.85,107234,1812.41,EQ
26-06-2024,1864.6,1933.0,1834.8,1894.4,1890.0,1933.0,1231.65,393445,748533960.65,29700,1902.51,EQ
27-06-2024,1899.0,1917.7,1848.05,1899.75,1902.0,1933.0,1231.65,229285,435230350.0,21957,1898.21,EQ
28-06-2024,1900.0,1920.0,1884.4,1902.9,1915.0,1933.0,1231.65,143237,272148451.6,11139,1899.99,EQ
01-07-2024,1891.1,1918.95,1890.0,1899.2,1894.7,1933.0,1231.65,54814,104419456.3,6680,1904.98,EQ
02-07-2024,1904.85,1909.2,1756.0,1830.85,1832.0,1933.0,1231.65,297951,541268899.8,27830,1816.64,EQ
03-07-2024,1848.75,1848.75,1783.6,1800.4,1801.0,1933.0,1231.65,151002,272338505.2,14324,1803.54,EQ
04-07-2024,1819.0,1879.95,1801.45,1871.25,1869.85,1933.0,1231.65,121157,225525032.25,17514,1861.43,EQ
05-07-2024,1879.75,1890.0,1832.35,1844.05,1840.0,1933.0,1231.65,45970,85223536.65,7394,1853.89,EQ
08-07-2024,1870.0,1870.0,1801.05,1819.7,1824.35,1933.0,1231.65,37271,67875947.25,5151,1821.15,EQ
09-07-2024,1831.0,1859.0,1811.55,1823.35,1827.1,1933.0,1231.65,30540,55946692.45,3845,1831.92,EQ
10-07-2024,1837.95,1869.0,1780.25,1858.8,1867.0,1933.0,1231.65,89236,163814707.8,10010,1835.75,EQ
