DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
29-12-2016,112.95,115.0,105.5,106.2,105.8,115.0,105.5,61775,6723244.0,1338,108.83,EQ
30-12-2016,109.4,113.75,106.0,108.05,107.4,115.0,105.5,100911,11124105.35,1423,110.24,EQ
02-01-2017,108.0,111.75,107.0,110.65,110.0,115.0,105.5,43862,4814178.05,683,109.76,EQ
03-01-2017,111.95,130.95,108.2,124.45,123.65,130.95,105.5,783667,96973199.1,10119,123.74,EQ
04-01-2017,124.0,132.85,120.5,130.05,129.3,132.85,105.5,433064,56059936.15,6860,129.45,EQ
05-01-2017,130.0,131.9,123.0,125.05,124.95,132.85,105.5,112491,14251612.3,1909,126.69,EQ
06-01-2017,123.0,131.9,121.2,125.3,124.0,132.85,105.5,195909,24804028.8,2998,126.61,EQ
09-01-2017,125.25,125.85,121.0,122.45,121.1,132.85,105.5,62086,7616746.2,836,122.68,EQ
10-01-2017,122.45,125.5,121.2,122.75,122.2,132.85,105.5,49367,6079487.95,833,123.15,EQ
11-01-2017,123.95,128.9,121.6,124.2,124.75,132.85,105.5,68177,8553404.25,1154,125.46,EQ
12-01-2017,124.55,125.45,119.55,120.9,120.0,132.85,105.5,39248,4796348.05,504,122.21,EQ
13-01-2017,121.2,122.85,117.0,118.5,118.95,132.85,105.5,44826,5376298.75,577,119.94,EQ
16-01-2017,119.05,122.0,116.0,117.2,117.0,132.85,105.5,25730,3050776.55,411,118.57,EQ
17-01-2017,117.15,125.75,116.0,119.75,119.1,132.85,105.5,71107,8631918.95,1794,121.39,EQ
18-01-2017,121.65,123.85,117.5,119.65,120.0,132.85,105.5,31899,3864547.2,716,121.15,EQ
19-01-2017,120.55,121.55,118.0,118.4,118.15,132.85,105.5,15745,1880042.9,398,119.41,EQ
20-01-2017,117.15,121.0,115.4,116.7,117.45,132.85,105.5,22648,2673877.45,334,118.06,EQ
23-01-2017,116.0,120.4,116.0,116.6,116.2,132.85,105.5,11907,1400787.45,268,117.64,EQ
24-01-2017,117.0,121.5,116.05,116.35,117.2,132.85,105.5,10038,1176066.9,236,117.16,EQ
25-01-2017,119.6,121.0,115.25,115.45,116.5,132.85,105.5,30552,3568737.95,429,116.81,EQ
27-01-2017,117.0,118.4,110.05,114.25,113.0,132.85,105.5,27264,3123184.95,358,114.55,EQ
30-01-2017,112.0,116.0,109.0,110.25,109.65,132.85,105.5,20320,2283393.45,289,112.37,EQ
31-01-2017,109.25,113.0,100.3,107.15,108.0,132.85,100.3,20223,2218987.15,410,109.73,EQ
01-02-2017,105.3,115.0,105.25,112.3,111.25,132.85,100.3,22879,2494502.4,309,109.03,EQ
02-02-2017,112.0,114.75,109.0,110.15,109.1,132.85,100.3,11321,1260341.3,385,111.33,EQ
