DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,327.05,340.0,326.25,337.55,,,,138200,46277380.0,,334.86,EQ
02-01-1996,342.0,346.7,327.0,330.15,,,,329500,111747160.0,,339.14,EQ
03-01-1996,330.15,337.1,328.05,328.85,,,,129500,42980335.0,,331.89,EQ
04-01-1996,328.85,334.9,323.1,333.0,,,,137400,45134335.0,,328.49,EQ
05-01-1996,333.0,333.5,329.25,330.4,,,,77700,25726650.0,,331.1,EQ
08-01-1996,330.4,331.75,325.4,326.25,,,,82500,27049460.0,,327.87,EQ
09-01-1996,326.0,326.0,310.0,314.15,,,,174200,55588520.0,,319.11,EQ
10-01-1996,314.15,319.25,312.25,314.5,,,,85400,27012375.0,,316.3,EQ
11-01-1996,314.5,320.5,312.0,319.25,,,,114700,36297325.0,,316.45,EQ
12-01-1996,319.0,322.0,318.0,319.55,,,,65600,20988610.0,,319.95,EQ
15-01-1996,319.55,319.95,315.95,317.25,,,,35000,11126225.0,,317.89,EQ
16-01-1996,317.25,323.0,316.0,320.05,,,,117700,37552050.0,,319.05,EQ
17-01-1996,320.05,319.0,313.4,314.55,,,,76300,24157810.0,,316.62,EQ
18-01-1996,314.55,316.8,307.0,313.45,,,,106400,33203905.0,,312.07,EQ
19-01-1996,313.45,326.0,313.5,322.65,,,,288400,92565150.0,,320.96,EQ
22-01-1996,323.9,326.95,323.0,325.85,,,,79500,25867055.0,,325.37,EQ
23-01-1996,325.0,335.0,323.0,330.85,,,,209900,68976260.0,,328.61,EQ
24-01-1996,330.85,325.95,320.05,323.45,,,,60600,19523470.0,,322.17,EQ
25-01-1996,326.5,334.5,325.0,330.25,,,,108800,35966205.0,,330.57,EQ
29-01-1996,330.25,341.2,330.0,340.05,,,,123600,41566480.0,,336.3,EQ
30-01-1996,344.0,348.5,330.0,339.6,,,,160400,54975915.0,,342.74,EQ
31-01-1996,339.6,342.0,331.0,333.7,,,,74300,25004555.0,,336.54,EQ
01-02-1996,333.7,339.0,333.6,338.5,,,,38800,13059895.0,,336.6,EQ
02-02-1996,338.5,348.0,339.0,345.7,,,,75300,25866400.0,,343.51,EQ
05-02-1996,345.7,375.0,345.1,354.7,,,,157000,55966025.0,,356.47,EQ
06-02-1996,354.7,357.0,320.0,336.2,,,,90700,31392220.0,,346.11,EQ
07-02-1996,336.2,352.0,332.0,350.55,,,,75400,26186725.0,,347.3,EQ
08-02-1996,352.0,375.0,352.0,371.2,,,,106500,38586495.0,,362.31,EQ
09-02-1996,371.2,384.0,365.0,382.1,,,,118100,44282750.0,,374.96,EQ
