DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-03-1996,45.0,45.0,45.0,45.0,,,,100,4500.0,,45.0,EQ
18-04-1996,45.0,45.0,45.0,45.0,,,,200,9000.0,,45.0,EQ
19-04-1996,43.5,44.0,43.5,44.0,,,,800,35050.0,,43.81,EQ
22-04-1996,45.0,45.15,45.0,45.1,,,,600,27045.0,,45.08,EQ
23-04-1996,45.0,45.0,45.0,45.0,,,,200,9000.0,,45.0,EQ
01-05-1996,42.0,42.0,42.0,42.0,,,,100,4200.0,,42.0,EQ
02-05-1996,41.0,41.0,41.0,41.0,,,,100,4100.0,,41.0,EQ
07-05-1996,41.0,43.0,43.0,43.0,,,,100,4300.0,,43.0,EQ
08-05-1996,42.5,43.0,42.5,43.0,,,,800,34300.0,,42.88,EQ
10-05-1996,41.0,41.0,41.0,41.0,,,,500,20500.0,,41.0,EQ
31-05-1996,41.0,41.0,41.0,41.0,,,,100,4100.0,,41.0,EQ
07-06-1996,40.0,40.0,40.0,40.0,,,,100,4000.0,,40.0,EQ
12-06-1996,41.0,41.0,41.0,41.0,,,,500,20500.0,,41.0,EQ
13-06-1996,40.0,41.0,40.0,40.0,,,,1500,61000.0,,40.67,EQ
19-06-1996,40.0,40.0,40.0,40.0,,,,400,16000.0,,40.0,EQ
20-06-1996,41.5,41.5,41.5,41.5,,,,100,4150.0,,41.5,EQ
24-06-1996,42.0,42.0,40.0,41.0,,,,800,32825.0,,41.03,EQ
25-06-1996,42.0,44.0,42.0,43.0,,,,1000,43000.0,,43.0,EQ
26-06-1996,43.0,43.95,43.0,43.6,,,,2300,99135.0,,43.1,EQ
27-06-1996,42.0,42.0,40.0,40.1,,,,400,16410.0,,41.03,EQ
28-06-1996,40.0,41.5,40.0,41.5,,,,600,24600.0,,41.0,EQ
01-07-1996,39.5,39.95,39.5,39.95,,,,400,15890.0,,39.73,EQ
04-07-1996,39.0,40.0,39.0,40.0,,,,200,7900.0,,39.5,EQ
08-07-1996,40.0,40.0,40.0,40.0,,55.0,39.0,400,16000.0,,40.0,EQ
09-07-1996,40.0,40.0,40.0,40.0,,55.0,39.0,200,8000.0,,40.0,EQ
19-07-1996,40.0,40.0,40.0,40.0,,55.0,39.0,300,12000.0,,40.0,EQ
01-08-1996,36.0,36.0,36.0,36.0,,55.0,39.0,100,3600.0,,36.0,EQ
05-08-1996,34.0,34.0,34.0,34.0,,55.0,36.0,100,3400.0,,34.0,EQ
06-08-1996,32.0,32.0,32.0,32.0,,55.0,34.0,100,3200.0,,32.0,EQ
16-08-1996,31.0,31.0,31.0,31.0,,55.0,32.0,100,3100.0,,31.0,EQ
29-08-1996,32.5,32.5,32.5,32.5,,55.0,31.0,100,3250.0,,32.5,EQ
30-08-1996,32.45,32.5,32.45,32.5,,55.0,31.0,700,22745.0,,32.49,EQ
02-09-1996,33.5,33.5,33.5,33.5,,55.0,31.0,900,30150.0,,33.5,EQ
03-09-1996,34.0,34.0,33.0,33.0,,55.0,31.0,1100,36650.0,,33.32,EQ
