DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-06-2002,10.05,10.1,9.15,9.15,9.15,0.0,0.0,202,1945.15,,9.63,EQ
12-06-2002,9.2,11.0,9.2,11.0,11.0,10.1,9.15,253,2592.75,,10.25,EQ
13-06-2002,11.0,11.0,10.15,11.0,11.0,11.0,9.15,101,1110.15,,10.99,EQ
14-06-2002,12.0,12.1,12.0,12.1,12.1,11.0,9.15,850,10220.0,,12.02,EQ
17-06-2002,11.75,12.85,11.75,12.8,12.85,12.1,9.15,705,8657.0,,12.28,EQ
18-06-2002,12.8,12.8,11.8,12.05,11.8,12.85,9.15,1230,14941.0,,12.15,EQ
19-06-2002,12.0,12.0,11.7,11.7,11.7,12.85,9.15,850,10045.0,,11.82,EQ
20-06-2002,11.5,12.4,11.5,12.4,12.4,12.85,9.15,700,8110.0,,11.59,EQ
21-06-2002,11.45,11.7,11.4,11.4,11.4,12.85,9.15,601,6988.95,,11.63,EQ
24-06-2002,11.05,11.05,11.0,11.0,11.0,12.85,9.15,300,3310.0,,11.03,EQ
26-06-2002,12.1,12.1,11.75,12.0,12.1,12.85,9.15,250,3007.5,,12.03,EQ
27-06-2002,11.2,11.2,11.1,11.2,11.1,12.85,9.15,600,6710.0,,11.18,EQ
28-06-2002,10.2,10.4,10.2,10.4,10.4,12.85,9.15,150,1550.0,,10.33,EQ
01-07-2002,10.4,10.4,10.4,10.4,10.4,12.85,9.15,100,1040.0,,10.4,EQ
02-07-2002,10.2,10.2,10.2,10.2,10.2,12.85,9.15,150,1530.0,,10.2,EQ
03-07-2002,9.35,10.2,9.35,10.2,10.2,12.85,9.15,350,3527.5,,10.08,EQ
04-07-2002,10.0,10.9,10.0,10.9,10.9,12.85,9.15,1650,17892.5,,10.84,EQ
05-07-2002,10.25,10.75,10.25,10.75,10.75,12.85,9.15,400,4225.0,,10.56,EQ
08-07-2002,10.0,10.25,9.8,10.25,10.25,12.85,9.15,452,4619.8,,10.22,EQ
09-07-2002,10.9,11.0,10.75,11.0,11.0,12.85,9.15,1300,14100.0,,10.85,EQ
10-07-2002,10.25,10.8,10.1,10.6,10.6,12.85,9.15,350,3635.0,,10.39,EQ
11-07-2002,9.85,9.85,9.55,9.55,9.55,12.85,9.15,450,4337.5,,9.64,EQ
12-07-2002,10.5,10.55,10.5,10.55,10.55,12.85,9.15,251,2638.05,,10.51,EQ
15-07-2002,9.55,10.75,9.55,10.75,10.75,12.85,9.15,51,488.25,,9.57,EQ
16-07-2002,11.75,11.75,10.0,10.0,10.95,12.85,9.15,102,1022.7,,10.03,EQ
17-07-2002,10.0,10.8,10.0,10.8,10.8,12.85,9.15,26,260.8,,10.03,EQ
18-07-2002,11.35,11.35,11.35,11.35,11.35,12.85,9.15,1,11.35,,11.35,EQ
19-07-2002,12.0,12.0,12.0,12.0,12.0,12.85,9.15,1,12.0,,12.0,EQ
24-07-2002,13.0,13.0,10.8,10.8,10.8,12.85,9.15,51,553.0,,10.84,EQ
25-07-2002,9.9,9.9,9.9,9.9,9.9,13.0,9.15,200,1980.0,,9.9,EQ
29-07-2002,10.35,10.35,10.35,10.35,10.35,13.0,9.15,2,20.7,,10.35,EQ
30-07-2002,9.5,9.5,9.5,9.5,9.5,13.0,9.15,500,4750.0,,9.5,EQ
31-07-2002,9.25,9.25,9.25,9.25,9.25,13.0,9.15,25,231.25,,9.25,EQ
02-08-2002,8.5,8.5,8.5,8.5,8.5,13.0,9.15,100,850.0,,8.5,EQ
06-08-2002,8.05,9.2,8.05,9.2,9.2,13.0,8.5,51,411.7,,8.07,EQ
