DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
13-06-2007,489.8,499.0,420.0,480.9,492.0,499.0,420.0,18404145,8831865503.25,,479.88,EQ
14-06-2007,494.0,516.7,470.0,486.35,486.65,516.7,420.0,6747119,3287228326.35,,487.2,EQ
15-06-2007,494.3,494.3,465.1,473.4,472.35,516.7,420.0,2171800,1028260400.4,,473.46,EQ
18-06-2007,476.1,562.5,448.25,525.4,551.6,562.5,420.0,5266814,2671225656.75,,507.18,EQ
19-06-2007,550.0,560.0,526.35,541.55,535.15,562.5,420.0,4390001,2381052564.0,,542.38,EQ
20-06-2007,540.0,543.0,518.0,529.0,524.0,562.5,420.0,1433574,757768744.5,,528.59,EQ
21-06-2007,525.0,628.0,520.2,613.15,609.0,628.0,420.0,7025442,4131151929.35,,588.03,EQ
22-06-2007,612.0,617.0,583.0,594.25,585.7,628.0,420.0,3772358,2272971754.7,,602.53,EQ
25-06-2007,600.0,600.0,572.0,576.15,572.0,628.0,420.0,1003351,584327847.95,,582.38,EQ
26-06-2007,571.0,637.0,571.0,618.9,611.0,637.0,420.0,4190678,2570743607.7,,613.44,EQ
27-06-2007,610.0,623.9,590.0,592.95,591.0,637.0,420.0,1678143,1021574013.8,,608.75,EQ
28-06-2007,598.4,609.5,584.6,588.7,587.2,637.0,420.0,847845,507825642.9,,598.96,EQ
29-06-2007,590.1,602.95,571.0,573.85,574.5,637.0,420.0,540238,317056379.05,,586.88,EQ
02-07-2007,580.05,614.55,565.1,594.35,593.15,637.0,420.0,1599974,954675586.95,,596.68,EQ
03-07-2007,600.0,612.4,592.55,596.35,593.0,637.0,420.0,845742,509442257.85,,602.36,EQ
04-07-2007,598.65,599.0,577.2,580.25,579.0,637.0,420.0,270490,158856170.5,,587.29,EQ
05-07-2007,583.95,584.0,552.0,566.25,566.5,637.0,420.0,258243,146055645.5,,565.57,EQ
06-07-2007,568.0,587.5,559.0,564.3,562.25,637.0,420.0,316627,182167231.35,,575.34,EQ
09-07-2007,569.45,580.9,562.0,565.2,566.7,637.0,420.0,181140,103351234.85,,570.56,EQ
10-07-2007,569.0,616.7,566.5,595.25,592.0,637.0,420.0,1401416,845297108.15,,603.17,EQ
11-07-2007,596.0,598.0,578.1,581.8,583.0,637.0,420.0,208711,122707186.95,,587.93,EQ
12-07-2007,586.0,678.0,586.0,650.65,650.0,678.0,420.0,2354919,1522282547.75,,646.43,EQ
13-07-2007,644.0,672.0,632.65,637.0,637.6,678.0,420.0,875297,572511556.15,,654.08,EQ
16-07-2007,640.1,655.0,631.6,637.3,639.7,678.0,420.0,454224,291936819.25,,642.72,EQ
17-07-2007,643.2,667.8,636.6,640.3,641.5,678.0,420.0,411145,268360217.95,,652.71,EQ
18-07-2007,642.0,650.0,613.2,622.7,628.05,678.0,420.0,286562,181564930.5,,633.6,EQ
19-07-2007,625.0,637.95,615.2,625.3,630.0,678.0,420.0,178653,112162100.6,,627.82,EQ
20-07-2007,635.3,635.3,606.0,611.1,610.5,678.0,420.0,120610,74577841.8,,618.34,EQ
23-07-2007,601.0,612.7,585.5,593.7,595.0,678.0,420.0,105365,62757305.4,,595.62,EQ
24-07-2007,598.7,618.95,595.5,601.35,605.0,678.0,420.0,177979,107990424.65,,606.76,EQ
25-07-2007,601.0,605.0,577.0,582.4,587.0,678.0,420.0,70940,41786966.1,,589.05,EQ
26-07-2007,592.0,592.0,575.3,580.75,583.0,678.0,420.0,59199,34466293.6,,582.21,EQ
27-07-2007,581.4,581.4,540.0,546.3,544.95,678.0,420.0,70146,38897433.9,,554.52,EQ
30-07-2007,550.0,571.0,530.1,536.7,537.0,678.0,420.0,63324,34641835.45,,547.06,EQ
31-07-2007,544.45,625.9,542.0,604.75,603.0,678.0,420.0,739645,445985565.05,,602.97,EQ
01-08-2007,603.0,603.0,496.3,516.05,527.0,678.0,420.0,464073,256140450.0,,551.94,EQ
02-08-2007,525.0,578.0,522.7,554.55,548.0,678.0,420.0,785836,440859129.75,,561.01,EQ
03-08-2007,560.2,582.0,558.1,563.05,560.25,678.0,420.0,349506,199624757.0,,571.16,EQ
06-08-2007,532.0,579.0,520.0,562.2,564.0,678.0,420.0,417166,235373040.05,,564.22,EQ
07-08-2007,574.0,599.0,565.1,572.9,569.1,678.0,420.0,422106,248228835.75,,588.07,EQ
08-08-2007,582.7,594.75,575.1,577.15,577.0,678.0,420.0,113038,65938620.25,,583.33,EQ
09-08-2007,590.0,610.95,567.1,572.35,575.0,678.0,420.0,406794,242124305.95,,595.2,EQ
10-08-2007,550.05,562.0,533.0,556.35,561.0,678.0,420.0,103064,56991735.15,,552.97,EQ
13-08-2007,563.0,588.0,562.0,572.55,571.5,678.0,420.0,99677,57500583.3,,576.87,EQ
14-08-2007,535.0,587.65,535.0,565.25,566.0,678.0,420.0,96260,55342700.9,,574.93,EQ
16-08-2007,542.45,558.7,526.0,535.6,535.05,678.0,420.0,59243,32269754.85,,544.7,EQ
17-08-2007,535.0,553.0,501.0,524.8,526.0,678.0,420.0,141795,74461294.9,,525.13,EQ
20-08-2007,600.0,600.0,521.1,528.35,526.0,678.0,420.0,81985,44359274.15,,541.07,EQ
21-08-2007,541.7,544.9,506.0,510.05,509.85,678.0,420.0,72845,38083167.6,,522.8,EQ
22-08-2007,516.0,524.0,494.0,510.7,512.0,678.0,420.0,86497,44193812.3,,510.93,EQ
23-08-2007,530.0,533.95,502.2,508.9,507.4,678.0,420.0,79175,41180443.05,,520.12,EQ
24-08-2007,512.0,532.0,505.0,516.25,517.0,678.0,420.0,72817,37725645.75,,518.09,EQ
27-08-2007,529.7,532.7,522.5,527.65,527.1,678.0,420.0,47414,25031366.4,,527.93,EQ
28-08-2007,533.0,540.9,525.25,534.15,535.0,678.0,420.0,63693,33999932.65,,533.81,EQ
29-08-2007,525.0,533.9,521.05,529.2,529.9,678.0,420.0,29431,15562063.15,,528.76,EQ
30-08-2007,540.0,564.0,531.5,549.35,550.0,678.0,420.0,107458,59048125.25,,549.5,EQ
31-08-2007,553.95,576.5,550.1,570.7,571.15,678.0,420.0,123898,70361010.5,,567.89,EQ
03-09-2007,576.4,584.95,572.0,575.4,572.0,678.0,420.0,39464,22832325.2,,578.56,EQ
04-09-2007,582.0,588.0,571.0,575.05,576.9,678.0,420.0,30060,17381781.25,,578.24,EQ
05-09-2007,577.1,643.8,575.0,616.9,620.0,678.0,420.0,468602,290305939.35,,619.51,EQ
06-09-2007,611.0,643.85,600.05,612.7,613.15,678.0,420.0,196798,123014046.5,,625.08,EQ
07-09-2007,622.7,631.8,607.1,610.25,615.0,678.0,420.0,120505,74454706.55,,617.86,EQ
10-09-2007,600.0,622.0,600.0,611.8,613.0,678.0,420.0,61548,37700102.8,,612.53,EQ
11-09-2007,619.85,734.2,615.15,734.2,734.2,734.2,420.0,1177524,819957868.85,,696.34,EQ
12-09-2007,742.0,844.0,711.15,718.7,724.0,844.0,420.0,1732203,1302884799.65,,752.15,EQ
13-09-2007,723.7,816.0,715.0,792.7,791.8,844.0,420.0,1486880,1142100507.6,,768.12,EQ
14-09-2007,805.0,825.0,761.0,773.95,777.0,844.0,420.0,1660124,1318833760.45,,794.42,EQ
17-09-2007,775.0,815.0,760.0,775.4,777.05,844.0,420.0,1061633,842886687.8,,793.95,EQ
18-09-2007,776.0,802.0,761.0,772.6,768.0,844.0,420.0,473538,370099784.8,,781.56,EQ
19-09-2007,780.0,801.7,761.75,766.45,765.2,844.0,420.0,335323,262105051.45,,781.65,EQ
20-09-2007,773.0,775.4,724.0,728.2,730.0,844.0,420.0,185416,138653762.9,,747.8,EQ
21-09-2007,722.05,772.05,721.55,726.6,726.0,844.0,420.0,279029,207545178.7,,743.81,EQ
24-09-2007,733.95,736.25,702.05,712.55,711.0,844.0,420.0,116375,83497285.55,,717.48,EQ
25-09-2007,719.4,749.0,701.0,707.65,706.0,844.0,420.0,163999,118140266.85,,720.37,EQ
26-09-2007,704.0,726.7,695.2,699.8,700.1,844.0,420.0,86348,61362359.3,,710.64,EQ
27-09-2007,708.45,725.9,685.2,689.05,688.0,844.0,420.0,112139,78971977.15,,704.23,EQ
28-09-2007,696.45,705.5,688.0,692.45,697.0,844.0,420.0,80070,55613241.6,,694.56,EQ
01-10-2007,699.45,726.5,697.3,702.9,701.0,844.0,420.0,189368,134511046.05,,710.32,EQ
03-10-2007,712.0,723.85,660.1,687.9,694.0,844.0,420.0,103200,72239078.55,,699.99,EQ
04-10-2007,694.0,694.0,666.05,676.4,675.0,844.0,420.0,58298,39657453.25,,680.25,EQ
05-10-2007,686.55,689.0,650.1,659.25,655.0,844.0,420.0,45930,30926289.35,,673.34,EQ
08-10-2007,670.0,671.0,601.2,609.5,609.7,844.0,420.0,55481,34824696.25,,627.69,EQ
09-10-2007,610.0,660.0,569.85,639.7,648.0,844.0,420.0,87042,53857350.0,,618.75,EQ
10-10-2007,650.9,668.2,633.25,636.6,638.15,844.0,420.0,41327,26735527.1,,646.93,EQ
11-10-2007,678.0,678.0,620.1,641.55,645.1,844.0,420.0,20993,13362913.7,,636.54,EQ
12-10-2007,625.0,665.0,620.6,628.3,622.5,844.0,420.0,32842,21051142.25,,640.98,EQ
15-10-2007,632.45,648.0,629.0,631.3,634.45,844.0,420.0,18939,12012257.0,,634.26,EQ
16-10-2007,650.0,672.0,590.25,613.4,614.0,844.0,420.0,21461,13387404.6,,623.8,EQ
17-10-2007,560.0,602.0,503.0,591.55,594.4,844.0,420.0,20015,11630497.4,,581.09,EQ
18-10-2007,630.0,658.0,539.4,599.45,588.0,844.0,420.0,44880,28041251.6,,624.81,EQ
19-10-2007,650.0,650.0,480.1,559.1,560.0,844.0,420.0,19593,11181067.25,,570.67,EQ
22-10-2007,550.0,584.7,550.0,577.1,576.9,844.0,420.0,18272,10489021.1,,574.05,EQ
23-10-2007,592.7,604.0,587.0,595.7,598.9,844.0,420.0,17994,10693602.5,,594.29,EQ
24-10-2007,602.0,615.0,592.0,595.15,592.0,844.0,420.0,14567,8769545.8,,602.01,EQ
25-10-2007,599.95,606.0,581.2,583.9,585.35,844.0,420.0,7209,4266737.9,,591.86,EQ
26-10-2007,589.0,668.0,571.0,642.75,644.0,844.0,420.0,67474,42560586.3,,630.77,EQ
29-10-2007,659.0,666.0,638.1,642.4,643.0,844.0,420.0,22054,14386416.25,,652.33,EQ
30-10-2007,575.25,708.0,575.25,694.35,690.0,844.0,420.0,75955,51211138.3,,674.23,EQ
31-10-2007,690.0,789.0,690.0,747.6,749.95,844.0,420.0,171108,128310170.4,,749.88,EQ
01-11-2007,775.0,775.0,727.0,754.65,757.0,844.0,420.0,50344,38088374.6,,756.56,EQ
02-11-2007,745.0,775.2,736.0,760.7,765.0,844.0,420.0,39748,30168349.95,,758.99,EQ
05-11-2007,758.0,772.9,730.0,758.65,760.0,844.0,420.0,15844,12032966.4,,759.47,EQ
06-11-2007,770.9,771.0,711.0,730.55,714.0,844.0,420.0,13635,10305050.8,,755.78,EQ
07-11-2007,712.7,745.0,696.0,712.05,705.1,844.0,420.0,8272,5914559.05,,715.01,EQ
08-11-2007,651.0,705.0,651.0,675.2,670.0,844.0,420.0,4931,3371353.85,,683.71,EQ
09-11-2007,651.0,689.0,650.0,665.55,656.0,844.0,420.0,1272,849832.55,,668.11,EQ
12-11-2007,641.0,726.0,632.0,686.8,687.0,844.0,420.0,8882,6091369.95,,685.81,EQ
13-11-2007,675.0,726.0,675.0,704.35,705.6,844.0,420.0,7120,5028157.15,,706.2,EQ
14-11-2007,725.9,757.4,708.95,728.45,724.0,844.0,420.0,23390,17319471.75,,740.46,EQ
15-11-2007,734.7,754.45,734.7,743.95,750.0,844.0,420.0,12041,8975722.65,,745.43,EQ
16-11-2007,745.0,761.0,735.25,753.45,751.0,844.0,420.0,14180,10628787.2,,749.56,EQ
19-11-2007,774.75,774.75,721.25,735.85,725.0,844.0,420.0,5850,4384933.8,,749.56,EQ
