DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-09-2022,495.0,515.0,481.0,509.65,510.0,515.0,481.0,2143945,1077673153.85,34948,502.66,BE
16-09-2022,505.0,505.0,492.6,493.7,499.0,515.0,481.0,215374,107242570.45,11368,497.94,BE
19-09-2022,494.75,499.0,489.0,497.15,497.0,515.0,481.0,140252,69359260.6,6764,494.53,BE
20-09-2022,497.15,509.9,490.0,493.45,493.1,515.0,481.0,171893,85069578.35,6859,494.9,BE
21-09-2022,495.0,505.0,490.0,493.2,492.0,505.0,490.0,201612,100240550.75,5263,497.2,EQ
22-09-2022,493.2,499.0,492.6,493.7,493.75,505.0,490.0,82122,40641824.5,3654,494.9,EQ
23-09-2022,495.95,496.35,486.5,490.1,487.0,505.0,486.5,100865,49594104.35,5506,491.69,EQ
26-09-2022,489.95,489.95,478.25,482.3,484.0,505.0,478.25,101873,49151744.95,7253,482.48,EQ
27-09-2022,488.0,488.0,480.0,480.95,482.0,505.0,478.25,61227,29540530.65,4047,482.48,EQ
28-09-2022,480.95,483.3,475.0,476.4,476.3,505.0,475.0,55243,26469641.15,4673,479.15,EQ
29-09-2022,487.5,489.8,476.1,481.65,481.0,505.0,475.0,64806,31167397.25,3247,480.93,EQ
30-09-2022,481.65,484.0,475.05,478.45,475.05,505.0,475.0,38768,18633399.75,3455,480.64,EQ
03-10-2022,482.55,483.45,473.5,474.5,476.95,505.0,473.5,47950,22838139.9,4524,476.29,EQ
04-10-2022,476.95,482.35,471.5,473.45,475.0,505.0,471.5,47965,22777712.25,4240,474.88,EQ
06-10-2022,479.1,482.65,474.8,480.25,481.0,505.0,471.5,45865,22018797.85,2848,480.08,EQ
07-10-2022,482.0,482.0,475.0,476.65,475.0,505.0,471.5,29209,13975663.05,2587,478.47,EQ
10-10-2022,480.0,480.0,470.0,470.9,471.5,505.0,470.0,47816,22633956.85,3168,473.36,EQ
11-10-2022,471.0,476.45,469.0,469.7,470.0,505.0,469.0,32487,15317954.7,3017,471.51,EQ
12-10-2022,468.0,471.05,464.45,467.0,468.45,505.0,464.45,85227,39870090.25,5607,467.81,EQ
13-10-2022,468.0,469.65,463.55,465.45,465.95,505.0,463.55,65116,30380499.85,5054,466.56,EQ
14-10-2022,467.85,474.85,465.0,466.15,468.0,505.0,463.55,51978,24363656.5,2984,468.73,EQ
17-10-2022,468.0,494.6,465.0,475.65,472.8,505.0,463.55,131322,62977686.3,5635,479.57,EQ
18-10-2022,479.3,490.0,476.35,486.05,487.0,505.0,463.55,63348,30807987.05,3503,486.33,EQ
19-10-2022,486.5,502.0,483.95,498.4,495.2,505.0,463.55,117064,57870940.7,5541,494.35,EQ
20-10-2022,500.0,500.0,481.1,485.35,487.6,505.0,463.55,48288,23745955.05,3361,491.76,EQ
21-10-2022,486.0,494.4,481.0,483.15,484.5,505.0,463.55,29622,14437286.55,2504,487.38,EQ
24-10-2022,494.0,494.0,483.5,490.15,490.0,505.0,463.55,13949,6859876.5,1126,491.78,EQ
25-10-2022,492.0,493.4,484.05,487.15,485.0,505.0,463.55,25312,12376692.85,1743,488.97,EQ
27-10-2022,488.0,537.65,487.15,514.35,518.0,537.65,463.55,593555,306404598.95,17537,516.22,EQ
28-10-2022,522.0,525.0,498.05,507.75,506.5,537.65,463.55,143964,73573884.5,6354,511.06,EQ
31-10-2022,510.95,513.95,501.0,503.0,502.5,537.65,463.55,79569,40422437.85,3163,508.02,EQ
01-11-2022,503.5,511.0,503.35,504.95,505.0,537.65,463.55,35234,17829193.55,2503,506.02,EQ
02-11-2022,503.0,504.95,493.6,494.65,494.0,537.65,463.55,63561,31695983.15,3646,498.67,EQ
03-11-2022,494.65,514.6,492.4,502.5,503.0,537.65,463.55,83741,42379672.85,5124,506.08,EQ
04-11-2022,502.5,511.45,501.0,505.85,504.3,537.65,463.55,53774,27282876.35,4663,507.36,EQ
07-11-2022,511.45,526.9,506.45,509.9,509.1,537.65,463.55,197647,101643851.35,8278,514.27,EQ
09-11-2022,512.0,518.6,506.15,508.5,509.0,537.65,463.55,103488,53006176.9,6105,512.2,EQ
10-11-2022,509.0,511.95,500.15,506.95,508.95,537.65,463.55,55708,28220735.6,4539,506.58,EQ
11-11-2022,512.0,516.5,491.55,501.95,504.45,537.65,463.55,78811,40220702.55,4338,510.34,EQ
14-11-2022,504.0,508.2,500.0,503.75,503.5,537.65,463.55,53761,27124832.65,3777,504.54,EQ
15-11-2022,503.5,507.45,502.8,504.0,503.6,537.65,463.55,23677,11964678.8,1496,505.33,EQ
16-11-2022,508.0,509.5,500.0,502.15,500.15,537.65,463.55,34580,17502507.6,2654,506.15,EQ
17-11-2022,500.15,510.5,500.15,509.8,508.0,537.65,463.55,118103,60116076.9,2255,509.01,EQ
18-11-2022,509.45,514.3,505.0,510.6,510.0,537.65,463.55,57353,29216050.85,3574,509.41,EQ
21-11-2022,512.75,525.0,508.1,510.0,509.0,537.65,463.55,240335,123422258.9,6107,513.54,EQ
22-11-2022,509.0,513.6,506.1,508.65,508.5,537.65,463.55,578808,295463656.05,3841,510.47,EQ
23-11-2022,512.9,512.9,505.0,507.3,506.6,537.65,463.55,41073,20911714.1,2755,509.14,EQ
24-11-2022,512.4,512.4,505.05,507.2,508.45,537.65,463.55,45300,23006053.75,3064,507.86,EQ
25-11-2022,508.45,518.1,505.0,510.05,510.0,537.65,463.55,139484,71155868.4,4473,510.14,EQ
28-11-2022,507.0,512.7,506.5,510.05,510.3,537.65,463.55,45850,23383750.95,2085,510.01,EQ
29-11-2022,513.3,513.3,506.3,507.3,508.0,537.65,463.55,31723,16173863.95,1645,509.85,EQ
30-11-2022,509.9,511.45,507.35,509.9,510.0,537.65,463.55,33986,17331063.65,1557,509.95,EQ
01-12-2022,518.5,548.5,517.3,528.75,528.9,548.5,463.55,778679,414640370.35,27110,532.49,EQ
02-12-2022,530.0,532.45,520.05,521.1,523.5,548.5,463.55,72437,37939514.05,4843,523.76,EQ
05-12-2022,523.45,530.0,515.1,522.2,516.0,548.5,463.55,51363,26974591.9,3946,525.18,EQ
06-12-2022,516.25,523.55,498.0,511.15,513.75,548.5,463.55,88458,45480770.7,5545,514.15,EQ
07-12-2022,511.15,517.75,510.3,515.65,515.0,548.5,463.55,33507,17238458.55,2472,514.47,EQ
08-12-2022,525.0,529.8,511.0,513.2,513.0,548.5,463.55,92381,47843732.1,4390,517.9,EQ
09-12-2022,519.0,519.0,510.0,512.9,512.0,548.5,463.55,49771,25552190.7,4636,513.4,EQ
12-12-2022,516.75,518.95,510.1,512.6,513.0,548.5,463.55,150892,77688013.8,4425,514.86,EQ
13-12-2022,513.0,524.6,507.5,521.1,517.1,548.5,463.55,171040,88324810.55,6282,516.4,EQ
14-12-2022,524.35,529.0,512.35,520.55,514.0,548.5,463.55,123205,64515880.7,6910,523.65,EQ
15-12-2022,525.0,526.7,512.7,513.5,514.1,548.5,463.55,130363,67629941.15,5392,518.78,EQ
