DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-10-2022,84.5,100.0,83.0,93.25,94.2,100.0,83.0,21724391,2000376143.45,115479,92.08,EQ
21-10-2022,95.7,102.4,90.5,91.35,91.0,102.4,83.0,7416091,719075605.35,51809,96.96,EQ
24-10-2022,92.1,93.25,86.1,87.05,87.45,102.4,83.0,857745,75931837.0,8499,88.52,EQ
25-10-2022,86.95,87.05,82.0,82.45,82.4,102.4,82.0,1660101,138569009.25,14247,83.47,EQ
27-10-2022,82.1,84.1,79.4,80.95,81.35,102.4,79.4,1499134,122838577.9,11825,81.94,EQ
28-10-2022,80.0,81.6,75.65,76.1,76.2,102.4,75.65,936811,73088834.25,10389,78.02,EQ
31-10-2022,76.1,78.25,71.0,71.9,72.15,102.4,71.0,939613,69725509.3,10183,74.21,EQ
01-11-2022,72.85,72.85,68.35,68.65,68.5,102.4,68.35,933552,65080090.5,9491,69.71,EQ
02-11-2022,67.5,82.35,67.3,81.4,80.0,102.4,67.3,5847078,457210432.75,38502,78.19,EQ
03-11-2022,79.25,80.3,75.3,77.0,77.3,102.4,67.3,1564464,122017142.55,14558,77.99,EQ
04-11-2022,77.3,79.8,72.7,74.75,75.3,102.4,67.3,1294522,99716632.2,13008,77.03,EQ
07-11-2022,76.7,79.65,75.05,77.85,78.0,102.4,67.3,968438,74988747.0,10093,77.43,EQ
09-11-2022,78.8,80.8,76.55,77.8,77.8,102.4,67.3,705716,55437225.6,6975,78.55,EQ
10-11-2022,80.9,81.4,77.4,77.85,77.85,102.4,67.3,741788,58788824.0,7918,79.25,EQ
11-11-2022,79.95,79.95,75.6,75.95,75.9,102.4,67.3,433299,33225794.0,7084,76.68,EQ
14-11-2022,75.95,78.5,74.0,74.85,74.9,102.4,67.3,555316,42033832.75,5650,75.69,EQ
15-11-2022,76.35,77.5,73.25,73.75,73.95,102.4,67.3,445000,33496702.95,5942,75.27,EQ
16-11-2022,73.95,75.45,72.1,72.5,72.5,102.4,67.3,270224,19880614.6,4396,73.57,EQ
17-11-2022,72.2,73.5,71.3,71.8,72.0,102.4,67.3,289445,20947132.2,4384,72.37,EQ
18-11-2022,72.0,74.2,71.0,71.8,71.95,102.4,67.3,364356,26293170.55,5891,72.16,EQ
21-11-2022,71.5,71.75,70.45,71.0,71.25,102.4,67.3,174553,12413857.3,2659,71.12,EQ
22-11-2022,71.45,71.5,68.0,68.9,68.6,102.4,67.3,210395,14706278.15,3720,69.9,EQ
23-11-2022,70.0,71.7,68.5,69.75,69.6,102.4,67.3,244025,17132027.35,3524,70.21,EQ
24-11-2022,70.1,70.65,69.05,69.45,69.45,102.4,67.3,245708,17159654.05,3833,69.84,EQ
25-11-2022,69.45,71.9,69.05,71.25,71.3,102.4,67.3,252162,17829373.65,4644,70.71,EQ
28-11-2022,71.25,74.2,70.65,72.55,72.05,102.4,67.3,459858,33565853.3,8419,72.99,EQ
29-11-2022,72.55,72.8,70.2,70.7,70.9,102.4,67.3,177681,12669611.2,3839,71.31,EQ
30-11-2022,71.9,72.65,70.5,71.25,70.8,102.4,67.3,304530,21800224.6,4940,71.59,EQ
01-12-2022,71.9,72.0,70.7,71.3,71.25,102.4,67.3,151802,10813266.1,2971,71.23,EQ
02-12-2022,71.75,71.75,70.5,71.0,71.0,102.4,67.3,170237,12093071.75,2593,71.04,EQ
05-12-2022,71.0,78.85,70.9,77.5,77.25,102.4,67.3,1368713,103779390.55,12356,75.82,EQ
06-12-2022,77.1,85.5,76.0,83.8,84.6,102.4,67.3,3100450,254320387.15,28036,82.03,EQ
07-12-2022,84.95,87.95,81.75,82.75,82.0,102.4,67.3,2731893,231357978.9,24475,84.69,EQ
