DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
07-06-2004,241.35,245.0,240.6,244.95,244.15,315.0,154.0,1219,296614.3,,243.33,EQ
08-06-2004,245.5,257.0,245.0,255.35,255.0,315.0,164.0,3600,905108.4,,251.42,EQ
09-06-2004,257.0,291.0,257.0,279.8,279.0,315.0,164.0,27515,7695130.25,,279.67,EQ
10-06-2004,280.0,283.0,271.05,273.65,271.05,315.0,164.0,10785,2991230.95,,277.35,EQ
11-06-2004,273.0,278.0,262.0,263.5,266.0,315.0,164.0,4248,1142139.65,,268.87,EQ
14-06-2004,275.0,275.0,252.0,256.05,255.0,315.0,164.0,4708,1207912.8,,256.57,EQ
15-06-2004,273.4,273.4,254.15,265.95,267.0,315.0,164.0,1782,465037.45,,260.96,EQ
16-06-2004,273.4,284.85,272.25,282.6,283.9,315.0,164.0,18654,5205743.85,,279.07,EQ
17-06-2004,278.0,284.0,277.3,280.95,280.25,315.0,164.0,14976,4198795.75,,280.37,EQ
18-06-2004,272.55,280.0,272.55,278.6,280.0,315.0,164.0,5235,1446539.35,,276.32,EQ
21-06-2004,274.4,278.8,268.4,270.75,272.0,315.0,164.0,1870,510422.65,,272.95,EQ
22-06-2004,271.0,271.0,268.1,269.0,268.1,315.0,177.5,784,211083.8,,269.24,EQ
23-06-2004,267.0,277.0,255.0,255.75,256.5,315.0,177.5,3853,1004698.75,,260.76,EQ
24-06-2004,259.7,259.7,250.0,253.1,254.5,315.0,177.5,2578,654611.3,,253.92,EQ
25-06-2004,256.0,266.0,255.85,260.0,260.0,315.0,177.5,4383,1144412.7,,261.1,EQ
28-06-2004,267.0,268.0,262.95,265.75,263.6,315.0,177.5,3498,929155.8,,265.62,EQ
29-06-2004,265.0,274.9,261.0,269.15,274.9,315.0,180.0,4603,1226909.05,,266.55,EQ
30-06-2004,268.0,270.0,263.25,268.5,270.0,315.0,180.0,2155,573763.6,,266.25,EQ
01-07-2004,267.0,271.95,266.2,269.5,270.0,315.0,180.0,1377,369708.15,,268.49,EQ
02-07-2004,270.0,270.0,266.0,266.75,267.0,315.0,180.0,828,221704.9,,267.76,EQ
05-07-2004,266.0,272.0,263.3,269.45,272.0,315.0,180.0,1163,311437.45,,267.79,EQ
06-07-2004,268.05,273.95,268.05,270.25,272.8,315.0,180.0,5597,1513673.45,,270.44,EQ
07-07-2004,265.05,270.95,265.05,269.85,270.95,315.0,180.0,2515,677036.65,,269.2,EQ
08-07-2004,270.0,270.0,260.0,264.0,264.0,315.0,180.0,4189,1111073.55,,265.24,EQ
09-07-2004,255.0,267.9,251.1,266.35,265.0,315.0,180.0,4792,1266175.25,,264.23,EQ
12-07-2004,263.0,265.0,258.05,262.55,261.0,315.0,180.0,3481,916197.9,,263.2,EQ
13-07-2004,262.0,270.0,262.0,265.5,270.0,315.0,180.0,1961,517258.8,,263.77,EQ
14-07-2004,274.75,275.0,264.5,268.8,268.85,315.0,180.0,1481,397407.35,,268.34,EQ
15-07-2004,269.95,277.5,269.95,276.0,277.0,315.0,180.0,6164,1689794.35,,274.14,EQ
16-07-2004,284.0,284.0,278.25,280.6,280.0,315.0,180.0,7197,2022056.9,,280.96,EQ
19-07-2004,287.0,289.0,279.2,284.7,282.8,315.0,180.0,5623,1602490.05,,284.99,EQ
20-07-2004,278.0,287.0,278.0,285.25,286.0,315.0,180.0,2436,690608.7,,283.5,EQ
21-07-2004,283.0,285.95,282.35,285.1,284.0,315.0,180.0,7023,1995263.2,,284.1,EQ
